"player","exp","num","inches","team","id"
"Miles Brown","Sr",2,73,"Ohio",71244
"Greg Outlaw","Sr",0,76,"Pacific",71248
"Trevian Tennyson","Sr",0,76,"Texas A&M Corpus Chris",71251
"JaVonni Bickham","Sr",42,78,"Denver",71263
"Shon Robinson","So",12,81,"Austin Peay",71264
"Joey Reilly","Sr",1,72,"Sacred Heart",71265
"Steph Gabriel","Jr",15,79,"Western Illinois",71270
"Yavuz Gultekin","Sr",11,79,"San Diego",71271
"Mark Freeman","Sr",0,71,"Morehead St.",71272
"Samari Curtis","Sr",15,76,"Bowling Green",71273
"Akol Arop","Jr",33,77,"Nebraska Omaha",71274
"Cedric Henderson Jr.","Sr",45,78,"Arizona",71279
"Kevin Cross","Jr",24,80,"Tulane",71281
"T.J. Weeks Jr.","Jr",23,76,"Massachusetts",71283
"Sean East II","Jr",55,75,"Missouri",71284
"Joe Petrakis","Sr",33,82,"Illinois St.",71285
"Tre Mitchell","Sr",3,81,"West Virginia",71288
"Naheem McLeod","So",24,88,"Florida St.",71289
"Tyler Burton","Sr",3,79,"Richmond",71290
"Emmanuel Taban","Jr",15,79,"Portland St.",71292
"Michael Moreno","Jr",24,79,"Eastern Kentucky",71294
"Damian Dunn","So",1,77,"Temple",71297
"Josh Pierre-Louis","Sr",1,76,"UC Santa Barbara",71298
"Tariq Balogun","Jr",1,82,"Binghamton",71300
"Rett Lister","Sr",14,73,"Furman",71301
"Brayden Parker","Jr",25,80,"Idaho St.",71305
"Greg Gantt","Jr",23,80,"North Carolina St.",71306
"Isiaih Mosley","Sr",11,77,"Missouri",71309
"Jordan Mason","Sr",5,76,"Wagner",71310
"Isaiah Hill","Sr",3,72,"Fresno St.",71311
"Dexter Akanno","Jr",4,77,"Oregon St.",71313
"Symir Torrence","Sr",10,75,"Syracuse",71314
"Marko Sarenac","Jr",15,79,"Marshall",71318
"Brian Taylor","Sr",0,78,"Central Michigan",71321
"Raymond Somerville","So",24,83,"Delaware St.",71326
"Brandon Haddock","So",14,73,"Utah",71328
"Deonte Billups","Sr",15,76,"Fort Wayne",71329
"Antonio Reeves","Sr",12,77,"Kentucky",71330
"Justin Bieker","So",12,77,"San Francisco",71331
"Luc Krystkowiak","So",42,76,"Arizona",71332
"Isaiah Hawthorne","So",3,80,"San Francisco",71333
"Hunter Mecum","Fr",45,77,"Utah",71334
"Garren Davis","Jr",0,76,"Green Bay",71335
"Rylan Jones","Sr",15,72,"Utah St.",71336
"Jeremiah Davenport","Jr",24,79,"Cincinnati",71337
"Zach Harvey","Jr",11,78,"UC Santa Barbara",71338
"Russell Dean","Sr",1,77,"Hampton",71341
"Jacob O'Connell","Sr",25,83,"Princeton",71343
"Keeshawn Kellman","Sr",32,81,"Princeton",71344
"Konrad Kiszka","Sr",11,79,"Princeton",71345
"Tosan Evbuomwan","Sr",20,80,"Princeton",71346
"Tyler Millin","Jr",1,79,"Middle Tennessee",71348
"DJ Rodman","Sr",11,78,"Washington St.",71349
"Lamar Wright","Jr",55,79,"SIU Edwardsville",71352
"Jesus Carralero","Sr",12,80,"Campbell",71355
"Nick Fiorillo","Jr",32,79,"Vermont",71356
"Jae'Lyn Withers","Jr",24,81,"Louisville",71359
"Kalib Boone","Sr",22,81,"Oklahoma St.",71360
"Chris Harris Jr.","Sr",2,74,"Oklahoma St.",71361
"Marcus Watson","Jr",4,78,"North Carolina A&T",71362
"Rob Perry","Jr",2,76,"Murray St.",71363
"Keylan Boone","Jr",20,80,"Pacific",71364
"Avery Anderson III","Sr",0,75,"Oklahoma St.",71367
"Chris Ledlum","Sr",4,78,"Harvard",71368
"Omari Moore","Jr",10,78,"San Jose St.",71370
"Blake Lampman","Jr",11,75,"Oakland",71381
"Noah Thomasson","Sr",21,75,"Niagara",71384
"Jason Thompson","Sr",5,79,"Houston Christian",71385
"Dan Oladapo","Sr",44,80,"North Carolina Central",71386
"Yusuf Jihad","Sr",22,79,"Eastern Michigan",71389
"Joe Jones III","So",23,81,"Georgia St.",71393
"Idan Tretout","Sr",3,76,"Harvard",71394
"Isaiah Thompson","Sr",11,73,"Florida Gulf Coast",71395
"Luka Sakota","Sr",2,78,"Harvard",71396
"Tommy O'Neil","Sr",32,80,"Harvard",71397
"Sean Conway","Sr",30,77,"VMI",71400
"Zyon Pullin","Sr",5,76,"UC Riverside",71407
"Ibrahima Diallo","Jr",5,84,"San Jose St.",71410
"Savion Gallion","So",1,76,"Louisiana Monroe",71417
"Calvin Solomon","Jr",13,79,"UTEP",71420
"Nate Ferguson","Jr",24,80,"Drake",71422
"Joseph Yesufu","Jr",1,72,"Kansas",71423
"Jordan Minor","Sr",22,80,"Merrimack",71427
"Ziggy Reid","Sr",23,78,"Merrimack",71428
"Jordan McKoy","Sr",24,77,"Merrimack",71429
"Keyshaun Langley","Sr",0,73,"UNC Greensboro",71434
"Isaac Stansbury","Sr",25,73,"Mississippi St.",71435
"James Glisson III","Sr",23,79,"Mercer",71438
"Diego Rivera","Sr",30,74,"Mercer",71440
"Chase Johnston","Jr",5,75,"Florida Gulf Coast",71441
"Kamar Robertson","Sr",1,72,"Mercer",71442
"Donta Scott","Sr",24,80,"Maryland",71444
"Babatunde Akingbola","Sr",23,82,"Auburn",71445
"Makhi Mitchell","Sr",15,81,"Arkansas",71446
"Makhel Mitchell","Sr",22,82,"Arkansas",71447
"Devan Cambridge","Sr",35,78,"Arizona St.",71448
"Lior Berman","Sr",24,76,"Auburn",71450
"Dardan Kapiti","Jr",15,82,"Eastern Kentucky",71451
"C.J. Jackson","Jr",2,79,"UT Rio Grande Valley",71453
"Kyle Sturdivant","Sr",1,75,"Georgia Tech",71455
"Dearon Tucker","Jr",35,82,"Cal St. Northridge",71457
"Talin Lewis","Jr",10,76,"Howard",71458
"Julien Franklin","So",5,79,"Cal Poly",71459
"Jarod Lucas","Sr",2,76,"Nevada",71461
"Gianni Hunt","Jr",5,76,"Sacramento St.",71463
"Jamail Pink","So",10,73,"Detroit",71465
"Jayvis Harvey","Jr",13,77,"Tennessee Tech",71467
"Chico Carter Jr.","Sr",2,75,"South Carolina",71469
"Bryan Greenlee","Jr",4,72,"Florida Atlantic",71470
"Tyrese Samuel","Sr",4,82,"Seton Hall",71471
"Connor Withers","Sr",5,79,"UMass Lowell",71473
"Quinn Richey","Jr",13,77,"Samford",71474
"Aaron Deloney","Sr",1,72,"Vermont",71475
"Jake van der Heijden","Sr",32,81,"Bucknell",71481
"Daniel Lobach","So",12,79,"Samford",71482
"Alex Timmerman","Sr",40,81,"Bucknell",71483
"Da'Shawn Phillip","Sr",5,77,"Maryland Eastern Shore",71484
"Kevon Voyles","Sr",4,75,"Maryland Eastern Shore",71485
"Paul Mulcahy","Sr",4,79,"Rutgers",71486
"Jovan Blacksher Jr.","Jr",10,71,"Grand Canyon",71489
"Zahad Munford","Sr",2,75,"Grambling St.",71503
"Tra'Michael Moton","Sr",5,73,"Grambling St.",71504
"Cameron Brown","Sr",3,77,"Saint Joseph's",71508
"Elijah Pepper","Jr",40,76,"UC Davis",71514
"Jordan Rawls","Sr",2,74,"Western Kentucky",71517
"John Tonje","Sr",1,77,"Colorado St.",71519
"Parker Weiss","Sr",4,74,"Iona",71522
"Antwon Jackson","Jr",50,80,"Arkansas St.",71523
"Fletcher Abee","Jr",12,75,"UNC Asheville",71524
"Roscoe Eastmond","Jr",2,69,"Southeastern Louisiana",71526
"Mo Arnold","Jr",3,73,"Southern Miss",71527
"Caleb Grill","Sr",2,75,"Iowa St.",71528
"Kamari Williams","Jr",1,79,"Miami OH",71534
"JJ Riggins","Jr",23,78,"Quinnipiac",71536
"Brendan McGuire","Sr",22,79,"Sacred Heart",71539
"Morgan Safford","Jr",22,77,"Miami OH",71540
"RaeQuan Battle","Jr",21,77,"Montana St.",71543
"Grant Frickenstein","Jr",15,75,"Nebraska Omaha",71544
"Thatcher Stone","Jr",12,78,"Stonehill",71546
"Xavier Cork","Jr",12,81,"TCU",71547
"Bernardo da Silva","Jr",5,81,"Hawaii",71551
"Cameron O'Conner","Sr",24,77,"Longwood",71554
"Malcolm Dandridge","Sr",23,81,"Memphis",71557
"Japannah Kellogg","Jr",14,80,"Albany",71562
"Cobie Barnes","Jr",20,79,"SIU Edwardsville",71563
"Lucas Stieber","Jr",13,75,"Gardner Webb",71564
"Jordan Dingle","Jr",3,75,"Penn",71568
"Keegan Records","Sr",14,82,"Colgate",71569
"Jonah Charles","Sr",2,76,"Penn",71570
"Tevin Brewer","Sr",0,68,"Duquesne",71571
"Max Martz","Jr",14,78,"Penn",71572
"Max Lorca-Lloyd","Sr",5,81,"Penn",71573
"Lucas Monroe","Sr",22,78,"Penn",71574
"Moulaye Sissoko","So",14,81,"North Texas",71575
"Quinten Post","Sr",12,84,"Boston College",71576
"Tyson Jackson","Jr",5,81,"New Orleans",71577
"Justin Rumph","Sr",15,77,"Mississippi St.",71580
"Golden Dike","Sr",10,82,"Loyola MD",71581
"Devin Butts","Jr",52,77,"North Carolina Central",71584
"Quincy Olivari","Jr",4,75,"Rice",71597
"Jan Zidek","Sr",31,81,"Pepperdine",71599
"Majok Deng","Jr",22,76,"Pepperdine",71600
"Imajae Dodd","So",21,79,"Charleston Southern",71601
"Jake Boggs","Jr",5,79,"South Florida",71602
"Ben Moffat","Jr",12,80,"Rice",71605
"Owen McCormack","Sr",15,81,"Presbyterian",71606
"Marlon Taylor","Sr",55,77,"IUPUI",71607
"Tommy Bruner","Jr",0,73,"Denver",71610
"Wilfried Likayi","Sr",12,81,"Coastal Carolina",71611
"Khydarius Smith","Sr",0,80,"USC Upstate",71613
"Damari Monsanto","Jr",30,78,"Wake Forest",71616
"Tristen Newton","Sr",2,77,"Connecticut",71620
"Brandon Suggs","Sr",4,78,"UCF",71623
"Logan Curtis","Jr",3,75,"Delaware",71624
"Ben Hendriks","So",34,82,"Ball St.",71626
"Nick Johnson","Jr",10,76,"New Hampshire",71627
"Trevin Dorius","Sr",32,85,"Utah St.",71630
"Jacob Groves","Sr",34,81,"Oklahoma",71631
"Oscar Tshiebwe","Sr",34,81,"Kentucky",71632
"Sean McNeil","Sr",4,76,"Ohio St.",71634
"J'Wan Roberts","Jr",13,79,"Houston",71637
"D.J. Jeffries","Sr",0,79,"Mississippi St.",71638
"Akrum Ahemed","Jr",35,75,"UNC Greensboro",71640
"Jake Kyman","Jr",13,79,"Wyoming",71642
"Drew Lowder","Jr",55,73,"Cleveland St.",71643
"Russell Jones Jr","Sr",1,68,"Western Carolina",71645
"Marko Lukic","Jr",10,79,"Denver",71648
"Ben Jensen","Sr",52,82,"Army",71650
"Kenan Sarvan","Jr",22,82,"Stony Brook",71653
"Isaiah Gross","So",25,76,"Coppin St.",71656
"Jon Dos Anjos","Jr",1,80,"UTEP",71658
"Jordan Brinson","Sr",12,75,"Fresno St.",71663
"Arnold Henderson VI","Sr",15,70,"VCU",71666
"Hason Ward","Sr",24,81,"Iowa St.",71667
"John-Michael Wright","Sr",51,73,"Oklahoma St.",71672
"Brenden Tucker","Jr",5,75,"Georgia St.",71673
"Trevon Reddish-Rhone","Sr",23,76,"Presbyterian",71674
"Dan Petcash","Sr",11,76,"Binghamton",71675
"Justin Moore","Sr",5,76,"Villanova",71676
"Chris Arcidiacono","Sr",4,76,"Villanova",71678
"Lok Wur","Jr",15,81,"Oregon",71680
"C.J. Walker","Sr",21,80,"UCF",71681
"Chandler Lawson","Sr",4,79,"Memphis",71682
"Boo Buie","Sr",0,74,"Northwestern",71683
"Christian Ray","Sr",5,78,"Delaware",71684
"Noah Carter","Jr",35,78,"Missouri",71690
"Adam Cisse","Sr",10,82,"Manhattan",71692
"James Betz","Jr",34,78,"Northern Iowa",71693
"Filippos Gkogkos","Jr",10,76,"Miami FL",71695
"Lenny Ricca","Sr",51,74,"Florida Gulf Coast",71698
"Cyrus Largie","Sr",4,75,"Florida Gulf Coast",71700
"Chance Jackson","Sr",20,78,"Florida Gulf Coast",71701
"Derek Krogmann","So",23,79,"Northern Iowa",71702
"Tre Williams","Jr",4,79,"Duquesne",71704
"Jordan Walker","Sr",10,71,"UAB",71706
"Paxson Wojcik","Sr",0,77,"Brown",71707
"EJ Bellinger","Sr",5,76,"Belmont",71710
"Avery Felts","So",2,74,"Arkansas St.",71711
"Mario McKinney Jr.","Jr",4,73,"UTEP",71713
"Malcolm Farrington","So",10,75,"Arkansas St.",71714
"Tray Jackson","Sr",1,82,"Seton Hall",71715
"Joe Pridgen","Jr",23,77,"Northeastern",71718
"Grant Ledford","Jr",35,77,"Chattanooga",71719
"Sam Freeman","Jr",15,82,"Pacific",71727
"Vincent Miszkiewicz","So",20,79,"Milwaukee",71728
"Jubrile Belo","Sr",13,81,"Montana St.",71730
"Tyson Walker","Sr",2,73,"Michigan St.",71731
"Dakota Rivers","Sr",0,80,"Florida Gulf Coast",71732
"Qwanzi Samuels","Sr",20,81,"George Washington",71733
"Jalen Harper","Sr",55,71,"Auburn",71734
"Brycen Goodine","Sr",2,76,"Fairfield",71735
"Quincy Guerrier","Sr",13,80,"Oregon",71736
"Joseph Girard III","Sr",11,73,"Syracuse",71737
"Maks Klanjscek","Sr",13,76,"Houston Christian",71739
"Chase Adams","Jr",10,68,"Jackson St.",71741
"John Bol Ajak","Jr",2,82,"Syracuse",71743
"Jaren Holmes","Sr",13,76,"Iowa St.",71744
"Jesse Edwards","Sr",14,83,"Syracuse",71748
"Fred Rullo IV","Sr",2,71,"Delaware",71750
"Max Abmas","Sr",3,72,"Oral Roberts",71751
"Chase Coleman","Sr",12,70,"Virginia",71759
"Dominic Brewton","So",23,76,"Alcorn St.",71761
"Tre Armstrong","Jr",11,78,"Cal Baptist",71764
"Reed Nottage","Jr",5,79,"Cal Baptist",71765
"Michael Shanks","Jr",11,78,"Belmont",71766
"Sam Hofman","Sr",33,77,"Houston Christian",71767
"DeAntoni Gordon","Sr",1,80,"Little Rock",71769
"Moses Bol","Sr",33,85,"Milwaukee",71770
"Darin Green Jr.","Jr",22,77,"Florida St.",71771
"Ibrahim Famouke Doumbia","Sr",10,79,"Cal St. Fullerton",71773
"Harwin Francois","Sr",22,77,"McNeese St.",71774
"T.J. Bickerstaff","Sr",1,81,"Boston College",71777
"Mate Okros","Sr",21,78,"Drexel",71778
"Hunter McIntosh","Sr",0,74,"Nevada",71782
"Andrew Muse","Sr",5,74,"Appalachian St.",71784
"Patrick McCaffery","Jr",22,81,"Iowa",71786
"Bryant Greene","Sr",14,73,"Appalachian St.",71789
"Essam Mostafa","Jr",44,81,"Coastal Carolina",71790
"Patrick Kelly","So",23,81,"Fordham",71792
"Jordan Turner","Jr",5,80,"Baylor",71793
"Deshawndre Washington","Jr",42,79,"New Mexico St.",71795
"Jalen Hawkins","Sr",4,74,"Morehead St.",71798
"Cam Spencer","Sr",10,76,"Rutgers",71803
"Brendan Wenzel","Jr",1,79,"Wyoming",71806
"Branden Carlson","Sr",35,84,"Utah",71808
"Perry Cowan","Sr",3,76,"Brown",71809
"Dan Friday","Jr",1,76,"Brown",71812
"Eric Coleman","Jr",30,80,"Alabama St.",71814
"Alonzo Gaffney","Sr",32,81,"Arizona St.",71816
"Eric Dixon","Jr",43,80,"Villanova",71817
"Enrique Freeman","Jr",25,79,"Akron",71820
"Khristion Courseault","Jr",13,74,"Chattanooga",71821
"Ta'Lon Cooper","Jr",55,76,"Minnesota",71823
"Grant Sherfield","Sr",25,74,"Oklahoma",71825
"Denijay Harris","Jr",4,78,"Southern Miss",71827
"LJ Bryan","Sr",22,81,"Morehead St.",71829
"Tyzhaun Claude","Jr",0,80,"Western Carolina",71830
"Ques Glover","Jr",0,72,"Samford",71831
"Kwane Marble","Sr",11,77,"Loyola Marymount",71833
"Jesse Zarzuela","Jr",3,75,"Central Michigan",71837
"Alec Woodard","Sr",20,74,"Southeastern Louisiana",71838
"Liam McChesney","Jr",13,82,"Illinois St.",71840
"Erik Czumbel","Sr",10,75,"UTSA",71841
"Olivier Nkamhoua","Sr",13,81,"Tennessee",71843
"Keondre Kennedy","Sr",11,78,"UNC Greensboro",71851
"Allan Jeanne-Rose","Sr",10,79,"Fairfield",71852
"George Tinsley","Sr",11,78,"Mount St. Mary's",71855
"Roy Dixon III","Sr",53,71,"Northwestern",71857
"Amadou Sylla","Sr",14,82,"UNC Asheville",71858
"Joel Brown","Sr",1,75,"California",71859
"Ador Athuai","Sr",15,83,"Binghamton",71862
"Kenan Blackshear","Sr",13,78,"Nevada",71863
"Davonte Gaines","Sr",3,79,"George Mason",71865
"Jeffery Armstrong","So",20,71,"Southern Miss",71869
"Hunter Dean","Sr",13,82,"George Washington",71870
"Jaxon Etter","Sr",10,76,"Georgia",71875
"Jaykwon Walton","Jr",10,79,"Wichita St.",71878
"Rodney Howard","Sr",24,81,"Georgia Tech",71880
"Casey Morsell","Sr",14,75,"North Carolina St.",71882
"Ebby Asamoah","Sr",14,76,"Delaware",71884
"Harlond Beverly","So",5,78,"Miami FL",71885
"Tyler Robertson","Jr",2,78,"Portland",71886
"Kevin Easley Jr.","Jr",35,79,"Duquesne",71887
"Johnny McCoy","Jr",10,77,"Delaware",71888
"Isaiah Wong","Jr",2,76,"Miami FL",71889
"Sammy Hunter","Jr",11,81,"Akron",71891
"Rod Thomas","Sr",25,72,"Murray St.",71894
"Brennan Canada","Sr",14,78,"Kentucky",71902
"Will Baker","Jr",50,84,"Nevada",71904
"Jalen Windham","Jr",24,77,"Ball St.",71908
"Shereef Mitchell","Jr",4,73,"Creighton",71912
"Asa Shannon","Sr",10,78,"Columbia",71913
"Cameron Shockley-Okeke","Sr",12,78,"Columbia",71914
"Joel Soriano","Sr",11,83,"St. John's",71918
"DJ Horne","Jr",0,73,"Arizona St.",71919
"Tristan Enaruna","Jr",13,80,"Cleveland St.",71923
"Jalen Wilson","Jr",10,80,"Kansas",71925
"Dae Dae Grant","Jr",3,74,"Duquesne",71926
"Michael Jankovich","Sr",20,77,"Kansas",71927
"PJ Henry","Jr",3,70,"Texas Southern",71928
"Jahcobi Neath","Sr",0,76,"Wisconsin",71931
"Jonas Munson","So",21,84,"Central Arkansas",71932
"Joe Toussaint","Sr",5,72,"West Virginia",71933
"Kvonn Cramer","Jr",23,79,"Bryant",71934
"Collin Cooper","Jr",14,74,"Central Arkansas",71937
"Derrick Carter-Hollinger","Jr",23,78,"Bethune Cookman",71939
"Tariq Ingraham","Jr",33,81,"Rider",71940
"Dischon Thomas","Jr",24,81,"Montana",71941
"DQ Nicholas","Jr",4,73,"Gardner Webb",71943
"Darius McBride","So",15,76,"SMU",71948
"Emmanuel Bandoumel","Sr",25,76,"Nebraska",71950
"Steve Settle III","Jr",2,82,"Howard",71952
"Wayne Bristol Jr.","Jr",31,78,"Georgetown",71954
"Cam Krystkowiak","Sr",24,81,"Dartmouth",71957
"Jahmir Young","Sr",1,73,"Maryland",71963
"Caleb Stone-Carrawell","So",3,79,"Austin Peay",71964
"Isiah Kirby","Jr",5,76,"Portland St.",71967
"Ahmard Harvey","Jr",1,79,"High Point",71968
"Jalen Benjamin","Sr",5,70,"Mount St. Mary's",71973
"Max Brackmann","So",33,86,"Southeastern Louisiana",71974
"Tyler Harris","Sr",4,79,"Western Carolina",71975
"Ahmir Langlais","Jr",35,81,"USC Upstate",71978
"Greg Dolan","Sr",4,75,"Cornell",71979
"Sam DeVault","Sr",14,82,"Bellarmine",71981
"Marcus Tsohonis","Jr",0,75,"Long Beach St.",71982
"Isaiah Palermo","Sr",3,78,"Little Rock",71984
"Sam Wolfe","Sr",14,80,"VMI",71986
"Pierre Crockrell II","Sr",3,72,"UC Irvine",71987
"Cameron Tucker","Sr",3,73,"Alabama A&M",71988
"Kamdyn Curfman","Jr",11,73,"Marshall",71989
"Jalen Johnson","Jr",24,79,"Milwaukee",71990
"Tory San Antonio","Sr",23,75,"Cal St. Fullerton",71995
"Baylor Scheierman","Sr",55,79,"Creighton",71996
"RayJ Dennis","Jr",10,74,"Toledo",71997
"Noah Freidel","Jr",1,76,"James Madison",71998
"Josiah-Jordan James","Sr",30,78,"Tennessee",71999
"Drew Pember","Sr",4,82,"UNC Asheville",72001
"Chris Maidoh","Sr",1,82,"Fairfield",72004
"Airion Simmons","Sr",23,77,"Abilene Christian",72006
"Nathan Johnson","Sr",25,79,"Samford",72008
"Ben Krikke","Sr",23,81,"Valparaiso",72009
"Nate Allison","Sr",35,79,"Navy",72011
"Jared Barnett","Sr",4,73,"San Diego St.",72018
"Tanner Holden","Sr",0,78,"Ohio St.",72021
"Lance Terry","Sr",0,74,"Georgia Tech",72028
"Chris Harris","Sr",5,75,"Southeast Missouri St.",72029
"Sam Griffin","Jr",1,76,"Tulsa",72035
"Jarvis Vaughan","Sr",10,81,"Monmouth",72038
"Kenny Foster","Sr",22,77,"Wyoming",72041
"Chris Mann","Sr",4,78,"Army",72042
"Carlos Paez","Sr",1,70,"Austin Peay",72043
"Micah Burno","Sr",12,72,"Arizona St.",72044
"Sean Bairstow","Sr",2,80,"Utah St.",72045
"John Olmsted","Sr",15,82,"Arizona St.",72047
"Antavion Collum","Jr",4,80,"Cal St. Bakersfield",72049
"Mason Gillis","Jr",0,78,"Purdue",72052
"Carrington McCaskill","Jr",4,80,"Central Michigan",72053
"Mike Peake","Jr",15,79,"New Mexico St.",72058
"Nick Ongenda","Sr",14,83,"DePaul",72059
"Malik Battle","Jr",0,75,"Coppin St.",72062
"Charlie Easley","Jr",30,74,"South Dakota St.",72070
"Carlos Marshall Jr.","Sr",NA,78,"Santa Clara",72075
"John Harge","So",23,79,"Idaho",72077
"Issac McBride","Jr",10,74,"Oral Roberts",72080
"KJ Johnson","Jr",3,75,"North Alabama",72083
"Xavier Johnson","Sr",10,73,"Southern Illinois",72085
"Codey Bates","Sr",20,74,"Austin Peay",72088
"Michael Shipp","Jr",4,75,"Indiana",72094
"Tre Breland","Jr",10,76,"Central Connecticut",72108
"Bryce Earle","Sr",25,72,"Hampton",72109
"Qudus Wahab","Sr",34,83,"Georgetown",72111
"Tim Ighoefe","Jr",35,84,"Cal Baptist",72112
"Myron Gardner","Sr",15,77,"Little Rock",72114
"Malcolm Wilson","Jr",32,84,"Georgetown",72115
"Jon Coleman","Jr",21,70,"UAB",72118
"Adam Cottrell","Sr",30,75,"Alabama",72125
"Chandler Leopard","Sr",25,75,"Auburn",72132
"Jordan Johnson","Jr",1,73,"New Orleans",72134
"Michael Quinn","Sr",31,72,"Boston University",72135
"Braelee Albert","Jr",0,77,"Tulane",72137
"Omari Peek","Jr",2,78,"Alabama A&M",72148
"Tim Uzoegbu","Sr",34,76,"Boston University",72151
"Jordan Tab","Sr",20,74,"Boston University",72152
"James Sanders IV","Sr",11,75,"Denver",72157
"Cleveland Yates","Jr",42,74,"Florida St.",72165
"Santiago Vescovi","Sr",25,75,"Tennessee",72205
"Jordan Mains","Sr",22,78,"Arizona",72209
"Chris Moore","Jr",5,78,"Auburn",72228
"Miles Coleman","Sr",5,77,"NJIT",72230
"Marcus Dockery","Fr",0,74,"Howard",72231
"Nico Galette","Jr",45,78,"Sacred Heart",72232
"Mike Hood","Sr",2,74,"Coppin St.",72233
"Fidelis Okereke","So",24,78,"Cal St. Northridge",72234
"Mwani Wilkinson","Jr",5,77,"LSU",72235
"Kris Murray","Jr",24,80,"Iowa",72239
"DJ Davis","Jr",22,73,"UC Irvine",72240
"Josh Ogundele","Jr",23,82,"Iowa",72241
"Laurynas Vaistaras","Jr",22,78,"Campbell",72244
"Jalen Brown","Jr",2,75,"Pacific",72245
"Matthew Levis","So",35,73,"Seattle",72250
"Jesper Granlund","Jr",35,78,"Longwood",72251
"Jahari Long","Jr",2,77,"Maryland",72254
"Dimingus Stevens","Jr",0,78,"Florida A&M",72255
"Tyree Corbett","Sr",23,79,"Denver",72257
"Dylan Addae-Wusu","Jr",5,76,"St. John's",72258
"Jordan Wood","Jr",24,81,"Howard",72259
"Martez Robinson","Jr",3,74,"Delaware St.",72260
"Joey St. Pierre","Sr",44,82,"Portland",72263
"Thomas Weaver","Jr",13,70,"Howard",72264
"Chris Biekeu","Jr",35,79,"Towson",72266
"Travis Henson","Sr",2,78,"Cal St. Bakersfield",72267
"Noel Brown","Jr",21,83,"George Washington",72268
"Dillon Jones","So",2,78,"Weber St.",72269
"Ishmael Leggett","So",10,75,"Rhode Island",72271
"Tres Berry","So",55,76,"Charleston Southern",72273
"Frank Anselem","Jr",5,82,"Georgia",72274
"Carlos Rosario","Jr",13,79,"Washington St.",72278
"Mike DiGiulio","So",11,72,"Canisius",72280
"Quinlan Bennett","Jr",1,76,"Western Illinois",72283
"Jack Brown","Jr",15,78,"Fairfield",72284
"Matthew Nicholson","Jr",34,84,"Northwestern",72285
"Ricardo Wright","Jr",5,76,"SMU",72287
"Raheim Sullivan","Sr",0,73,"NJIT",72290
"Javon Cooley","Jr",23,77,"Marist",72291
"Viktor Lakhin","So",30,83,"Cincinnati",72292
"Toneari Lane","So",1,77,"Winthrop",72294
"Kelton Talford","Jr",4,79,"Winthrop",72296
"Rayshon Harrison","So",0,76,"Grand Canyon",72297
"Trae Broadnax","So",12,76,"USC Upstate",72299
"Victor Muresan","Jr",55,83,"Georgetown",72300
"Austin Inge","Jr",0,72,"Navy",72303
"Kobe Clark","So",24,78,"Southeast Missouri St.",72304
"Quincy Ademokoya","Jr",24,78,"Kennesaw St.",72305
"Jordan Davis","Jr",2,76,"Wisconsin",72306
"Nick McMullen","Jr",13,80,"UNC Asheville",72309
"Rudi Williams","Sr",3,74,"BYU",72310
"Camren Pierce","Jr",1,70,"Cal Poly",72311
"Trevon Allfrey","So",40,80,"Utah Tech",72314
"Connor Kochera","Jr",23,77,"Davidson",72316
"Yuri Covington","Jr",4,73,"UMass Lowell",72317
"Frank Staine","Jr",22,78,"Utah Tech",72319
"Jake Milkereit","Jr",1,77,"William & Mary",72320
"Cameron Gooden","Sr",3,71,"Utah Tech",72321
"Sawyer Wright","So",10,80,"North Alabama",72326
"Myles Hunter","Jr",15,77,"Youngstown St.",72329
"Joe Anderson","Jr",22,72,"Furman",72330
"Alexander Nwagha","Jr",12,80,"Northeastern",72331
"Tristan da Silva","Jr",23,81,"Colorado",72333
"Nique Clifford","Jr",32,78,"Colorado",72334
"Connor Odom","Jr",14,71,"Utah St.",72337
"Aidan McCool","Jr",33,75,"Louisville",72339
"Jaylen Cole-Williams","So",25,73,"Duquesne",72340
"Craig Porter Jr.","Sr",3,74,"Wichita St.",72341
"Alec Oglesby","Jr",0,77,"Stetson",72343
"Mason Madsen","Jr",45,76,"Boston College",72345
"Gabe Madsen","Jr",55,78,"Utah",72346
"Jahmyl Telfort","Jr",11,79,"Northeastern",72348
"Mike Saunders Jr.","Jr",2,72,"Utah",72350
"Drake Dobbs","So",11,74,"St. Thomas",72355
"Isaiah Johnson","So",22,78,"Portland St.",72356
"Latrell Wrightsell Jr.","Jr",3,75,"Cal St. Fullerton",72358
"Donovan Newby","Jr",55,73,"UNC Wilmington",72361
"Logan Cremonesi","So",20,80,"UCLA",72362
"Cameron Steele","Jr",5,80,"Abilene Christian",72364
"Jaylen Clark","Jr",0,77,"UCLA",72365
"Keon Ambrose-Hylton","Jr",22,80,"SMU",72369
"Vasja Pandza","So",1,80,"Seattle",72370
"DeMarr Langford Jr.","Jr",5,77,"Boston College",72373
"Donchevell Nugent","Sr",1,72,"Maryland Eastern Shore",72374
"Tony Atkinson","Jr",41,80,"Navy",72387
"Johnathan DeJurnett","Jr",5,80,"Fort Wayne",72391
"Tarig Eisa","Jr",14,80,"Florida A&M",72396
"Kasen Harrison","Jr",11,74,"Winthrop",72397
"Trey South","So",12,75,"Central Arkansas",72401
"Jamari Sibley","So",12,80,"UTEP",72409
"TJ Berger","So",20,76,"Lafayette",72411
"Jahlil White","So",2,79,"Temple",72412
