"player","exp","num","inches","team","id"
"Darius Quisenberry","Sr",3,74,"Fordham",65428
"Jelani Simmons","Sr",0,77,"Southern Indiana",65429
"Caleb Fuller","Sr",0,77,"Montana St.",65433
"Brandon Slater","Sr",34,80,"Villanova",65436
"Luis Hurtado Jr.","Sr",11,79,"Mercer",65437
"Tim Fuller","Jr",5,81,"Utah Valley",65440
"Kihei Clark","Sr",0,70,"Virginia",65442
"Robby Carmody","Jr",24,76,"Notre Dame",65443
"Will McNair Jr.","Sr",13,83,"Mississippi St.",65448
"Nate Laszewski","Sr",14,82,"Notre Dame",65450
"Tanner Groves","Sr",35,82,"Oklahoma",65456
"Leaky Black","Sr",1,81,"North Carolina",65459
"Mohammed Abdulsalam","Sr",4,81,"UNC Greensboro",65464
"Victor Bafutto","Sr",14,82,"Louisiana Monroe",65465
"Angelo Allegri","Sr",13,79,"Eastern Washington",65466
"Deandre Thomas","Sr",2,77,"Mount St. Mary's",65468
"Robert Allen","Sr",21,80,"Mississippi",65469
"Larry Moreno","Sr",5,72,"St. Francis NY",65472
"Gabe Watson","Sr",0,74,"Jackson St.",65475
"Hunter Tyson","Sr",5,80,"Clemson",65479
"Montez Mathis","Sr",10,76,"St. John's",65480
"Caleb McConnell","Sr",22,79,"Rutgers",65481
"Emmanuel Dowuona","Jr",23,82,"Tennessee St.",65482
"Eric Hunter Jr","Sr",2,76,"Butler",65483
"Cameron Healy","Sr",10,75,"Southern Utah",65488
"Jermaine Couisnard","Sr",5,76,"Oregon",65489
"Colin Castleton","Sr",12,83,"Florida",65492
"David DeJulius","Sr",5,72,"Cincinnati",65493
"Ricky Lindo Jr.","Sr",4,80,"George Washington",65494
"Christian Bishop","Sr",32,79,"Texas",65500
"Bryce Golden","Sr",35,81,"Loyola Chicago",65502
"Markeese Hastings","Jr",0,79,"Western Michigan",65503
"Efe Odigie","Sr",23,81,"SMU",65504
"Greg Williams Jr.","Sr",13,75,"Louisiana Lafayette",65506
"Marcellus Earlington","Sr",10,79,"San Diego",65507
"DeVon Baker","Sr",22,74,"Ohio",65509
"Junior Ballard","Sr",24,75,"Weber St.",65513
"Filip Rebraca","Sr",0,81,"Iowa",65514
"Deante Johnson","Sr",35,81,"Cleveland St.",65518
"Onyi Eyisi","Sr",13,81,"Cal St. Northridge",65528
"Aljaz Kunc","Sr",5,80,"Iowa St.",65529
"Joey Hauser","Sr",10,81,"Michigan St.",65530
"Mezie Offurum","Sr",13,80,"James Madison",65534
"Riley Grigsby","Sr",11,78,"Seattle",65536
"Jacob Eyman","Jr",32,82,"Portland St.",65537
"Luke Frampton","Sr",14,77,"Western Kentucky",65542
"Jared Rodriguez","Sr",22,80,"Idaho St.",65546
"Josiah Strong","Sr",3,76,"Colorado St.",65550
"David Kasanganay","Sr",15,74,"East Carolina",65551
"Josh Mballa","Sr",33,79,"Mississippi",65564
"Zay Williams","Sr",10,81,"Troy",65570
"Drue Drinnon","Sr",55,73,"Texas St.",65572
"Vincent Lee","Sr",13,80,"Cal St. Fullerton",65574
"K.J. Hymes","Sr",42,82,"Nevada",65575
"Daylen Kountz","Sr",1,76,"Northern Colorado",65577
"Isaac Likekele","Sr",13,77,"Ohio St.",65586
"Kendric Davis","Sr",3,72,"Memphis",65589
"Kaden Archie","Sr",0,78,"Georgia Southern",65590
"Arashma Parks","Sr",15,81,"Detroit",65591
"Adam Seiko","Sr",2,75,"San Diego St.",65593
"Carte'Are Gordon","Jr",4,81,"Grambling St.",65594
"Taevion Kinsey","Sr",24,77,"Marshall",65596
"Cory Hightower","Sr",12,79,"Winthrop",65600
"Josiah Jeffers","Sr",2,73,"Radford",65605
"Cooper Kaifes","Jr",23,76,"Samford",65606
"Cam Burrell","Sr",5,79,"Lindenwood",65608
"Robin Duncan","Sr",55,77,"Vermont",65609
"Ben Stanley","Sr",12,79,"Old Dominion",65612
"Pierre Sow","Sr",45,84,"Hartford",65613
"Kaosi Ezeagu","Jr",1,82,"Sam Houston St.",65619
"Luke Avdalovic","Sr",21,77,"Pacific",65622
"Nik Mains","Sr",20,80,"Northern Arizona",65623
"Nick Guadarrama","Sr",0,77,"FIU",65625
"Jayden Martinez","Sr",24,79,"North Texas",65626
"Jack Clark","Sr",5,80,"North Carolina St.",65627
"Ed Croswell","Sr",5,80,"Providence",65628
"Jared Kimbrough","Sr",1,80,"Hartford",65629
"Jahvon Quinerly","Sr",5,73,"Alabama",65630
"Jalen Slawson","Sr",20,79,"Furman",65633
"Daivien Williamson","Sr",4,73,"Wake Forest",65635
"Mike Bothwell","Sr",3,75,"Furman",65636
"Isaiah Poor Bear-Chandler","Sr",44,81,"Wichita St.",65638
"Chris Ford","Sr",32,80,"Norfolk St.",65641
"Tyreese Davis","Jr",1,78,"Eastern Washington",65645
"Mason Harrell","Sr",12,69,"Texas St.",65649
"Connor Vanover","Sr",35,87,"Oral Roberts",65651
"Andre Kelly","Sr",2,81,"UC Santa Barbara",65654
