"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","year","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","game_id"
"2011-04-04","post","N",false,"Butler","Horz","Connecticut","BE",200,56,2011,12,64,9,33,8,14,20,21,41,5,8,2,6,17,41,"310940041"
"2011-04-04","post","N",true,"Connecticut","BE","Butler","Horz",200,56,2011,19,55,1,11,14,16,17,36,53,6,4,10,11,15,53,"310940041"
"2011-04-02","post","N",false,"Kentucky","SEC","Connecticut","BE",200,62,2011,21,62,9,27,4,12,15,22,37,12,11,3,10,12,55,"310920041"
"2011-04-02","post","N",true,"Connecticut","BE","Kentucky","SEC",200,62,2011,23,49,1,12,9,11,6,32,38,16,5,3,15,13,56,"310920041"
"2011-04-02","post","N",false,"VCU","CAA","Butler","Horz",200,66,2011,23,58,8,22,8,13,6,26,32,17,3,4,10,24,62,"310922086"
"2011-04-02","post","N",true,"Butler","Horz","VCU","CAA",200,66,2011,21,59,8,23,20,26,16,32,48,8,5,2,9,16,70,"310922086"
"2011-04-01","post","A",false,"Creighton","MVC","Oregon","P10",200,63,2011,26,54,7,20,10,17,12,20,32,16,4,4,14,18,69,"310912483"
"2011-04-01","post","H",true,"Oregon","P10","Creighton","MVC",200,63,2011,27,56,4,19,13,18,7,16,23,12,6,1,6,18,71,"310912483"
"2011-03-31","post","N",true,"Wichita St.","MVC","Alabama","SEC",200,65,2011,23,46,7,15,13,17,8,27,35,15,4,7,19,17,66,"310900333"
"2011-03-31","post","N",false,"Alabama","SEC","Wichita St.","MVC",200,65,2011,21,56,2,14,13,15,10,17,27,7,11,5,12,16,57,"310900333"
"2011-03-30","post","A",false,"Creighton","MVC","Oregon","P10",200,66,2011,18,43,7,18,15,18,5,21,26,11,4,4,20,9,58,"310892483"
"2011-03-30","post","H",true,"Oregon","P10","Creighton","MVC",200,66,2011,31,58,5,16,4,7,7,17,24,15,13,1,12,17,71,"310892483"
"2011-03-30","post","A",true,"Santa Clara","WCC","Iona","MAAC",200,73,2011,28,67,8,22,12,18,9,30,39,13,5,1,12,17,76,"310890314"
"2011-03-30","post","H",false,"Iona","MAAC","Santa Clara","WCC",200,73,2011,26,62,6,19,11,18,8,25,33,16,6,7,6,20,69,"310890314"
"2011-03-29","post","N",true,"Alabama","SEC","Colorado","B12",200,61,2011,28,56,2,8,4,11,12,21,33,15,11,1,11,14,62,"310880038"
"2011-03-29","post","N",false,"Colorado","B12","Alabama","SEC",200,61,2011,20,50,8,25,13,15,10,22,32,14,7,3,16,12,61,"310880038"
"2011-03-29","post","N",true,"Wichita St.","MVC","Washington St.","P10",200,64,2011,31,65,3,16,10,14,18,34,52,19,5,4,12,17,75,"310880265"
"2011-03-29","post","N",false,"Washington St.","P10","Wichita St.","MVC",200,64,2011,15,51,0,10,14,21,6,19,25,7,7,5,9,18,44,"310880265"
"2011-03-28","post","A",false,"Oregon","P10","Creighton","MVC",200,70,2011,29,64,10,26,8,12,8,18,26,17,5,1,9,22,76,"310870156"
"2011-03-28","post","H",true,"Creighton","MVC","Oregon","P10",200,70,2011,28,51,9,19,19,27,6,26,32,21,4,5,12,16,84,"310870156"
"2011-03-27","post","N",true,"Kentucky","SEC","North Carolina","ACC",200,69,2011,27,56,12,22,10,16,9,25,34,16,10,5,14,13,76,"310860153"
"2011-03-27","post","N",false,"North Carolina","ACC","Kentucky","SEC",200,69,2011,27,62,3,16,12,15,11,25,36,13,9,5,13,17,69,"310860153"
"2011-03-27","post","N",true,"VCU","CAA","Kansas","B12",200,68,2011,21,53,12,25,17,22,9,26,35,14,7,1,13,18,71,"310862305"
"2011-03-27","post","N",false,"Kansas","B12","VCU","CAA",200,68,2011,22,62,2,21,15,28,19,26,45,10,8,6,14,20,61,"310862305"
"2011-03-26","post","N",false,"Arizona","P10","Connecticut","BE",200,58,2011,24,61,4,21,11,16,19,23,42,14,3,1,9,12,63,"310850041"
"2011-03-26","post","N",true,"Connecticut","BE","Arizona","P10",200,58,2011,23,56,5,17,14,18,11,20,31,10,5,6,5,15,65,"310850041"
"2011-03-26","post","N",true,"Butler","Horz","Florida","SEC",225,66,2011,24,60,9,33,17,27,16,25,41,8,2,1,10,20,74,"310850057"
"2011-03-26","post","N",false,"Florida","SEC","Butler","Horz",225,66,2011,25,57,3,14,18,22,8,26,34,10,6,3,7,24,71,"310850057"
"2011-03-26","post","A",true,"Iona","MAAC","East Tennessee St.","ASun",200,72,2011,31,59,9,21,12,16,7,28,35,19,5,4,15,20,83,"310852193"
"2011-03-26","post","H",false,"East Tennessee St.","ASun","Iona","MAAC",200,72,2011,29,63,10,20,12,16,8,20,28,13,8,2,8,16,80,"310852193"
"2011-03-25","post","N",true,"VCU","CAA","Florida St.","ACC",225,73,2011,24,53,12,26,12,20,7,25,32,18,12,1,17,20,72,"310840052"
"2011-03-25","post","N",false,"Florida St.","ACC","VCU","CAA",225,73,2011,26,71,7,19,12,18,21,26,47,7,8,6,16,19,71,"310840052"
"2011-03-25","post","N",false,"Marquette","BE","North Carolina","ACC",200,70,2011,23,63,2,16,15,20,18,24,42,8,4,8,18,17,63,"310840153"
"2011-03-25","post","N",true,"North Carolina","ACC","Marquette","BE",200,70,2011,31,74,5,16,14,21,22,26,48,15,11,8,7,16,81,"310840153"
"2011-03-25","post","N",true,"Kentucky","SEC","Ohio St.","B10",200,59,2011,22,48,6,17,12,14,7,25,32,11,3,11,11,17,62,"310840194"
"2011-03-25","post","N",false,"Ohio St.","B10","Kentucky","SEC",200,59,2011,19,58,6,16,16,22,16,20,36,7,6,1,7,14,60,"310840194"
"2011-03-25","post","N",false,"Richmond","A10","Kansas","B12",200,63,2011,22,65,4,26,9,12,16,19,35,7,3,2,11,10,57,"310842305"
"2011-03-25","post","N",true,"Kansas","B12","Richmond","A10",200,63,2011,30,63,9,19,8,10,15,28,43,20,7,3,9,14,77,"310842305"
"2011-03-25","post","A",true,"Santa Clara","WCC","SMU","CUSA",200,60,2011,27,58,6,23,12,18,13,27,40,7,2,1,9,17,72,"310842567"
"2011-03-25","post","H",false,"SMU","CUSA","Santa Clara","WCC",200,60,2011,18,51,9,28,10,17,10,20,30,11,7,1,9,20,55,"310842567"
"2011-03-24","post","N",true,"Connecticut","BE","San Diego St.","MWC",200,64,2011,27,57,8,16,12,16,9,26,35,13,5,3,9,16,74,"310830021"
"2011-03-24","post","N",false,"San Diego St.","MWC","Connecticut","BE",200,64,2011,27,64,7,22,6,13,15,22,37,14,4,1,9,14,67,"310830021"
"2011-03-24","post","N",false,"BYU","MWC","Florida","SEC",225,79,2011,25,71,10,37,14,16,12,30,42,13,11,1,12,19,74,"310830057"
"2011-03-24","post","N",true,"Florida","SEC","BYU","MWC",225,79,2011,31,65,11,34,10,22,10,35,45,23,8,5,15,12,83,"310830057"
"2011-03-24","post","N",true,"Arizona","P10","Duke","ACC",200,69,2011,34,63,9,15,16,21,16,24,40,15,7,3,12,21,93,"310830150"
"2011-03-24","post","N",false,"Duke","ACC","Arizona","P10",200,69,2011,27,58,5,14,18,22,9,18,27,10,5,6,11,20,77,"310830150"
