"","date","type","did_win","game_id","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts"
"1174",2023-02-28,"conf",FALSE,"VillanovaSeton Hall2-28","Seton Hall","BE","Villanova","BE",200,64.2375,25,55,8,18,14,18,12,18,30,14,7,2,13,18,72
"1175",2023-02-28,"conf",FALSE,"ArkansasTennessee2-28","Arkansas","SEC","Tennessee","SEC",200,66.1625,18,49,8,22,13,22,9,23,32,8,7,4,16,21,57
"1176",2023-02-28,"conf",TRUE,"ArkansasTennessee2-28","Tennessee","SEC","Arkansas","SEC",200,66.1625,27,54,4,16,17,25,10,25,35,18,11,2,10,16,75
"1177",2023-02-28,"conf",FALSE,"South CarolinaMississippi St.2-28","South Carolina","SEC","Mississippi St.","SEC",200,64.7375,23,52,6,20,16,17,9,20,29,14,2,2,14,19,68
"1178",2023-02-28,"conf",TRUE,"South CarolinaMississippi St.2-28","Mississippi St.","SEC","South Carolina","SEC",200,64.7375,26,52,3,14,19,24,8,20,28,18,9,0,9,13,74
"1179",2023-02-28,"conf",FALSE,"Texas TechKansas2-28","Texas Tech","B12","Kansas","B12",200,67.55,25,61,3,16,10,14,10,32,42,9,3,0,10,15,63
"1180",2023-02-28,"conf",TRUE,"Texas TechKansas2-28","Kansas","B12","Texas Tech","B12",200,67.55,22,56,5,23,18,22,4,29,33,13,6,8,5,12,67
"1181",2023-02-28,"conf",FALSE,"San Diego St.Boise St.2-28","San Diego St.","MWC","Boise St.","MWC",200,59.4375,22,51,7,19,9,11,8,16,24,8,9,4,12,14,60
"1182",2023-02-28,"conf",TRUE,"San Diego St.Boise St.2-28","Boise St.","MWC","San Diego St.","MWC",200,59.4375,23,52,9,22,11,14,14,21,35,7,6,2,14,12,66
"1183",2023-02-28,"conf",TRUE,"Texas A&MMississippi2-28","Texas A&M","SEC","Mississippi","SEC",200,64.8875,25,66,5,22,14,20,16,24,40,15,11,2,5,11,69
"1184",2023-02-28,"conf",FALSE,"Texas A&MMississippi2-28","Mississippi","SEC","Texas A&M","SEC",200,64.8875,22,59,12,29,5,9,16,25,41,19,2,2,18,14,61
"1185",2023-02-28,"nond1",FALSE,"Dallas ChristianTarleton St.2-28","Dallas Christian",NA,"Tarleton St.",NA,200,89.25,17,58,7,28,4,4,8,25,33,7,7,2,37,11,45
