"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","year","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","game_id"
"2018-04-02","post","N",false,"Michigan","B10","Villanova","BE",200,67,2018,24,55,3,23,11,18,6,21,27,6,6,1,10,20,62,"MichiganVillanova4-2"
"2018-04-02","post","N",true,"Villanova","BE","Michigan","B10",200,67,2018,27,57,10,27,15,20,12,26,38,7,5,3,12,18,79,"MichiganVillanova4-2"
"2018-03-31","post","N",false,"Loyola Chicago","MVC","Michigan","B10",200,68,2018,22,51,1,10,12,14,6,26,32,6,5,1,17,17,57,"Loyola ChicagoMichigan3-31"
"2018-03-31","post","N",true,"Michigan","B10","Loyola Chicago","MVC",200,68,2018,25,59,7,28,12,18,11,25,36,8,10,2,11,11,69,"Loyola ChicagoMichigan3-31"
"2018-03-31","post","N",true,"Villanova","BE","Kansas","B12",200,70,2018,36,65,18,40,5,7,7,26,33,20,3,5,10,14,95,"VillanovaKansas3-31"
"2018-03-31","post","N",false,"Kansas","B12","Villanova","BE",200,70,2018,28,62,7,21,16,20,10,23,33,8,5,1,9,12,79,"VillanovaKansas3-31"
"2018-03-30","post","A",false,"San Francisco","WCC","North Texas","CUSA",200,72,2018,23,64,12,32,19,30,13,24,37,15,5,3,8,28,77,"San FranciscoNorth Texas3-30"
"2018-03-30","post","H",true,"North Texas","CUSA","San Francisco","WCC",200,72,2018,25,48,6,15,32,43,8,32,40,13,7,5,11,22,88,"San FranciscoNorth Texas3-30"
"2018-03-30","post","A",false,"Illinois Chicago","Horz","Northern Colorado","BSky",200,81,2018,23,64,5,21,20,24,9,30,39,5,8,5,17,20,71,"Illinois ChicagoNorthern Colorado3-30"
"2018-03-30","post","H",true,"Northern Colorado","BSky","Illinois Chicago","Horz",200,81,2018,27,62,3,24,19,25,10,33,43,9,7,4,16,16,76,"Illinois ChicagoNorthern Colorado3-30"
"2018-03-29","post","N",true,"Penn St.","B10","Utah","P12",200,64,2018,32,58,9,22,9,11,8,26,34,22,4,4,10,13,82,"Penn St.Utah3-29"
"2018-03-29","post","N",false,"Utah","P12","Penn St.","B10",200,64,2018,25,58,10,24,6,9,8,19,27,13,6,1,9,14,66,"Penn St.Utah3-29"
"2018-03-28","post","A",true,"Illinois Chicago","Horz","Liberty","BSth",200,63,2018,25,56,6,16,11,14,11,29,40,9,5,0,13,15,67,"Illinois ChicagoLiberty3-28"
"2018-03-28","post","H",false,"Liberty","BSth","Illinois Chicago","Horz",200,63,2018,20,60,5,20,6,9,13,23,36,11,2,5,12,16,51,"Illinois ChicagoLiberty3-28"
"2018-03-28","post","A",false,"San Francisco","WCC","North Texas","CUSA",200,63,2018,21,50,9,30,4,7,4,27,31,10,1,5,16,16,55,"San FranciscoNorth Texas3-28"
"2018-03-28","post","H",true,"North Texas","CUSA","San Francisco","WCC",200,63,2018,27,68,2,18,13,16,16,27,43,9,7,3,3,13,69,"San FranciscoNorth Texas3-28"
"2018-03-28","post","A",false,"Sam Houston St.","Slnd","Northern Colorado","BSky",200,80,2018,29,65,7,17,15,24,10,28,38,14,6,1,14,21,80,"Sam Houston St.Northern Colorado3-28"
"2018-03-28","post","H",true,"Northern Colorado","BSky","Sam Houston St.","Slnd",200,80,2018,36,61,17,30,10,18,2,32,34,15,6,6,13,21,99,"Sam Houston St.Northern Colorado3-28"
"2018-03-27","post","N",false,"Western Kentucky","CUSA","Utah","P12",200,65,2018,23,66,7,24,11,14,12,20,32,13,5,3,6,22,64,"Western KentuckyUtah3-27"
"2018-03-27","post","N",true,"Utah","P12","Western Kentucky","CUSA",200,65,2018,23,48,5,16,18,23,7,31,38,9,2,0,13,12,69,"Western KentuckyUtah3-27"
"2018-03-27","post","N",true,"Penn St.","B10","Mississippi St.","SEC",200,61,2018,29,59,11,20,6,10,10,23,33,18,9,3,8,19,75,"Penn St.Mississippi St.3-27"
"2018-03-27","post","N",false,"Mississippi St.","SEC","Penn St.","B10",200,61,2018,21,53,3,15,15,21,12,23,35,7,2,3,11,14,60,"Penn St.Mississippi St.3-27"
"2018-03-26","post","A",false,"North Texas","CUSA","San Francisco","WCC",200,70,2018,27,69,4,21,4,8,12,32,44,8,8,3,10,12,62,"North TexasSan Francisco3-26"
"2018-03-26","post","H",true,"San Francisco","WCC","North Texas","CUSA",200,70,2018,26,68,14,33,6,13,14,32,46,20,6,7,10,13,72,"North TexasSan Francisco3-26"
"2018-03-25","post","N",false,"Texas Tech","B12","Villanova","BE",200,66,2018,20,60,5,20,14,18,11,22,33,7,4,1,9,23,59,"Texas TechVillanova3-25"
"2018-03-25","post","N",true,"Villanova","BE","Texas Tech","B12",200,66,2018,19,57,4,24,29,35,20,31,51,7,6,4,12,17,71,"Texas TechVillanova3-25"
"2018-03-25","post","N",false,"Duke","ACC","Kansas","B12",225,78,2018,30,70,7,29,14,18,10,22,32,13,9,3,11,16,81,"DukeKansas3-25"
"2018-03-25","post","N",true,"Kansas","B12","Duke","ACC",225,78,2018,30,69,13,36,12,15,17,30,47,20,5,3,18,14,85,"DukeKansas3-25"
"2018-03-24","post","A",false,"Central Michigan","MAC","Liberty","BSth",200,65,2018,26,58,10,32,9,15,10,20,30,13,5,2,12,10,71,"Central MichiganLiberty3-24"
"2018-03-24","post","H",true,"Liberty","BSth","Central Michigan","MAC",200,65,2018,32,57,11,25,9,9,5,26,31,23,8,2,8,11,84,"Central MichiganLiberty3-24"
"2018-03-24","post","N",true,"Loyola Chicago","MVC","Kansas St.","B12",200,66,2018,27,47,9,18,15,18,4,32,36,17,2,2,15,15,78,"Loyola ChicagoKansas St.3-24"
"2018-03-24","post","N",false,"Kansas St.","B12","Loyola Chicago","MVC",200,66,2018,23,66,6,26,10,12,11,17,28,9,7,2,6,19,62,"Loyola ChicagoKansas St.3-24"
"2018-03-24","post","N",false,"Florida St.","ACC","Michigan","B10",200,63,2018,16,51,4,17,18,20,10,26,36,6,6,7,15,23,54,"Florida St.Michigan3-24"
"2018-03-24","post","N",true,"Michigan","B10","Florida St.","ACC",200,63,2018,19,49,4,22,16,24,9,25,34,8,6,4,11,16,58,"Florida St.Michigan3-24"
"2018-03-23","post","N",false,"Clemson","ACC","Kansas","B12",200,71,2018,28,65,6,20,14,19,14,25,39,11,6,4,12,18,76,"ClemsonKansas3-23"
