"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","year","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","game_id"
"2016-04-04","post","N",true,"Villanova","BE","North Carolina","ACC",200,64,2016,28,48,8,14,13,17,2,21,23,6,5,5,10,16,77,"VillanovaNorth Carolina4-4"
"2016-04-04","post","N",false,"North Carolina","ACC","Villanova","BE",200,64,2016,27,63,11,17,9,13,16,20,36,16,5,3,11,20,74,"VillanovaNorth Carolina4-4"
"2016-04-02","post","N",false,"Oklahoma","B12","Villanova","BE",200,62,2016,19,60,6,27,7,11,19,10,29,8,6,2,17,20,51,"OklahomaVillanova4-2"
"2016-04-02","post","N",true,"Villanova","BE","Oklahoma","B12",200,62,2016,35,49,11,18,14,19,7,25,32,14,12,3,11,11,95,"OklahomaVillanova4-2"
"2016-04-02","post","N",false,"Syracuse","ACC","North Carolina","ACC",200,66,2016,27,66,8,25,4,13,16,15,31,5,8,4,10,15,66,"SyracuseNorth Carolina4-2"
"2016-04-02","post","N",true,"North Carolina","ACC","Syracuse","ACC",200,66,2016,35,65,4,17,9,11,16,27,43,18,6,5,12,12,83,"SyracuseNorth Carolina4-2"
"2016-04-01","post","A",false,"Morehead St.","OVC","Nevada","MWC",225,78,2016,35,75,6,18,6,13,14,26,40,23,6,3,11,31,82,"Morehead St.Nevada4-1"
"2016-04-01","post","H",true,"Nevada","MWC","Morehead St.","OVC",225,78,2016,21,56,4,14,39,45,12,28,40,13,3,8,13,16,85,"Morehead St.Nevada4-1"
"2016-03-31","post","N",true,"George Washington","A10","Valparaiso","Horz",200,65,2016,23,52,8,19,22,26,7,26,33,16,6,5,8,14,76,"George WashingtonValparaiso3-31"
"2016-03-31","post","N",false,"Valparaiso","Horz","George Washington","A10",200,65,2016,23,59,8,28,6,6,10,24,34,16,2,6,14,20,60,"George WashingtonValparaiso3-31"
"2016-03-30","post","A",false,"Morehead St.","OVC","Nevada","MWC",200,78,2016,26,69,1,16,13,24,17,22,39,10,13,1,16,29,68,"Morehead St.Nevada3-30"
"2016-03-30","post","H",true,"Nevada","MWC","Morehead St.","OVC",200,78,2016,22,44,6,10,27,42,8,32,40,13,6,5,21,20,77,"Morehead St.Nevada3-30"
"2016-03-30","post","N",false,"Oakland","Horz","Old Dominion","CUSA",200,63,2016,21,50,10,23,15,21,8,19,27,13,9,1,11,17,67,"OaklandOld Dominion3-30"
"2016-03-30","post","N",true,"Old Dominion","CUSA","Oakland","Horz",200,63,2016,28,60,3,8,9,14,16,24,40,16,6,2,13,18,68,"OaklandOld Dominion3-30"
"2016-03-29","post","N",false,"BYU","WCC","Valparaiso","Horz",200,78,2016,26,68,7,21,11,17,15,30,45,8,16,8,18,18,70,"BYUValparaiso3-29"
"2016-03-29","post","N",true,"Valparaiso","Horz","BYU","WCC",200,78,2016,26,61,11,28,9,17,11,31,42,18,9,8,20,16,72,"BYUValparaiso3-29"
"2016-03-29","post","N",false,"East Tennessee St.","SC","Oakland","Horz",200,80,2016,30,68,13,32,8,13,10,31,41,17,5,5,17,17,81,"East Tennessee St.Oakland3-29"
"2016-03-29","post","N",true,"Oakland","Horz","East Tennessee St.","SC",200,80,2016,35,74,15,34,19,22,11,32,43,19,10,1,6,15,104,"East Tennessee St.Oakland3-29"
"2016-03-29","post","N",true,"George Washington","A10","San Diego St.","MWC",200,56,2016,26,61,7,19,6,9,15,26,41,17,4,4,6,15,65,"George WashingtonSan Diego St.3-29"
"2016-03-29","post","N",false,"San Diego St.","MWC","George Washington","A10",200,56,2016,17,59,3,22,9,12,18,22,40,8,4,6,11,14,46,"George WashingtonSan Diego St.3-29"
"2016-03-29","post","A",false,"UC Irvine","BW","Columbia","Ivy",200,73,2016,26,58,6,18,9,16,9,25,34,18,11,4,17,22,67,"UC IrvineColumbia3-29"
"2016-03-29","post","H",true,"Columbia","Ivy","UC Irvine","BW",200,73,2016,22,55,8,28,21,27,11,27,38,16,8,4,17,15,73,"UC IrvineColumbia3-29"
"2016-03-29","post","N",false,"UC Santa Barbara","BW","Old Dominion","CUSA",200,61,2016,17,51,9,29,6,8,6,28,34,9,1,1,14,15,49,"UC Santa BarbaraOld Dominion3-29"
"2016-03-29","post","N",true,"Old Dominion","CUSA","UC Santa Barbara","BW",200,61,2016,22,58,8,27,12,15,9,30,39,15,6,3,5,13,64,"UC Santa BarbaraOld Dominion3-29"
"2016-03-28","post","N",false,"Louisiana Tech","CUSA","East Tennessee St.","SC",200,87,2016,29,70,8,22,17,30,11,31,42,16,9,4,15,19,83,"Louisiana TechEast Tennessee St.3-28"
"2016-03-28","post","N",true,"East Tennessee St.","SC","Louisiana Tech","CUSA",200,87,2016,30,69,11,29,17,23,9,36,45,13,6,5,16,23,88,"Louisiana TechEast Tennessee St.3-28"
"2016-03-28","post","A",false,"Nevada","MWC","Morehead St.","OVC",200,68,2016,29,58,7,16,18,27,13,23,36,10,1,4,11,25,83,"NevadaMorehead St.3-28"
"2016-03-28","post","H",true,"Morehead St.","OVC","Nevada","MWC",200,68,2016,31,64,4,16,20,30,15,22,37,17,5,2,5,23,86,"NevadaMorehead St.3-28"
"2016-03-28","post","N",true,"Oakland","Horz","Towson","CAA",200,77,2016,26,56,7,19,31,39,6,29,35,13,5,2,11,22,90,"OaklandTowson3-28"
"2016-03-28","post","N",false,"Towson","CAA","Oakland","Horz",200,77,2016,26,63,4,21,16,30,11,27,38,10,4,5,9,26,72,"OaklandTowson3-28"
"2016-03-28","post","N",false,"Tennessee Tech","OVC","Old Dominion","CUSA",200,58,2016,21,49,7,21,10,13,6,20,26,10,1,2,8,16,59,"Tennessee TechOld Dominion3-28"
"2016-03-28","post","N",true,"Old Dominion","CUSA","Tennessee Tech","OVC",200,58,2016,30,58,5,18,10,14,11,24,35,13,8,1,6,14,75,"Tennessee TechOld Dominion3-28"
"2016-03-28","post","N",true,"UC Santa Barbara","BW","Northern Illinois","MAC",200,68,2016,26,56,6,25,12,21,10,28,38,14,5,2,16,19,70,"UC Santa BarbaraNorthern Illinois3-28"
"2016-03-28","post","N",false,"Northern Illinois","MAC","UC Santa Barbara","BW",200,68,2016,21,54,4,15,17,26,11,25,36,6,9,4,10,20,63,"UC Santa BarbaraNorthern Illinois3-28"
"2016-03-27","post","A",false,"NJIT","ASun","Columbia","Ivy",200,65,2016,24,58,12,25,5,8,8,21,29,17,2,1,11,14,65,"NJITColumbia3-27"
"2016-03-27","post","H",true,"Columbia","Ivy","NJIT","ASun",200,65,2016,27,56,10,27,16,20,11,28,39,19,6,8,11,13,80,"NJITColumbia3-27"
"2016-03-27","post","N",false,"Notre Dame","ACC","North Carolina","ACC",200,57,2016,27,49,9,18,11,14,5,10,15,9,3,1,7,18,74,"Notre DameNorth Carolina3-27"
"2016-03-27","post","N",true,"North Carolina","ACC","Notre Dame","ACC",200,57,2016,32,52,4,13,20,24,13,19,32,17,4,1,6,17,88,"Notre DameNorth Carolina3-27"
"2016-03-27","post","N",true,"Syracuse","ACC","Virginia","ACC",200,64,2016,21,57,6,18,20,25,12,24,36,10,11,7,8,15,68,"SyracuseVirginia3-27"
"2016-03-27","post","N",false,"Virginia","ACC","Syracuse","ACC",200,64,2016,22,53,8,21,10,12,8,26,34,21,3,8,13,16,62,"SyracuseVirginia3-27"
"2016-03-27","post","A",true,"UC Irvine","BW","Coastal Carolina","BSth",200,67,2016,24,57,9,23,9,13,10,37,47,11,8,5,14,15,66,"UC IrvineCoastal Carolina3-27"
"2016-03-27","post","H",false,"Coastal Carolina","BSth","UC Irvine","BW",200,67,2016,17,62,6,26,7,9,10,26,36,9,5,6,12,14,47,"UC IrvineCoastal Carolina3-27"
"2016-03-26","post","N",true,"Oklahoma","B12","Oregon","P12",200,67,2016,27,58,12,24,14,17,14,24,38,16,4,2,15,21,80,"OklahomaOregon3-26"
"2016-03-26","post","N",false,"Oregon","P12","Oklahoma","B12",200,67,2016,21,54,4,21,22,30,13,19,32,10,10,2,12,16,68,"OklahomaOregon3-26"
"2016-03-26","post","N",true,"Villanova","BE","Kansas","B12",200,65,2016,21,52,4,18,18,19,5,23,28,7,11,2,9,16,64,"VillanovaKansas3-26"
"2016-03-26","post","N",false,"Kansas","B12","Villanova","BE",200,65,2016,23,50,6,22,7,11,6,26,32,11,5,2,16,19,59,"VillanovaKansas3-26"
"2016-03-25","post","N",false,"Gonzaga","WCC","Syracuse","ACC",200,62,2016,24,55,8,21,4,5,12,25,37,18,4,8,17,14,60,"GonzagaSyracuse3-25"
"2016-03-25","post","N",true,"Syracuse","ACC","Gonzaga","WCC",200,62,2016,22,61,5,15,14,16,15,18,33,9,9,10,9,12,63,"GonzagaSyracuse3-25"
"2016-03-25","post","N",false,"Indiana","B10","North Carolina","ACC",200,71,2016,25,61,13,31,23,26,15,17,32,13,2,1,12,27,86,"IndianaNorth Carolina3-25"
"2016-03-25","post","N",true,"North Carolina","ACC","Indiana","B10",200,71,2016,32,62,11,20,26,33,15,22,37,20,7,5,9,22,101,"IndianaNorth Carolina3-25"
"2016-03-25","post","N",false,"Iowa St.","B12","Virginia","ACC",200,69,2016,27,52,7,18,10,15,2,22,24,16,6,2,12,19,71,"Iowa St.Virginia3-25"
"2016-03-25","post","N",true,"Virginia","ACC","Iowa St.","B12",200,69,2016,32,57,4,11,16,24,7,26,33,26,8,5,8,13,84,"Iowa St.Virginia3-25"
"2016-03-25","post","N",false,"Wisconsin","B10","Notre Dame","ACC",200,63,2016,23,57,6,20,4,6,13,23,36,11,8,4,17,15,56,"WisconsinNotre Dame3-25"
"2016-03-25","post","N",true,"Notre Dame","ACC","Wisconsin","B10",200,63,2016,22,55,4,13,13,14,11,21,32,13,10,6,12,9,61,"WisconsinNotre Dame3-25"
"2016-03-24","post","N",false,"Duke","ACC","Oregon","P12",200,69,2016,26,59,7,22,9,15,5,27,32,12,4,3,8,19,68,"DukeOregon3-24"
"2016-03-24","post","N",true,"Oregon","P12","Duke","ACC",200,69,2016,32,65,10,23,8,17,12,30,42,22,3,5,8,17,82,"DukeOregon3-24"
"2016-03-24","post","N",false,"Maryland","B10","Kansas","B12",200,68,2016,22,55,5,25,14,20,6,22,28,9,7,7,9,23,63,"MarylandKansas3-24"
"2016-03-24","post","N",true,"Kansas","B12","Maryland","B10",200,68,2016,29,62,3,9,18,21,13,30,43,14,5,1,11,20,79,"MarylandKansas3-24"
"2016-03-24","post","N",false,"Miami FL","ACC","Villanova","BE",200,58,2016,25,47,10,17,9,13,7,10,17,12,6,1,12,19,69,"Miami FLVillanova3-24"
"2016-03-24","post","N",true,"Villanova","BE","Miami FL","ACC",200,58,2016,32,51,10,15,18,19,9,18,27,17,8,1,8,16,92,"Miami FLVillanova3-24"
