"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","second_chance_pts","second_chance_fgm","second_chance_fga","second_change_fg_pct","pts_in_paint","pts_in_paint_fgm","pts_in_paint_fga","pts_in_paint_fg_pct","fast_brk_pts","fast_brk_fgm","fast_brk_fga","fast_brk_fg_pct","bench_pts","pts_tov","biggest_lead_score","biggest_lead","biggest_run_score","biggest_run","lead_changes","time_leading","quad_game","game_id","year"
"2022-03-27","post","N",false,"Saint Peter's","MAAC","North Carolina","ACC",200,64,18,60,4,16,9,10,7,26,33,11,4,7,7,18,49,7,6,10,0.6,26,13,36,0.36111,9,5,6,0.83333,21,8,,0,"47-26",6,0,0,"quad1","Saint Peter'sNorth Carolina3-27",2022
"2022-03-27","post","N",true,"North Carolina","ACC","Saint Peter's","MAAC",200,64,25,61,6,22,13,21,14,35,49,15,6,5,8,12,69,14,7,14,0.5,34,17,34,0.5,5,4,5,0.8,2,11,"47 - 20",27,"9-0",9,0,39.7,"quad3","Saint Peter'sNorth Carolina3-27",2022
"2022-03-26","post","A",false,"Portland","WCC","Southern Utah","BSky",200,66,23,54,6,18,14,17,7,18,25,12,4,2,11,13,66,5,4,9,0.44444,20,10,22,0.45455,7,7,8,0.875,3,9,,0,"34-28",6,0,0,"quad3","PortlandSouthern Utah3-26",2022
"2022-03-26","post","H",true,"Southern Utah","BSky","Portland","WCC",200,66,29,54,10,26,9,11,8,27,35,15,3,0,15,23,77,9,4,8,0.5,28,14,22,0.63636,7,5,7,0.71429,27,10,"58 - 43",15,"12-0",12,0,39.716667,"quad4","PortlandSouthern Utah3-26",2022
"2022-03-26","post","N",false,"Houston","Amer","Villanova","BE",200,57,17,57,1,20,9,14,15,24,39,7,6,4,10,14,44,14,7,16,0.4375,26,13,30,0.43333,6,4,4,1,10,8,,0,"42-40",6,0,0,"quad1","HoustonVillanova3-26",2022
"2022-03-26","post","N",true,"Villanova","BE","Houston","Amer",200,57,15,52,5,21,15,15,12,26,38,6,3,2,10,12,50,2,2,11,0.18182,14,7,20,0.35,0,0,0,,12,12,"21 - 10",11,"5-0",5,0,39.516667,"quad1","HoustonVillanova3-26",2022
"2022-03-26","post","N",false,"Arkansas","SEC","Duke","ACC",200,69,26,62,6,20,11,11,8,17,25,12,6,5,11,15,69,8,4,8,0.5,34,17,35,0.48571,3,3,3,1,11,21,"4 - 7",3,"78-69",6,1,3.85,"quad1","ArkansasDuke3-26",2022
"2022-03-26","post","N",true,"Duke","ACC","Arkansas","SEC",200,69,29,53,4,10,16,18,7,27,34,8,7,5,15,15,78,10,5,6,0.83333,46,23,34,0.67647,6,3,3,1,9,12,"72 - 54",18,"63-48",10,1,33.55,"quad1","ArkansasDuke3-26",2022
"2022-03-25","post","N",false,"Providence","BE","Kansas","B12",200,69,23,68,4,23,11,16,13,25,38,10,4,4,7,21,61,5,3,14,0.21429,36,18,36,0.5,16,8,9,0.88889,11,15,"47 - 48",1,"36-29",6,2,0.466667,"quad1","ProvidenceKansas3-25",2022
"2022-03-25","post","N",true,"Kansas","B12","Providence","BE",200,69,22,56,2,15,20,28,10,33,43,7,3,11,10,15,66,17,8,11,0.72727,30,15,33,0.45455,6,4,4,1,25,14,"34 - 21",13,"11-4",7,2,35.8,"quad1","ProvidenceKansas3-25",2022
