"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","year","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","game_id"
"2008-04-07","post","N",true,"Kansas","B12","Memphis","CUSA",225,71,2008,29,55,3,12,14,15,9,30,39,14,11,1,17,18,75,"284000063"
"2008-04-07","post","N",false,"Memphis","CUSA","Kansas","B12",225,71,2008,25,62,6,22,12,19,11,17,28,14,11,3,13,17,68,"284000063"
"2008-04-05","post","N",true,"Kansas","B12","North Carolina","ACC",200,78,2008,34,64,5,15,11,14,11,31,42,17,10,9,19,21,84,"284000031"
"2008-04-05","post","N",false,"North Carolina","ACC","Kansas","B12",200,78,2008,24,67,5,24,13,15,13,20,33,7,7,3,18,14,66,"284000031"
"2008-04-05","post","N",false,"UCLA","P10","Memphis","CUSA",200,69,2008,24,64,4,13,11,13,12,24,36,8,6,4,12,17,63,"284000062"
"2008-04-05","post","N",true,"Memphis","CUSA","UCLA","P10",200,69,2008,27,64,4,12,20,23,15,28,43,10,7,6,9,14,78,"284000062"
"2008-04-04","post","A",false,"Bradley","MVC","Tulsa","CUSA",200,66,2008,25,70,9,30,5,6,15,20,35,19,6,1,9,20,64,"280950202"
"2008-04-04","post","H",true,"Tulsa","CUSA","Bradley","MVC",200,66,2008,24,56,6,18,16,22,14,30,44,11,6,10,14,13,70,"280950202"
"2008-04-03","post","N",false,"Massachusetts","A10","Ohio St.","B10",200,76,2008,32,87,12,32,9,11,30,18,48,20,10,2,13,18,85,"280940194"
"2008-04-03","post","N",true,"Ohio St.","B10","Massachusetts","A10",200,76,2008,32,58,10,19,18,25,12,27,39,18,8,11,19,17,92,"280940194"
"2008-04-02","post","A",false,"Tulsa","CUSA","Bradley","MVC",200,64,2008,23,57,10,24,18,23,14,19,33,11,1,3,12,20,74,"280930071"
"2008-04-02","post","H",true,"Bradley","MVC","Tulsa","CUSA",200,64,2008,29,56,11,23,14,21,10,22,32,20,8,4,7,18,83,"280930071"
"2008-04-01","post","N",false,"Mississippi","SEC","Ohio St.","B10",200,77,2008,25,60,10,20,9,20,13,24,37,19,6,4,21,16,69,"280920194"
"2008-04-01","post","N",true,"Ohio St.","B10","Mississippi","SEC",200,77,2008,34,73,5,23,8,15,20,30,50,18,12,11,17,19,81,"280920194"
"2008-04-01","post","N",true,"Massachusetts","A10","Florida","SEC",200,76,2008,27,64,5,24,19,27,12,29,41,10,6,9,11,18,78,"280930113"
"2008-04-01","post","N",false,"Florida","SEC","Massachusetts","A10",200,76,2008,28,71,2,12,8,21,20,30,50,15,5,1,16,22,66,"280930113"
"2008-03-31","post","A",false,"Bradley","MVC","Tulsa","CUSA",200,72,2008,27,61,4,19,10,18,9,21,30,12,11,1,12,23,68,"280910202"
"2008-03-31","post","H",true,"Tulsa","CUSA","Bradley","MVC",200,72,2008,23,55,5,19,22,37,18,29,47,12,8,6,17,18,73,"280910202"
"2008-03-30","post","N",false,"Davidson","SC","Kansas","B12",200,62,2008,22,57,8,27,5,12,9,21,30,17,7,2,9,15,57,"284000015"
"2008-03-30","post","N",true,"Kansas","B12","Davidson","SC",200,62,2008,23,52,5,14,8,14,10,28,38,12,5,5,14,16,59,"284000015"
"2008-03-30","post","N",false,"Texas","B12","Memphis","CUSA",200,68,2008,25,69,9,28,8,9,13,23,36,13,5,4,8,25,67,"284000030"
"2008-03-30","post","N",true,"Memphis","CUSA","Texas","B12",200,68,2008,26,52,3,11,30,36,7,32,39,18,4,5,7,13,85,"284000030"
"2008-03-29","post","N",false,"Xavier","A10","UCLA","P10",200,61,2008,21,58,4,19,11,16,14,14,28,12,6,1,9,15,57,"284000046"
"2008-03-29","post","N",true,"UCLA","P10","Xavier","A10",200,61,2008,28,52,7,15,13,18,13,24,37,17,6,6,14,19,76,"284000046"
"2008-03-29","post","N",false,"Louisville","BE","North Carolina","ACC",200,67,2008,29,55,6,19,9,16,13,14,27,15,7,5,19,19,73,"284000061"
"2008-03-29","post","N",true,"North Carolina","ACC","Louisville","BE",200,67,2008,31,58,3,11,18,21,15,18,33,16,9,0,14,17,83,"284000061"
"2008-03-28","post","N",false,"Villanova","BE","Kansas","B12",200,66,2008,21,59,3,17,12,18,15,15,30,5,10,2,14,17,57,"284000007"
"2008-03-28","post","N",true,"Kansas","B12","Villanova","BE",200,66,2008,24,45,8,19,16,20,7,26,33,16,8,5,18,18,72,"284000007"
"2008-03-28","post","N",false,"Michigan St.","B10","Memphis","CUSA",200,67,2008,29,59,5,18,11,17,11,17,28,18,2,3,12,28,74,"284000022"
"2008-03-28","post","N",true,"Memphis","CUSA","Michigan St.","B10",200,67,2008,31,59,4,13,26,35,17,22,39,13,9,7,9,16,92,"284000022"
"2008-03-28","post","N",true,"Davidson","SC","Wisconsin","B10",200,54,2008,26,53,12,24,9,12,11,17,28,18,9,0,7,19,73,"284000014"
"2008-03-28","post","N",false,"Wisconsin","B10","Davidson","SC",200,54,2008,17,46,8,23,14,21,14,17,31,9,2,3,12,13,56,"284000014"
"2008-03-28","post","N",false,"Stanford","P10","Texas","B12",200,65,2008,22,65,6,17,12,18,19,23,42,13,5,4,10,14,62,"284000029"
"2008-03-28","post","N",true,"Texas","B12","Stanford","P10",200,65,2008,32,65,7,22,11,18,14,28,42,16,7,5,6,14,82,"284000029"
"2008-03-27","post","N",false,"Washington St.","P10","North Carolina","ACC",200,65,2008,18,57,2,16,9,15,9,23,32,9,6,5,10,18,47,"284000053"
"2008-03-27","post","N",true,"North Carolina","ACC","Washington St.","P10",200,65,2008,25,58,5,15,13,19,14,32,46,11,5,5,13,16,68,"284000053"
"2008-03-27","post","N",false,"West Virginia","BE","Xavier","A10",225,67,2008,28,66,1,11,18,27,17,21,38,16,5,6,8,21,75,"284000045"
"2008-03-27","post","N",true,"Xavier","A10","West Virginia","BE",225,67,2008,28,59,11,19,12,21,15,26,41,16,3,5,12,25,79,"284000045"
"2008-03-27","post","N",true,"Louisville","BE","Tennessee","SEC",200,76,2008,26,50,4,14,23,30,9,34,43,14,6,7,20,23,79,"284000060"
"2008-03-27","post","N",false,"Tennessee","SEC","Louisville","BE",200,76,2008,19,56,5,20,17,25,8,20,28,12,11,1,17,26,60,"284000060"
"2008-03-27","post","N",false,"Western Kentucky","SB","UCLA","P10",200,76,2008,25,72,9,24,19,26,18,18,36,12,11,4,11,24,78,"284000038"
"2008-03-27","post","N",true,"UCLA","P10","Western Kentucky","SB",200,76,2008,29,58,4,9,26,35,17,34,51,17,6,8,19,22,88,"284000038"
"2008-03-26","post","A",true,"Mississippi","SEC","Virginia Tech","ACC",200,68,2008,29,59,8,19,15,23,16,30,46,19,2,2,13,20,81,"280860259"
"2008-03-26","post","H",false,"Virginia Tech","ACC","Mississippi","SEC",200,68,2008,25,63,9,28,13,22,9,14,23,15,3,2,5,17,72,"280860259"
