"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","year","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","game_id"
"2012-04-02","post","N",false,"Kansas","B12","Kentucky","SEC",200,66,2012,22,62,5,11,10,15,11,24,35,9,6,5,9,16,59,"320930096"
"2012-04-02","post","N",true,"Kentucky","SEC","Kansas","B12",200,66,2012,23,56,6,14,15,21,12,31,43,12,4,11,11,15,67,"320930096"
"2012-03-31","post","N",false,"Louisville","BE","Kentucky","SEC",200,67,2012,24,69,4,11,9,13,19,21,40,7,5,4,12,16,61,"320910096"
"2012-03-31","post","N",true,"Kentucky","SEC","Louisville","BE",200,67,2012,28,49,2,7,11,20,6,27,33,9,7,7,14,14,69,"320910096"
"2012-03-31","post","N",false,"Ohio St.","B10","Kansas","B12",200,67,2012,20,59,8,22,14,15,10,20,30,11,7,7,12,17,62,"320912305"
"2012-03-31","post","N",true,"Kansas","B12","Ohio St.","B10",200,67,2012,25,56,3,11,11,14,12,30,42,14,5,8,17,15,64,"320912305"
"2012-03-30","post","A",false,"Washington St.","P12","Pittsburgh","BE",200,55,2012,21,40,4,13,19,29,8,20,28,9,0,1,9,21,65,"320900221"
"2012-03-30","post","H",true,"Pittsburgh","BE","Washington St.","P12",200,55,2012,24,47,4,14,19,26,6,16,22,16,3,1,3,22,71,"320900221"
"2012-03-29","post","N",false,"Minnesota","B10","Stanford","P12",200,71,2012,19,51,3,13,10,17,9,20,29,13,7,4,22,20,51,"320890024"
"2012-03-29","post","N",true,"Stanford","P12","Minnesota","B10",200,71,2012,29,58,6,13,11,15,11,27,38,17,12,4,16,18,75,"320890024"
"2012-03-28","post","A",true,"Mercer","ASun","Utah St.","WAC",200,66,2012,23,57,6,21,18,23,7,23,30,13,4,1,6,19,70,"320880328"
"2012-03-28","post","H",false,"Utah St.","WAC","Mercer","ASun",200,66,2012,22,53,7,23,16,22,7,28,35,15,1,1,9,19,67,"320880328"
"2012-03-28","post","A",false,"Washington St.","P12","Pittsburgh","BE",200,56,2012,17,39,4,13,15,18,4,20,24,9,6,4,12,19,53,"320880221"
"2012-03-28","post","H",true,"Pittsburgh","BE","Washington St.","P12",200,56,2012,18,44,6,20,15,21,8,18,26,14,3,3,12,20,57,"320880221"
"2012-03-27","post","N",false,"Massachusetts","A10","Stanford","P12",200,78,2012,23,68,5,22,13,22,16,29,45,10,5,8,17,26,64,"320870024"
"2012-03-27","post","N",true,"Stanford","P12","Massachusetts","A10",200,78,2012,24,65,5,16,21,30,19,35,54,14,10,6,17,22,74,"320870024"
"2012-03-27","post","N",true,"Minnesota","B10","Washington","P12",225,75,2012,26,59,3,13,13,20,11,29,40,15,5,7,21,17,68,"320870264"
"2012-03-27","post","N",false,"Washington","P12","Minnesota","B10",225,75,2012,26,70,5,16,10,16,19,24,43,11,11,2,14,18,67,"320870264"
"2012-03-26","post","A",false,"Pittsburgh","BE","Washington St.","P12",200,54,2012,24,54,10,20,8,15,12,16,28,18,4,2,7,14,66,"320860265"
"2012-03-26","post","H",true,"Washington St.","P12","Pittsburgh","BE",200,54,2012,22,43,9,15,14,19,7,19,26,16,3,4,8,10,67,"320860265"
"2012-03-25","post","N",false,"Baylor","B12","Kentucky","SEC",200,70,2012,25,64,4,14,16,19,16,18,34,15,5,5,14,32,70,"320850096"
"2012-03-25","post","N",true,"Kentucky","SEC","Baylor","B12",200,70,2012,24,45,4,9,30,44,8,24,32,15,9,9,13,18,82,"320850096"
"2012-03-25","post","N",true,"Kansas","B12","North Carolina","ACC",200,71,2012,29,63,4,14,18,24,11,30,41,14,9,3,8,16,80,"320850153"
