"date","type","team","conf","opp","opp_conf","loc","result","avg_marg","opp_avg_marg","adj_o","adj_d","off_ppp","off_efg","off_to","off_or","off_ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","season","tempo","game_id","coach","opp_coach"
2011-03-26,"post","Arizona","P10","Connecticut","BE","N","L, 65-63",-1.01461,0.926246,119,98.2,107.6,42.6,15.4,48.7,26.2,111,45.5,8.5,32.4,32.1,90.1,2011,58.6,"310850041","Sean Miller","Jim Calhoun"
2011-03-26,"post","Connecticut","BE","Arizona","P10","N","W, 65-63",1.01461,0.907052,116.8,93.1,111,45.5,8.5,32.4,32.1,107.6,42.6,15.4,48.7,26.2,93.1,2011,58.6,"310850041","Jim Calhoun","Sean Miller"
2011-03-26,"post","Butler","Horz","Florida","SEC","N","W, 74-71",-2.43488,0.913298,118.1,95.9,111,47.5,15,38.1,45,106.5,46.5,10.5,24.2,38.6,91.6,2011,59.2,"310850057","Brad Stevens","Billy Donovan"
2011-03-26,"post","Florida","SEC","Butler","Horz","N","L, 74-71",2.43488,0.863562,116.8,99.9,106.5,46.5,10.5,24.2,38.6,111,47.5,15,38.1,45,85.9,2011,59.2,"310850057","Billy Donovan","Brad Stevens"
2011-03-26,"post","East Tennessee St.","ASun","Iona","MAAC","H","L, 83-80",-0.889862,0.710619,110,104.5,110.2,54,11,22.2,25.4,114.3,60.2,20.7,25.9,27.1,64.4,2011,72.6,"310852193","Murry Bartow","Tim Cluess"
2011-03-26,"post","Iona","MAAC","East Tennessee St.","ASun","A","W, 83-80",0.889862,0.726106,120.6,107.9,114.3,60.2,20.7,25.9,27.1,110.2,54,11,22.2,25.4,78.2,2011,72.6,"310852193","Tim Cluess","Murry Bartow"
2011-03-25,"post","Florida St.","ACC","VCU","CAA","N","L, 72-71",-1.91397,0.800117,98.8,90.3,96.6,41.5,21.8,45.7,25.4,97.9,56.6,23.1,21.2,37.7,73.8,2011,65.4,"310840052","Leonard Hamilton","Shaka Smart"
2011-03-25,"post","VCU","CAA","Florida St.","ACC","N","W, 72-71",1.91397,0.876184,116.1,95,97.9,56.6,23.1,21.2,37.7,96.6,41.5,21.8,45.7,25.4,90.9,2011,65.4,"310840052","Shaka Smart","Leonard Hamilton"
2011-03-25,"post","Marquette","BE","North Carolina","ACC","N","L, 81-63",-14.3848,0.930156,99.2,106.3,89.1,38.1,25.4,40.9,31.7,114.5,45.3,9.9,47.8,28.4,31.1,2011,70.7,"310840153","Buzz Williams","Roy Williams"
2011-03-25,"post","North Carolina","ACC","Marquette","BE","N","W, 81-63",14.3848,0.877217,123.3,77.4,114.5,45.3,9.9,47.8,28.4,89.1,38.1,25.4,40.9,31.7,99.5,2011,70.7,"310840153","Roy Williams","Buzz Williams"
2011-03-25,"post","Kentucky","SEC","Ohio St.","B10","N","W, 62-60",-0.822891,0.976933,117,83.7,105,52.1,18.6,25.9,29.2,101.6,37.9,11.9,39,37.9,97.9,2011,59,"310840194","John Calipari","Thad Matta"
2011-03-25,"post","Ohio St.","B10","Kentucky","SEC","N","L, 62-60",0.822891,0.94792,113.9,89.3,101.6,37.9,11.9,39,37.9,105,52.1,18.6,25.9,29.2,94.3,2011,59,"310840194","Thad Matta","John Calipari"
2011-03-25,"post","Kansas","B12","Richmond","A10","N","W, 77-57",14.7161,0.838294,129.5,80.3,120.8,54.8,14.1,44.1,15.9,89.4,36.9,17.3,36.4,18.5,99.6,2011,63.7,"310842305","Bill Self","Chris Mooney"
2011-03-25,"post","Richmond","A10","Kansas","B12","N","L, 77-57",-14.7161,0.965751,99.6,104.1,89.4,36.9,17.3,36.4,18.5,120.8,54.8,14.1,44.1,15.9,37.4,2011,63.7,"310842305","Chris Mooney","Bill Self"
2011-03-25,"post","Santa Clara","WCC","SMU","CUSA","A","W, 72-55",-0.0454156,0.647324,114.9,96.7,119.4,51.7,14.9,39.4,31,91.2,44.1,14.9,27,33.3,88,2011,60.3,"310842567","Kerry Keating","Matt Doherty"
2011-03-25,"post","SMU","CUSA","Santa Clara","WCC","H","L, 72-55",0.0454156,0.543738,97.4,108.2,91.2,44.1,14.9,27,33.3,119.4,51.7,14.9,39.4,31,23,2011,60.3,"310842567","Matt Doherty","Kerry Keating"
2011-03-24,"post","Connecticut","BE","San Diego St.","MWC","N","W, 74-67",1.785,0.932606,128.6,95.7,114.9,54.4,14,29,28.1,104.1,47.7,14,36.6,20.3,96.8,2011,64.4,"310830021","Jim Calhoun","Steve Fisher"
2011-03-24,"post","San Diego St.","MWC","Connecticut","BE","N","L, 74-67",-1.785,0.926246,116.9,100.4,104.1,47.7,14,36.6,20.3,114.9,54.4,14,29,28.1,85.2,2011,64.4,"310830021","Steve Fisher","Jim Calhoun"
2011-03-24,"post","BYU","MWC","Florida","SEC","N","L, 83-74",-3.00753,0.913298,102.3,90.9,93.1,42.3,15.1,25.5,22.5,104.4,56.2,18.9,25,33.8,79.6,2011,70.7,"310830057","Dave Rose","Billy Donovan"
2011-03-24,"post","Florida","SEC","BYU","MWC","N","W, 83-74",3.00753,0.919695,111.6,82.8,104.4,56.2,18.9,25,33.8,93.1,42.3,15.1,25.5,22.5,96.9,2011,70.7,"310830057","Billy Donovan","Dave Rose"
2011-03-24,"post","Arizona","P10","Duke","ACC","N","W, 93-77",1.01989,0.963365,144.5,98.8,133.4,61.1,17.2,47.1,33.3,110.5,50.9,15.8,27.3,37.9,98.7,2011,69.7,"310830150","Sean Miller","Mike Krzyzewski"
2011-03-24,"post","Duke","ACC","Arizona","P10","N","L, 93-77",-1.01989,0.907052,122.4,110.5,110.5,50.9,15.8,27.3,37.9,133.4,61.1,17.2,47.1,33.3,76.5,2011,69.7,"310830150","Mike Krzyzewski","Sean Miller"
2011-03-24,"post","Butler","Horz","Wisconsin","B10","N","W, 61-54",8.39322,0.939792,106,69.3,97.3,47.8,22.3,34.5,57.8,86.1,36.6,17.5,30.8,33.9,99.3,2011,62.7,"310830275","Brad Stevens","Bo Ryan"
2011-03-24,"post","Wisconsin","B10","Butler","Horz","N","L, 61-54",-8.39322,0.863562,89.5,91.9,86.1,36.6,17.5,30.8,33.9,97.3,47.8,22.3,34.5,57.8,42.5,2011,62.7,"310830275","Bo Ryan","Brad Stevens"
2011-03-23,"post","Creighton","MVC","UCF","CUSA","H","W, 82-64",15.4546,0.568874,124.2,89.5,118.9,64.4,18.9,30,36.5,92.8,51.1,27.6,25,55.6,97.7,2011,68.9,"310820156","Greg McDermott","Donnie Jones"
2011-03-23,"post","UCF","CUSA","Creighton","MVC","A","L, 82-64",-15.4546,0.783691,91.9,111.3,92.8,51.1,27.6,25,55.6,118.9,64.4,18.9,30,36.5,9.9,2011,68.9,"310820156","Donnie Jones","Greg McDermott"
2011-03-23,"post","Northwestern","B10","Washington St.","P10","A","L, 69-66",-3.62143,0.872059,106,96,97.6,45.3,16.3,30,15.6,102.1,45,11.8,26.8,36.7,75.7,2011,60.1,"310820265","Bill Carmody","Ken Bone"
2011-03-23,"post","Washington St.","P10","Northwestern","B10","H","W, 69-66",3.62143,0.794228,103.5,85.9,102.1,45,11.8,26.8,36.7,97.6,45.3,16.3,30,15.6,89.4,2011,60.1,"310820265","Ken Bone","Bill Carmody"
2011-03-23,"post","Alabama","SEC","Miami FL","ACC","H","W, 79-64",8.24989,0.770936,112.5,82.9,111,58.2,21.1,33.3,43.6,89.9,42.1,26.7,40,40.4,97.1,2011,71.2,"310820333","Anthony Grant","Frank Haith"
2011-03-23,"post","Miami FL","ACC","Alabama","SEC","A","L, 79-64",-8.24989,0.884721,104.2,106.5,89.9,42.1,26.7,40,40.4,111,58.2,21.1,33.3,43.6,43.8,2011,71.2,"310820333","Frank Haith","Anthony Grant"
2011-03-23,"post","Boise St.","WAC","Oregon","P10","A","L, 79-71",-8.88333,0.812418,100.5,103.3,96.3,51.8,21.7,25.8,39.3,107.2,61.5,23.1,20.7,40.4,42.2,2011,73.7,"310822483","Leon Rice","Dana Altman"
2011-03-23,"post","Oregon","P10","Boise St.","WAC","H","W, 79-71",8.88333,0.621073,111.3,91.3,107.2,61.5,23.1,20.7,40.4,96.3,51.8,21.7,25.8,39.3,90.7,2011,73.7,"310822483","Dana Altman","Leon Rice"
2011-03-23,"post","College of Charleston","SC","Wichita St.","MVC","A","L, 82-75",-7.54019,0.908529,113.3,105.4,106.2,57.6,21.2,22.9,18.6,116.1,59.4,17,20.8,39.6,69.8,2011,70.6,"310822724","Bobby Cremins","Gregg Marshall"
2011-03-23,"post","Wichita St.","MVC","College of Charleston","SC","H","W, 82-75",7.54019,0.723162,117.3,95.1,116.1,59.4,17,20.8,39.6,106.2,57.6,21.2,22.9,18.6,91.8,2011,70.6,"310822724","Gregg Marshall","Bobby Cremins"
2011-03-22,"post","Colorado","B12","Kent St.","MAC","H","W, 81-74",0.459334,0.574707,123.3,114.7,124.8,52.3,12.3,45.7,24.6,114,55,13.9,29,18.3,69.6,2011,64.9,"310810038","Tad Boyle","Geno Ford"
2011-03-22,"post","Kent St.","MAC","Colorado","B12","A","L, 81-74",-0.459334,0.849889,117,105.4,114,55,13.9,29,18.3,124.8,52.3,12.3,45.7,24.6,76.9,2011,64.9,"310810038","Geno Ford","Tad Boyle"
2011-03-22,"post","Buffalo","MAC","Iona","MAAC","A","L, 78-63",-3.81312,0.823818,95.3,96.3,89.8,50.9,28.5,34.5,21.8,111.2,57,18.5,33.3,31.6,47,2011,70.1,"310810314","Reggie Witherspoon","Tim Cluess"
2011-03-22,"post","Iona","MAAC","Buffalo","MAC","H","W, 78-63",3.81312,0.534816,110.1,94.2,111.2,57,18.5,33.3,31.6,89.8,50.9,28.5,34.5,21.8,85.9,2011,70.1,"310810314","Tim Cluess","Reggie Witherspoon"
2011-03-22,"post","East Tennessee St.","ASun","Ohio","MAC","H","W, 82-73",4.69992,0.498376,108.1,97.2,111.8,59.8,16.4,15.4,56.9,99.5,46.6,19.1,25.7,35.6,77.3,2011,73.4,"310812193","Murry Bartow","John Groce"
2011-03-22,"post","Ohio","MAC","East Tennessee St.","ASun","A","L, 82-73",-4.69992,0.726106,106,108.4,99.5,46.6,19.1,25.7,35.6,111.8,59.8,16.4,15.4,56.9,43.7,2011,73.4,"310812193","John Groce","Murry Bartow"
2011-03-22,"post","San Francisco","WCC","Santa Clara","WCC","H","L, 95-91",2.7162,0.543738,119.4,118.3,119.1,60.3,15.7,28.1,22.1,124.3,56.3,7.9,27,52.4,52.6,2011,76.4,"310812539","Rex Walters","Kerry Keating"
2011-03-22,"post","Santa Clara","WCC","San Francisco","WCC","A","W, 95-91",-2.7162,0.633733,127.5,120.8,124.3,56.3,7.9,27,52.4,119.1,60.3,15.7,28.1,22.1,65,2011,76.4,"310812539","Kerry Keating","Rex Walters"
2011-03-21,"post","Boise St.","WAC","Evansville","MVC","H","W, 75-69",3.0501,0.401851,107.2,102.9,108.2,55.8,23.1,27.8,74.4,99.5,55.3,23.1,14.8,46.8,61.6,2011,69.3,"310800068","Leon Rice","Marty Simmons"
2011-03-21,"post","Evansville","MVC","Boise St.","WAC","A","L, 75-69",-3.0501,0.757339,104.4,102,99.5,55.3,23.1,14.8,46.8,108.2,55.8,23.1,27.8,74.4,56.7,2011,69.3,"310800068","Marty Simmons","Leon Rice"
2011-03-21,"post","Creighton","MVC","Davidson","SC","H","W, 102-92",-0.310025,0.457169,125.4,121.7,130.9,56.9,11.6,32,74.1,118.1,58.6,14.1,31.2,37.5,58.5,2011,77.9,"310800156","Greg McDermott","Bob McKillop"
