"date","type","team","conf","opp","opp_conf","loc","result","avg_marg","opp_avg_marg","adj_o","adj_d","off_ppp","off_efg","off_to","off_or","off_ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","season","tempo","game_id","coach","opp_coach"
2009-04-06,"post","Michigan St.","B10","North Carolina","ACC","N","L, 89-72",,0.967424,105.1,94.7,94.3,46.4,27.5,35.1,52.7,116.5,50,9.2,27.5,65.6,76.8,2009,76.4,"294000063","Tom Izzo","Roy Williams"
2009-04-06,"post","North Carolina","ACC","Michigan St.","B10","N","W, 89-72",,0.940211,130.8,85.1,116.5,50,9.2,27.5,65.6,94.3,46.4,27.5,35.1,52.7,99.3,2009,76.4,"294000063","Roy Williams","Tom Izzo"
2009-04-04,"post","Connecticut","BE","Michigan St.","B10","N","L, 82-73",,0.940211,111.6,97.5,97.9,44.1,21.5,40,55.9,109.9,47.2,14.7,40.9,27.8,82.5,2009,74.6,"294000031","Jim Calhoun","Tom Izzo"
2009-04-04,"post","Michigan St.","B10","Connecticut","BE","N","W, 82-73",,0.96755,128.6,86.2,109.9,47.2,14.7,40.9,27.8,97.9,44.1,21.5,40,55.9,99,2009,74.6,"294000031","Tom Izzo","Jim Calhoun"
2009-04-04,"post","North Carolina","ACC","Villanova","BE","N","W, 83-69",,0.936158,119.6,80.2,107.7,49.2,15.6,31.1,59.7,89.5,36.1,15.6,39.3,20.3,99,2009,77.1,"294000062","Roy Williams","Jay Wright"
2009-04-04,"post","Villanova","BE","North Carolina","ACC","N","L, 83-69",,0.967424,99.7,87.6,89.5,36.1,15.6,39.3,20.3,107.7,49.2,15.6,31.1,59.7,81.5,2009,77.1,"294000062","Jay Wright","Roy Williams"
2009-04-03,"nc","Oregon St.","P10","UTEP","CUSA","A","W, 81-73",,0.801746,142.1,114.6,135.3,69.6,18.4,40.7,56.5,122,52.7,11.7,40,46.4,92.2,2009,59.8,"290932638","Craig Robinson","Tony Barbee"
2009-04-03,"nc","UTEP","CUSA","Oregon St.","P10","H","L, 81-73",,0.592921,123.7,131.4,122,52.7,11.7,40,46.4,135.3,69.6,18.4,40.7,56.5,33.2,2009,59.8,"290932638","Tony Barbee","Craig Robinson"
2009-04-02,"post","Baylor","B12","Penn St.","B10","N","L, 69-63",,0.812932,104.9,100.2,100.7,51.8,19.2,25,10.7,110.3,52,19.2,36.4,57.1,62.9,2009,62.6,"290920213","Scott Drew","Ed DeChellis"
2009-04-02,"post","Penn St.","B10","Baylor","B12","N","W, 69-63",,0.865942,112.7,88.3,110.3,52,19.2,36.4,57.1,100.7,51.8,19.2,25,10.7,94.3,2009,62.6,"290920213","Ed DeChellis","Scott Drew"
2009-04-01,"nc","Oregon St.","P10","UTEP","CUSA","A","L, 70-63",,0.801746,113.5,110.5,107,50,18.7,32.4,20,118.8,45.3,3.4,36.6,69.8,57.6,2009,58.9,"290912638","Craig Robinson","Tony Barbee"
2009-04-01,"nc","UTEP","CUSA","Oregon St.","P10","H","W, 70-63",,0.592921,119.2,105,118.8,45.3,3.4,36.6,69.8,107,50,18.7,32.4,20,81.3,2009,58.9,"290912638","Tony Barbee","Craig Robinson"
2009-03-31,"post","Baylor","B12","San Diego St.","MWC","N","W, 76-62",,0.866243,123.4,87.3,112.8,63,19.3,18.5,38,92,51.9,28.2,28.1,18.9,98.2,2009,67.4,"290900021","Scott Drew","Steve Fisher"
2009-03-31,"post","San Diego St.","MWC","Baylor","B12","N","L, 76-62",,0.865942,95.5,97.5,92,51.9,28.2,28.1,18.9,112.8,63,19.3,18.5,38,44,2009,67.4,"290900021","Steve Fisher","Scott Drew"
2009-03-31,"nc","Bradley","MVC","Old Dominion","CAA","H","L, 66-62",,0.613738,100.5,102.1,97.3,45.8,17.3,31.4,16.9,103.6,44.5,17.3,42.9,21.9,45.4,2009,63.7,"290900071","Jim Les","Blaine Taylor"
2009-03-31,"nc","Old Dominion","CAA","Bradley","MVC","A","W, 66-62",,0.68893,105.9,93.4,103.6,44.5,17.3,42.9,21.9,97.3,45.8,17.3,31.4,16.9,80.9,2009,63.7,"290900071","Blaine Taylor","Jim Les"
2009-03-31,"post","Notre Dame","BE","Penn St.","B10","N","L, 67-59",,0.812932,95.7,94.5,91.7,40.5,12.4,25.6,14.3,104.1,46.4,9.3,23.7,42.9,53.8,2009,64.3,"290900213","Mike Brey","Ed DeChellis"
2009-03-31,"post","Penn St.","B10","Notre Dame","BE","N","W, 67-59",,0.867335,107.1,81.1,104.1,46.4,9.3,23.7,42.9,91.7,40.5,12.4,25.6,14.3,96.1,2009,64.3,"290900213","Ed DeChellis","Mike Brey"
2009-03-30,"nc","Oregon St.","P10","UTEP","CUSA","H","W, 75-69",,0.679875,116.5,101.2,114,69.8,22.8,21.7,60.5,104.8,48.4,19.8,38.9,14.3,83.4,2009,65.8,"290890204","Craig Robinson","Tony Barbee"
2009-03-30,"nc","UTEP","CUSA","Oregon St.","P10","A","L, 75-69",,0.734991,109.2,107.7,104.8,48.4,19.8,38.9,14.3,114,69.8,22.8,21.7,60.5,53.9,2009,65.8,"290890204","Tony Barbee","Craig Robinson"
2009-03-29,"post","North Carolina","ACC","Oklahoma","B12","N","W, 72-60",,0.936944,118.9,79.8,110.6,55.9,18.4,24,31.4,92.2,46.3,24.6,36.4,29.6,99,2009,65.1,"294000046","Roy Williams","Jeff Capel"
2009-03-29,"post","Oklahoma","B12","North Carolina","ACC","N","L, 72-60",,0.967424,102.6,90,92.2,46.3,24.6,36.4,29.6,110.6,55.9,18.4,24,31.4,81.8,2009,65.1,"294000046","Jeff Capel","Roy Williams"
2009-03-29,"post","Louisville","BE","Michigan St.","B10","N","L, 64-52",,0.940211,105.7,100.3,92.2,44.7,21.3,31.4,38.3,113.5,53.8,21.3,41.9,21.2,64.7,2009,56.4,"294000061","Rick Pitino","Tom Izzo"
2009-03-29,"post","Michigan St.","B10","Louisville","BE","N","W, 64-52",,0.957685,133,84.1,113.5,53.8,21.3,41.9,21.2,92.2,44.7,21.3,31.4,38.3,99.5,2009,56.4,"294000061","Tom Izzo","Rick Pitino"
2009-03-28,"post","Connecticut","BE","Missouri","B12","N","W, 82-75",,0.94745,121.7,87.3,109.4,52.8,22.7,35.5,60.4,100.1,45.4,8,25,15.8,97.8,2009,74.9,"294000015","Jim Calhoun","Mike Anderson"
2009-03-28,"post","Missouri","B12","Connecticut","BE","N","L, 82-75",,0.96755,118.2,95.3,100.1,45.4,8,25,15.8,109.4,52.8,22.7,35.5,60.4,92.2,2009,74.9,"294000015","Mike Anderson","Jim Calhoun"
2009-03-28,"post","Pittsburgh","BE","Villanova","BE","N","L, 78-76",,0.936158,127.6,103.4,113.7,52.9,16.5,33.3,55.8,116.7,50,19.4,41.9,41.1,91.8,2009,66.8,"294000030","Jamie Dixon","Jay Wright"
2009-03-28,"post","Villanova","BE","Pittsburgh","BE","N","W, 78-76",,0.957074,127.7,95.3,116.7,50,19.4,41.9,41.1,113.7,52.9,16.5,33.3,55.8,96.7,2009,66.8,"294000030","Jay Wright","Jamie Dixon"
2009-03-27,"post","Gonzaga","WCC","North Carolina","ACC","N","L, 98-77",,0.967424,110.5,102.2,98.9,52.6,15.4,11.4,39.7,125.8,61,11.6,28.9,39.7,71,2009,77.9,"294000038","Mark Few","Roy Williams"
2009-03-27,"post","North Carolina","ACC","Gonzaga","WCC","N","W, 98-77",,0.938383,137.4,87.3,125.8,61,11.6,28.9,39.7,98.9,52.6,15.4,11.4,39.7,99.5,2009,77.9,"294000038","Roy Williams","Mark Few"
2009-03-27,"post","Oklahoma","B12","Syracuse","BE","N","W, 84-71",,0.933035,128.9,88.2,119,61.9,25.5,50,30.5,100.6,50.8,25.5,40,23.3,98.8,2009,70.6,"294000045","Jeff Capel","Jim Boeheim"
2009-03-27,"post","Syracuse","BE","Oklahoma","B12","N","L, 84-71",,0.936944,110,101.2,100.6,50.8,25.5,40,23.3,119,61.9,25.5,50,30.5,72.3,2009,70.6,"294000045","Jim Boeheim","Jeff Capel"
2009-03-27,"post","Arizona","P10","Louisville","BE","N","L, 103-64",,0.957685,112.4,131.3,92.2,43.7,20.2,37.5,20.6,148.4,68.2,13,39.3,21.2,14.3,2009,69.4,"294000053","Russ Pennell","Rick Pitino"
2009-03-27,"post","Louisville","BE","Arizona","P10","N","W, 103-64",,0.860972,146.4,81.5,148.4,68.2,13,39.3,21.2,92.2,43.7,20.2,37.5,20.6,99.9,2009,69.4,"294000053","Rick Pitino","Russ Pennell"
2009-03-27,"post","Kansas","B12","Michigan St.","B10","N","L, 67-62",,0.940211,106.7,90.1,93.8,48.1,28.7,41.9,24.5,101.3,43.2,19.7,35.1,28.8,87.6,2009,66.1,"294000060","Bill Self","Tom Izzo"
2009-03-27,"post","Michigan St.","B10","Kansas","B12","N","W, 67-62",,0.940896,114.2,83.7,101.3,43.2,19.7,35.1,28.8,93.8,48.1,28.7,41.9,24.5,97.3,2009,66.1,"294000060","Tom Izzo","Bill Self"
2009-03-26,"post","James Madison","CAA","Old Dominion","CAA","A","L, 81-43",,0.751587,75.9,121.4,68.7,33.3,17.6,13.2,23.5,129.3,50.8,14.4,54.1,27.7,0.4,2009,62.6,"290850295","Matt Brady","Blaine Taylor"
2009-03-26,"post","Old Dominion","CAA","James Madison","CAA","H","W, 81-43",,0.438049,123,71.3,129.3,50.8,14.4,54.1,27.7,68.7,33.3,17.6,13.2,23.5,99.8,2009,62.6,"290850295","Blaine Taylor","Matt Brady"
2009-03-26,"post","Connecticut","BE","Purdue","B10","N","W, 72-60",,0.927441,117.2,79.7,102.5,47.3,18.5,36.8,53.6,85.4,40.9,12.8,20.9,16.7,98.8,2009,70.2,"294000007","Jim Calhoun","Matt Painter"
2009-03-26,"post","Purdue","B10","Connecticut","BE","N","L, 72-60",,0.96755,101.4,89,85.4,40.9,12.8,20.9,16.7,102.5,47.3,18.5,36.8,53.6,81.9,2009,70.2,"294000007","Matt Painter","Jim Calhoun"
2009-03-26,"post","Memphis","CUSA","Missouri","B12","N","L, 102-91",,0.94745,122.8,105.8,109.3,52.9,16.8,37.5,46.4,122.5,58.1,14.4,32.4,72.6,84.7,2009,83.3,"294000014","John Calipari","Mike Anderson"
2009-03-26,"post","Missouri","B12","Memphis","CUSA","N","W, 102-91",,0.967966,148,99.3,122.5,58.1,14.4,32.4,72.6,109.3,52.9,16.8,37.5,46.4,99,2009,83.3,"294000014","Mike Anderson","John Calipari"
2009-03-26,"post","Pittsburgh","BE","Xavier","A10","N","W, 60-55",,0.903339,106.1,80.7,94.7,36.9,14.2,40,29.2,86.8,36.7,15.8,39.5,15.6,95.8,2009,63.4,"294000022","Jamie Dixon","Sean Miller"
2009-03-26,"post","Xavier","A10","Pittsburgh","BE","N","L, 60-55",,0.957074,95.5,78.9,86.8,36.7,15.8,39.5,15.6,94.7,36.9,14.2,40,29.2,90.1,2009,63.4,"294000022","Sean Miller","Jamie Dixon"
2009-03-26,"post","Duke","ACC","Villanova","BE","N","L, 77-54",,0.936158,83.3,90.7,72.8,30.8,14.8,18.2,40,103.8,45.3,16.2,33.3,35.9,27.3,2009,74.2,"294000029","Mike Krzyzewski","Jay Wright"
2009-03-26,"post","Villanova","BE","Duke","ACC","N","W, 77-54",,0.938065,112.1,64.3,103.8,45.3,16.2,33.3,35.9,72.8,30.8,14.8,18.2,40,99.8,2009,74.2,"294000029","Jay Wright","Mike Krzyzewski"
2009-03-25,"post","Saint Mary's","WCC","San Diego St.","MWC","A","L, 70-66",,0.899362,109.6,95.6,97.6,44,16.3,41.9,20.9,103.6,47.5,13.3,28.6,29.5,82.9,2009,67.6,"290840021","Randy Bennett","Steve Fisher"
2009-03-25,"post","San Diego St.","MWC","Saint Mary's","WCC","H","W, 70-66",,0.760347,106.7,91.5,103.6,47.5,13.3,28.6,29.5,97.6,44,16.3,41.9,20.9,85.4,2009,67.6,"290840021","Steve Fisher","Randy Bennett"
2009-03-25,"post","Bradley","MVC","Pacific","BW","H","W, 59-49",,0.557032,101.6,84.3,104.9,54.7,30.2,36,30.2,87.1,45.9,26.7,37.5,14.3,89.6,2009,56.2,"290840071","Jim Les","Bob Thomason"
2009-03-25,"post","Pacific","BW","Bradley","MVC","A","L, 59-49",,0.68893,90.2,99.5,87.1,45.9,26.7,37.5,14.3,104.9,54.7,30.2,36,30.2,24.5,2009,56.2,"290840071","Bob Thomason","Jim Les"
2009-03-25,"post","Kentucky","SEC","Notre Dame","BE","A","L, 77-67",,0.900215,118.8,111.2,112.4,57,16.8,26.9,24,129.2,55.4,10.1,32.4,35.7,68.1,2009,59.6,"290840087","Billy Gillispie","Mike Brey"
2009-03-25,"post","Notre Dame","BE","Kentucky","SEC","H","W, 77-67",,0.793596,138.4,108.6,129.2,55.4,10.1,32.4,35.7,112.4,57,16.8,26.9,24,94.2,2009,59.6,"290840087","Mike Brey","Billy Gillispie"
2009-03-25,"post","Oregon St.","P10","Stanford","P10","H","W, 65-62",,0.795493,109.4,93.2,106.3,54.7,18,25.8,24.5,101.3,52.8,16.3,28.6,24.1,86.4,2009,54.4,"290840204","Craig Robinson","Johnny Dawkins"
2009-03-25,"post","Stanford","P10","Oregon St.","P10","A","L, 65-62",,0.734991,105.4,100.6,101.3,52.8,16.3,28.6,24.1,106.3,54.7,18,25.8,24.5,63,2009,54.4,"290840204","Johnny Dawkins","Craig Robinson"
2009-03-25,"post","Richmond","A10","UTEP","CUSA","H","L, 81-69",,0.679875,93,100.6,89.8,43.7,22.1,31.7,30.2,105.4,44.4,14.3,28.2,53.2,28.8,2009,76.8,"290840257","Chris Mooney","Tony Barbee"
2009-03-25,"post","UTEP","CUSA","Richmond","A10","A","W, 81-69",,0.705205,106.4,85.4,105.4,44.4,14.3,28.2,53.2,89.8,43.7,22.1,31.7,30.2,92.6,2009,76.8,"290840257","Tony Barbee","Chris Mooney"
2009-03-24,"post","Auburn","SEC","Baylor","B12","H","L, 74-72",,0.823976,111.4,99.9,109.9,46.1,12.2,34.1,32.8,112.9,56.5,18.3,33.3,31.5,77.9,2009,65.5,"290830002","Jeff Lebo","Scott Drew"
2009-03-24,"post","Baylor","B12","Auburn","SEC","A","W, 74-72",,0.869083,124.7,103.2,112.9,56.5,18.3,33.3,31.5,109.9,46.1,12.2,34.1,32.8,89.8,2009,65.5,"290830002","Scott Drew","Jeff Lebo"
2009-03-24,"post","Florida","SEC","Penn St.","B10","H","L, 71-62",,0.758991,104.7,107.1,101.7,45.8,11.5,27.8,15,116.4,55.6,19.7,39.3,22.2,43.7,2009,61,"290830057","Billy Donovan","Ed DeChellis"
2009-03-24,"post","Penn St.","B10","Florida","SEC","A","W, 71-62",,0.89664,121.2,88.9,116.4,55.6,19.7,39.3,22.2,101.7,45.8,11.5,27.8,15,97.2,2009,61,"290830057","Ed DeChellis","Billy Donovan"
2009-03-23,"post","Bradley","MVC","Oakland","Sum","H","W, 76-75",,0.570201,109.9,105.9,117.3,66.7,23.2,26.1,33.3,115.8,51.8,18.5,42.4,36.8,60.3,2009,64.8,"290820071","Jim Les","Greg Kampe"
2009-03-23,"post","Oakland","Sum","Bradley","MVC","A","L, 76-75",,0.68893,118.7,112.1,115.8,51.8,18.5,42.4,36.8,117.3,66.7,23.2,26.1,33.3,65.9,2009,64.8,"290820071","Greg Kampe","Jim Les"
2009-03-23,"post","Creighton","MVC","Kentucky","SEC","H","L, 65-63",,0.793596,109.7,100.4,101.6,44.1,21,41.5,32.2,104.8,51,19.3,34.5,38.8,73.6,2009,62,"290820156","Dana Altman","Billy Gillispie"
2009-03-23,"post","Kentucky","SEC","Creighton","MVC","A","W, 65-63",,0.842951,109.5,92,104.8,51,19.3,34.5,38.8,101.6,44.1,21,41.5,32.2,88.1,2009,62,"290820156","Billy Gillispie","Dana Altman"
2009-03-23,"post","Oregon St.","P10","Vermont","AE","H","W, 71-70",,0.647058,109.5,102.5,107.5,59.3,24.2,28.6,18.5,106,59.1,24.2,32.1,12.7,68,2009,58.7,"290820204","Craig Robinson","Mike Lonergan"
2009-03-23,"post","Vermont","AE","Oregon St.","P10","A","L, 71-70",,0.734991,110,102,106,59.1,24.2,32.1,12.7,107.5,59.3,24.2,28.6,18.5,70.5,2009,58.7,"290820204","Mike Lonergan","Craig Robinson"
2009-03-23,"post","Idaho","WAC","Pacific","BW","A","L, 69-59",,0.705404,101.2,108,99.9,43.5,16.9,33.3,33.3,116.9,49.1,11.9,43.8,32.1,32.2,2009,59,"290820279","Don Verlin","Bob Thomason"
