"","rk","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date"
"1",1,"Gonzaga","WCC","1-0",115.7,1,87.5,7,0.9616,"26-3","15-1",0.1,54,1,0,2022-11-08
"2",2,"Baylor","B12","1-0",112.2,3,88.3,9,0.9402,"22-8","12-6",0,129,2,0,2022-11-08
"3",3,"Duke","ACC","1-0",113.2,2,89.7,26,0.9353,"23-6","15-5",0.1,22,3,0,2022-11-08
"4",4,"Tennessee","SEC","1-0",108.5,18,86.2,2,0.9338,"22-7","13-5",0,111,4,0,2022-11-08
"5",5,"Houston","Amer","1-0",108.3,22,86.5,5,0.9295,"26-5","15-3",0,77,5,0,2022-11-08
"6",6,"North Carolina","ACC","1-0",111.3,5,89.5,22,0.9241,"22-7","14-6",0.1,51,6,0,2022-11-08
"7",7,"Texas","B12","1-0",109.6,11,89,14,0.9164,"21-10","11-7",0.1,23,7,0,2022-11-08
"8",8,"UCLA","P12","1-0",110.1,8,89.7,24,0.9139,"23-7","14-6",0.1,64,8,0,2022-11-08
"9",9,"Kentucky","SEC","1-0",112.1,4,91.3,44,0.9136,"22-9","12-6",0,87,9,0,2022-11-08
"10",10,"Arizona","P12","1-0",110.5,7,90.2,32,0.9116,"22-7","15-5",0.1,28,10,0,2022-11-08
"11",11,"Indiana","B10","1-0",108.4,19,88.5,11,0.9115,"22-9","13-7",0.1,56,11,0,2022-11-08
"12",12,"Kansas","B12","1-0",108.1,26,88.6,12,0.9072,"18-11","10-8",0,117,12,0,2022-11-08
"13",13,"San Diego St.","MWC","1-0",104.3,64,85.9,1,0.9026,"22-6","14-4",0,70,13,0,2022-11-08
"14",14,"Illinois","B10","1-0",108.9,16,90.4,33,0.8958,"22-8","13-7",0,121,14,0,2022-11-08
"15",15,"Auburn","SEC","1-0",105,53,87.1,6,0.8958,"20-10","11-7",0.2,16,15,0,2022-11-08
"16",16,"Texas A&M","SEC","1-0",107.6,29,89.3,19,0.8953,"20-9","11-7",0,82,16,0,2022-11-08
"17",17,"Villanova","BE","1-0",109.1,14,90.5,34,0.8953,"21-8","14-6",0.1,31,17,0,2022-11-08
"18",18,"Arkansas","SEC","1-0",103.5,78,86.2,3,0.8915,"20-9","11-7",0.1,60,18,0,2022-11-08
"19",19,"Xavier","BE","1-0",108.9,15,91.2,42,0.8851,"20-9","13-7",0,86,19,0,2022-11-08
"20",20,"Florida","SEC","1-0",107,34,89.6,23,0.8848,"19-10","11-7",0,95,20,0,2022-11-08
"21",21,"Memphis","Amer","1-0",106.2,41,89.1,15,0.8832,"21-8","13-5",0.5,4,21,0,2022-11-08
