"","rk","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date"
"1",1,"Gonzaga","WCC","0-0",118.5,1,90.9,6,0.9547,"26-3","15-1",0,294,1,0,2022-11-06
"2",2,"Baylor","B12","0-0",115.1,5,91.4,10,0.9338,"22-8","12-6",0,44,2,0,2022-11-06
"3",3,"Tennessee","SEC","0-0",111.9,17,89.6,3,0.9277,"22-7","13-5",0,93,4,-1,2022-11-06
"4",4,"North Carolina","ACC","0-0",115.1,3,92.7,21,0.9239,"22-7","15-5",0,224,6,-2,2022-11-06
"5",5,"Duke","ACC","0-0",116,2,93.8,36,0.9197,"22-7","14-6",0,74,3,2,2022-11-06
"6",6,"Houston","Amer","0-0",111.2,22,90.5,5,0.9147,"25-6","14-4",0,268,5,1,2022-11-06
"7",7,"Texas","B12","0-0",112.4,11,92.1,15,0.9081,"21-10","10-8",0,102,7,0,2022-11-06
"8",8,"Kentucky","SEC","0-0",115.1,4,94.5,45,0.9064,"22-9","12-6",0,175,9,-1,2022-11-06
"9",9,"UCLA","P12","0-0",113.6,7,93.3,28,0.9061,"22-8","14-6",0,76,8,1,2022-11-06
"10",10,"Kansas","B12","0-0",111,25,91.3,8,0.9041,"19-10","10-8",0,188,12,-2,2022-11-06
"11",11,"Indiana","B10","0-0",111.1,23,91.7,11,0.9009,"22-9","13-7",0,4,11,0,2022-11-06
"12",12,"TCU","B12","0-0",111.8,19,92.6,20,0.8971,"21-9","10-8",0,213,30,-18,2022-11-06
"13",13,"San Diego St.","MWC","0-0",107.1,67,88.9,1,0.8952,"22-6","14-4",0,112,13,0,2022-11-06
"14",14,"Illinois","B10","0-0",112.1,13,93.4,30,0.8912,"22-8","13-7",0,99,15,-1,2022-11-06
"15",15,"Arizona","P12","0-0",111.9,16,93.4,31,0.8887,"21-8","14-6",0,36,10,5,2022-11-06
"16",16,"Arkansas","SEC","0-0",106.8,70,89.3,2,0.8868,"20-9","11-7",0,321,18,-2,2022-11-06
"17",17,"Villanova","BE","0-0",110.3,34,92.3,18,0.8858,"20-9","13-7",0,24,17,0,2022-11-06
"18",18,"Virginia","ACC","0-0",108.8,44,91.1,7,0.8851,"20-9","13-7",0,168,22,-4,2022-11-06
