"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"35",35,"Kentucky","SEC","19-9",0.83979568047086,117.163812532554,17,101.444458613361,105,65.9087696523634,272,"20.6-10.4","11.6-6.4",2.08846331038285,30,2023-02-24
"36",36,"Duke","ACC","20-8",0.838541690931955,110.920664090281,72,96.1165508203436,28,65.7377413339441,281,"21.8-9.2","12.8-7.2",1.70261605340083,35,2023-02-24
"37",37,"Utah St.","MWC","22-7",0.838483569507718,116.488164762652,18,100.944748266168,94,68.979249899998,116,"23.1-7.9","12.1-5.9",2.17477816285742,29,2023-02-24
"38",38,"Liberty","ASun","24-7",0.838474674301704,111.424441974703,60,96.5572468956956,33,64.5615532088077,323,"24-7","15-3",-1.34113411274767,72,2023-02-24
"39",39,"Providence","BE","20-8",0.837722116550695,115.94905384141,21,100.526616611144,85,67.6637676168372,172,"22-9","14-6",2.03038342853991,32,2023-02-24
"40",40,"Illinois","B10","19-9",0.830395049197325,110.720719887226,75,96.4366848541556,31,70.2020517588291,52,"20.3-10.7","11.3-8.7",1.1620560226104,42,2023-02-24
"41",41,"USC","P12","20-8",0.827364722669056,113.613113554756,37,99.1399472076559,67,68.7681330270781,127,"21.5-9.5","13.5-6.5",2.05033723854829,31,2023-02-24
"42",42,"Cincinnati","Amer","19-10",0.826628138310562,112.506589124393,48,98.2183432711238,53,68.6786358658183,132,"20.2-10.8","11.2-6.8",-1.36659632347782,74,2023-02-24
"43",43,"Texas Tech","B12","16-12",0.821710433170599,111.064498522107,66,97.2459519603713,43,67.9946346596977,161,"17.3-13.7","6.3-11.7",-0.509048841764364,61,2023-02-24
"44",44,"Nevada","MWC","22-7",0.820731537440707,111.880063624626,56,98.0168568764483,47,66.1425560008145,263,"23.4-7.6","13.4-4.6",3.4207376005398,18,2023-02-24
"45",45,"New Mexico","MWC","20-8",0.820472547806411,115.360485744515,23,101.081477542126,98,71.6062574162983,24,"21.9-9.1","8.9-9.1",0.703182733694396,46,2023-02-24
"46",46,"Michigan","B10","16-12",0.81723888533501,112.556590979809,44,98.8117833824653,63,68.2277902901909,152,"17.3-13.7","11.3-8.7",-1.33041605943409,71,2023-02-24
"47",47,"Utah","P12","17-12",0.816018529401161,110.047320614864,85,96.6774181981474,34,66.6571986090552,231,"18.1-12.9","11.1-8.9",-1.84510243398173,82,2023-02-24
"48",48,"Florida Atlantic","CUSA","25-3",0.815915314040121,112.463680145657,50,98.8061140390672,61,68.7272350492843,128,"27.3-3.7","17.3-2.7",2.96546031499301,20,2023-02-24
"49",49,"North Carolina","ACC","17-11",0.81304205811574,111.356139192226,61,97.9949756282473,46,69.4851251745145,88,"18.9-12.1","10.9-9.1",-0.409626464940794,59,2023-02-24
"50",50,"Dayton","A10","19-9",0.812910372496727,109.282055644926,96,96.1769958427199,29,63.9359509178392,338,"21.4-9.6","13.4-4.6",-2.46800949707945,97,2023-02-24
"51",51,"Mississippi St.","SEC","18-10",0.812533262756393,104.118243113431,197,91.6521696958402,7,63.9215333547507,339,"19.9-11.1","7.9-10.1",0.387114934074615,50,2023-02-24
"52",52,"Oregon","P12","15-13",0.811593811088459,113.78725066807,36,100.217136621658,83,66.6674138807993,230,"17.5-13.5","11.5-8.5",-1.20674822946607,69,2023-02-24
"53",53,"Penn St.","B10","17-11",0.807259952601249,118.212834931033,14,104.369612719802,152,65.2087462758006,302,"18.4-12.6","9.4-10.6",-0.554792616453431,62,2023-02-24
"54",54,"Iowa","B10","17-11",0.80708275155809,119.032005978462,9,105.103259989141,173,70.1138010542925,57,"18.6-12.4","10.6-9.4",0.150154205546,53,2023-02-24
"55",55,"Washington St.","P12","14-15",0.803310446648832,110.979358211999,71,98.1980568771238,52,64.1684147215359,332,"15.4-15.6","10.4-9.6",-3.15528220427934,107,2023-02-24
"56",56,"UAB","CUSA","21-8",0.801002890594647,112.879856777911,42,100.006044094989,78,71.2407825134206,28,"22.3-8.7","13.3-6.7",-1.69233015039623,80,2023-02-24
"57",57,"Drake","MVC","24-6",0.800036208169395,110.035647537027,86,97.5375435924906,45,67.0830430989426,206,"24.4-6.6","15.4-4.6",-0.270206262893504,58,2023-02-24
"58",58,"Missouri","SEC","20-8",0.796933430888972,118.701976512518,11,105.39611258294,181,70.0965655955986,58,"22.1-8.9","10.1-7.9",2.54773130516732,24,2023-02-24
"59",59,"Oklahoma","B12","13-15",0.791026528081472,110.360518925116,79,98.2978860607546,55,65.6499289363433,287,"13.9-17.1","3.9-14.1",-1.84546175658853,83,2023-02-24
"60",60,"North Texas","CUSA","23-6",0.788341959898582,110.021986637628,87,98.1341947752555,50,58.4251630496088,363,"24.7-6.3","15.7-4.3",1.04901466012303,43,2023-02-24
"61",61,"Florida","SEC","14-14",0.780195260017546,106.523891561073,144,95.4127646488378,26,69.8857292309351,67,"15.9-15.1","8.9-9.1",-2.43249637027385,95,2023-02-24
"62",62,"College of Charleston","CAA","27-3",0.778927592841168,111.596437782382,59,100.020350284656,79,71.3351818738007,26,"28-3","16-2",1.40314524842386,40,2023-02-24
"63",63,"UCF","Amer","15-12",0.775454824937514,109.844188512684,89,98.6217025488342,58,64.7029260256525,317,"17.2-12.8","8.2-9.8",-2.93893695492024,103,2023-02-24
"64",64,"Pittsburgh","ACC","20-8",0.774874374972802,112.550786052171,45,101.081043784218,97,67.2494927909716,198,"21.7-9.3","14.7-5.3",0.462525004425311,49,2023-02-24
"65",65,"Seton Hall","BE","16-13",0.771868901781531,104.613384185358,181,94.0927213855709,17,67.2625275693154,196,"16.9-14.1","9.9-10.1",-1.49212517952863,76,2023-02-24
"66",66,"Virginia Tech","ACC","16-12",0.771732741293373,114.392810134827,30,102.895575975042,131,67.3845712371636,186,"18-13","8-12",-2.96558562219362,104,2023-02-24
"67",67,"Wisconsin","B10","16-11",0.771583788059094,105.742747291985,159,95.1218937495424,23,62.9201007447504,352,"17.3-12.7","9.3-10.7",0.326344032886502,52,2023-02-24
"68",68,"VCU","A10","22-7",0.767899586339011,105.498774812096,166,95.0741228792498,22,68.4525239088405,138,"23.5-7.5","14.5-3.5",-0.193493038391385,57,2023-02-24
"69",69,"Wake Forest","ACC","17-11",0.767722099384067,116.179586310092,20,104.708595534667,160,69.982404328134,59,"19.2-11.8","11.2-8.8",-1.64378308913948,79,2023-02-24
"70",70,"Clemson","ACC","20-8",0.767100610076881,109.953449058462,88,99.1272045547562,66,68.3530216712748,144,"21.3-9.7","13.3-6.7",-0.863260644447486,65,2023-02-24
"71",71,"Sam Houston St.","WAC","21-6",0.761508466068923,107.188988663542,132,96.8961544148753,38,64.5436192043204,324,"23.2-6.8","13.2-4.8",0.361934370794367,51,2023-02-24
"72",72,"Bradley","MVC","22-8",0.761429659044196,107.796952475263,125,97.4494149914948,44,65.6751900360383,284,"22.6-8.4","15.6-4.4",-1.16815082061299,68,2023-02-24
"73",73,"Iona","MAAC","21-7",0.758473789708579,109.065245330627,102,98.7349815255481,60,69.0627823810661,113,"23.5-7.5","16.5-3.5",-1.88607306016885,84,2023-02-24
"74",74,"Arizona St.","P12","19-9",0.758397456777032,106.98234540829,135,96.8528751856028,37,68.6265828887907,136,"19.5-11.5","10.5-9.5",0.464698404348998,48,2023-02-24
"75",75,"Ohio St.","B10","11-17",0.758372234652599,114.240527406888,32,103.425064534025,140,66.7070778332248,229,"12.3-18.7","4.3-15.7",-4.95682404914469,141,2023-02-24
"76",76,"Oral Roberts","Sum","26-4",0.755105304738994,113.98912485611,34,103.356842415608,139,70.9534017360686,34,"26.6-4.4","17.6-0.4",1.52783043370108,36,2023-02-24
"77",77,"Kent St.","MAC","22-6",0.754798264018217,106.707704877447,140,96.7685581479314,36,68.3521044951896,145,"24.4-6.6","14.4-3.6",0.0515313653381919,55,2023-02-24
"78",78,"Colorado","P12","15-14",0.752515211463371,104.693310999256,179,95.0433694113672,21,69.980499228387,60,"15.8-15.2","7.8-12.2",-3.41764968735467,113,2023-02-24
"79",79,"Santa Clara","WCC","22-8",0.749066884490619,112.073982536457,55,101.906927434805,111,70.486622780964,44,"22.7-8.3","10.7-5.3",0.896069859303835,44,2023-02-24
"80",80,"Tulane","Amer","17-8",0.748579461096824,111.022084317087,68,100.973205979279,96,73.2335944267384,4,"20-9","13-5",-0.503175704800367,60,2023-02-24
"81",81,"Villanova","BE","14-14",0.74321210599841,111.191963054266,64,101.377047456006,103,63.7466630869835,340,"15-16","9-11",-2.89475725679358,102,2023-02-24
"82",82,"BYU","WCC","16-14",0.742310536314488,106.546282390023,143,97.1813077306242,42,70.5647185718568,40,"16.7-14.3","6.7-9.3",-4.47200165253643,132,2023-02-24
"83",83,"Marshall","SB","24-7",0.739520814791783,110.799662831143,74,101.188628677626,100,72.6239557543122,11,"24-7","13-5",-1.46678984375856,75,2023-02-24
"84",84,"Indiana St.","MVC","20-10",0.733947843988616,110.096047364736,83,100.797584745678,89,71.2404234158299,29,"20.8-10.2","13.8-6.2",-5.01757356423995,143,2023-02-24
"85",85,"Utah Valley","WAC","21-7",0.727920186171882,105.72444394835,162,97.0535184491294,40,69.7235337323516,79,"23.3-7.7","14.3-3.7",0.0260813357365101,56,2023-02-24
"86",86,"Yale","Ivy","18-7",0.72750674462624,109.150240097237,100,100.216531526598,82,66.4037592625054,247,"19.4-7.6","9.4-4.6",-1.9328852572798,85,2023-02-24
"87",87,"UNLV","MWC","17-11",0.725208293943646,108.435971172678,112,99.6608879765623,74,70.1543209271371,54,"17.7-12.3","6.7-11.3",-2.2622558210713,92,2023-02-24
"88",88,"Vanderbilt","SEC","15-13",0.717047274476334,114.247354641363,31,105.37319803987,180,66.5906043160082,236,"16.3-14.7","9.3-8.7",-1.63301269691183,78,2023-02-24
"89",89,"Toledo","MAC","22-6",0.717030911220909,118.671869385254,12,109.454806461023,273,70.3096390359227,48,"24.2-6.8","15.2-2.8",-0.953560446394689,66,2023-02-24
