"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"1",1,"Houston","Amer","17-1",0.976535004013934,118.588487112357,9,85.7505025074977,2,63.5937101656935,342,"29.1-1.9","17.1-0.9",4.17972010422973,4,2023-01-16
"2",2,"Tennessee","SEC","14-3",0.967921025562733,110.56469285076,56,82.2155379983092,1,67.4577799151413,194,"25.9-5.1","15.1-2.9",2.00178782821619,20,2023-01-16
"3",3,"UCLA","P12","16-2",0.95738596684185,115.379881565857,16,88.0248628016656,4,66.8963966225462,232,"26.8-4.2","17.8-2.2",3.43277584003419,7,2023-01-16
"4",4,"Alabama","SEC","15-2",0.948480183998862,116.93055536007,13,90.7660258168106,10,73.9232008236898,5,"25.8-5.2","15.1-2.9",4.50731198278036,3,2023-01-16
"5",5,"Saint Mary's","WCC","16-4",0.942373054551795,112.454719933201,37,88.1957163036072,6,63.379549702383,346,"25.3-5.7","14.3-1.7",1.41412463294709,28,2023-01-16
"6",6,"Connecticut","BE","15-4",0.939187093887642,116.189947457602,15,91.5795356693297,12,68.2664730065035,160,"24.6-6.4","13.6-6.4",2.9637873839646,10,2023-01-16
"7",7,"Kansas","B12","16-1",0.936024567289651,116.907426552953,14,92.5793069579464,17,68.9048036915016,117,"25.2-5.8","13.5-4.5",5.73959256692965,1,2023-01-16
"8",8,"Purdue","B10","17-1",0.935475172004473,120.09183073688,4,95.1766438130032,34,63.9446956463501,329,"27.1-3.9","16.1-3.9",5.26268793199222,2,2023-01-16
"9",9,"Iowa St.","B12","13-3",0.907128520313902,107.414071311992,101,88.1034247148,5,64.9550021168384,310,"21.2-8.8","11.7-6.3",2.82180096573512,11,2023-01-16
"10",10,"Rutgers","B10","13-5",0.905241794111705,104.909836958262,144,86.215623131507,3,66.3299722741769,260,"22-9","14-6",0.493231197847171,43,2023-01-16
"11",11,"Marquette","BE","14-5",0.904017779454256,121.112320874716,1,99.653802842461,98,69.9208963028134,72,"22.6-8.4","14.6-5.4",1.78355584866819,22,2023-01-16
"12",12,"Arizona","P12","15-3",0.899565488779842,120.145564507323,3,99.2915078968161,93,73.1307643298717,10,"23.9-7.1","12.9-7.1",3.12968798821114,9,2023-01-16
"13",13,"San Diego St.","MWC","13-4",0.896017528128806,111.452031512698,48,92.4171672948518,16,69.0312037869909,110,"22.1-7.9","13.1-4.9",1.65281873747017,24,2023-01-16
"14",14,"Ohio St.","B10","10-7",0.895319318831146,120.933094884095,2,100.344136669216,111,66.9229040149081,228,"18.9-12.1","10.9-9.1",-0.822043576059892,70,2023-01-16
"15",15,"Texas","B12","15-2",0.892181057118794,114.244859211623,21,95.0674028441413,33,68.8263599196864,123,"21.7-9.3","10.6-7.4",2.79693156089087,12,2023-01-16
"16",16,"Virginia","ACC","13-3",0.891656203770078,112.266030879926,40,93.4649856567356,23,61.6743060586897,361,"22.8-6.2","14.8-5.2",2.41140192525898,15,2023-01-16
