"","rk","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date"
"1",1,"Gonzaga","WCC","1-0",115.9,1,87.7,7,0.9613,"26-3","15-1",0.1,56,1,0,2022-11-09
"2",2,"Baylor","B12","1-0",112.4,3,88.5,9,0.9398,"22-8","12-6",0,134,2,0,2022-11-09
"3",3,"Duke","ACC","1-0",113.4,2,89.9,26,0.9349,"23-6","15-5",0.1,23,3,0,2022-11-09
"4",4,"Tennessee","SEC","1-0",108.7,18,86.4,2,0.9334,"22-7","13-5",0,115,4,0,2022-11-09
"5",5,"Houston","Amer","1-0",108.5,22,86.8,5,0.9291,"26-5","15-3",0,79,5,0,2022-11-09
"6",6,"North Carolina","ACC","1-0",111.5,5,89.8,22,0.9237,"22-7","14-6",0.1,53,6,0,2022-11-09
"7",7,"Texas","B12","1-0",109.8,11,89.2,14,0.916,"21-10","11-7",0.1,24,7,0,2022-11-09
"8",8,"UCLA","P12","1-0",110.4,8,89.9,24,0.9134,"23-7","14-6",0.1,66,8,0,2022-11-09
"9",9,"Kentucky","SEC","1-0",112.4,4,91.6,43,0.9131,"22-9","12-6",0,89,9,0,2022-11-09
"10",10,"Arizona","P12","1-0",110.7,7,90.4,32,0.9112,"22-7","15-5",0.1,30,10,0,2022-11-09
"11",11,"Indiana","B10","1-0",108.6,19,88.7,11,0.911,"22-9","13-7",0.1,58,11,0,2022-11-09
"12",12,"Kansas","B12","1-0",108.3,26,88.9,12,0.9067,"18-11","10-8",0,122,12,0,2022-11-09
"13",13,"San Diego St.","MWC","1-0",104.5,65,86.2,1,0.9022,"22-6","14-4",0,73,13,0,2022-11-09
"14",14,"Illinois","B10","1-0",109.2,16,90.6,33,0.8953,"22-8","13-7",0,127,14,0,2022-11-09
"15",15,"Auburn","SEC","1-0",105.3,55,87.3,6,0.8953,"20-10","11-7",0.2,18,15,0,2022-11-09
"16",16,"Texas A&M","SEC","1-0",107.8,29,89.5,19,0.8949,"20-9","11-7",0,84,16,0,2022-11-09
"17",17,"Villanova","BE","1-0",109.4,14,90.8,34,0.8948,"21-8","14-6",0.1,33,17,0,2022-11-09
"18",18,"Arkansas","SEC","1-0",103.8,79,86.4,3,0.891,"20-9","11-7",0.1,62,18,0,2022-11-09
"19",19,"Xavier","BE","1-0",109.2,15,91.5,41,0.8846,"20-9","13-7",0,88,19,0,2022-11-09
"20",20,"Florida","SEC","1-0",107.2,34,89.8,23,0.8844,"19-10","11-7",0,97,20,0,2022-11-09
"21",21,"Memphis","Amer","1-0",106.4,41,89.3,15,0.8827,"21-8","13-5",0.5,3,21,0,2022-11-09
"22",22,"Virginia","ACC","1-0",106.6,40,89.4,18,0.8826,"20-9","13-7",0,85,22,0,2022-11-09
"23",23,"Texas Tech","B12","1-0",102.9,93,86.8,4,0.8765,"18-11","9-9",0,105,23,0,2022-11-09
"24",24,"Virginia Tech","ACC","1-0",108,28,91.1,37,0.8765,"20-9","12-8",0,139,24,0,2022-11-09
"25",25,"Michigan St.","B10","1-0",108.4,23,91.4,40,0.8761,"18-11","12-8",0,77,25,0,2022-11-09
"26",26,"Purdue","B10","1-0",109.6,12,92.7,58,0.873,"20-9","12-8",0,98,26,0,2022-11-09
"27",27,"Iowa","B10","1-0",110.4,9,93.4,67,0.8721,"20-10","12-8",0,110,27,0,2022-11-09
"28",28,"Creighton","BE","1-0",105.5,49,89.4,17,0.8712,"20-9","13-7",0,78,28,0,2022-11-09
"29",29,"Michigan","B10","1-0",108.2,27,91.9,48,0.8677,"20-10","12-8",0.1,29,29,0,2022-11-09
"30",30,"Notre Dame","ACC","0-0",111.1,6,94.4,89,0.867,"22-9","12-8",0,214,30,0,2022-11-09
"31",31,"TCU","B12","1-0",107.2,35,91.1,36,0.867,"19-11","8-10",0,128,31,0,2022-11-09
"32",32,"West Virginia","B12","1-0",107.5,32,91.6,44,0.8638,"17-12","8-10",0.1,65,32,0,2022-11-09
"33",33,"Kansas St.","B12","1-0",107.8,31,91.8,47,0.8633,"17-12","8-10",0,137,33,0,2022-11-09
"34",34,"Miami FL","ACC","1-0",108.6,20,92.6,57,0.862,"21-9","12-8",0,112,34,0,2022-11-09
"35",35,"Alabama","SEC","1-0",105.4,50,89.9,25,0.8615,"17-12","10-8",0.2,20,35,0,2022-11-09
"36",36,"Dayton","A10","1-0",105.6,48,90.3,30,0.8583,"22-7","13-5",0,141,36,0,2022-11-09
"37",37,"Oklahoma","B12","0-1",105.6,46,90.4,31,0.857,"15-14","8-10",-0.8,333,37,0,2022-11-09
"38",38,"Oklahoma St.","B12","1-0",104.4,67,89.3,16,0.8568,"17-13","8-10",0,74,38,0,2022-11-09
"39",39,"Oregon","P12","1-0",109,17,93.4,65,0.8558,"21-9","12-8",0,140,39,0,2022-11-09
"40",40,"Saint Louis","A10","1-0",108.5,21,93.2,63,0.8514,"22-8","13-5",0.1,52,40,0,2022-11-09
"41",41,"Stanford","P12","1-0",107.3,33,92.4,53,0.848,"19-10","12-8",0.1,69,41,0,2022-11-09
"42",42,"Tulane","Amer","1-0",109.5,13,94.7,96,0.842,"21-7","12-6",0,83,42,0,2022-11-09
"43",43,"UAB","CUSA","1-0",108.3,25,93.7,72,0.8412,"23-7","15-5",0,124,43,0,2022-11-09
"44",44,"St. John's","BE","1-0",105.1,58,91,35,0.8388,"20-10","12-8",0.1,61,44,0,2022-11-09
"45",45,"Utah St.","MWC","1-0",104,74,90.3,29,0.8361,"21-8","12-6",0.2,14,45,0,2022-11-09
"46",46,"Iowa St.","B12","1-0",102.7,97,89.2,13,0.8345,"16-13","7-11",0,135,46,0,2022-11-09
"47",47,"Wyoming","MWC","1-0",107.8,30,93.9,78,0.8303,"20-8","11-7",0,159,47,0,2022-11-09
