"team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"DePaul","BE",0.493497,167,103.9,167,104.135,181,68.0831,225,-9.2510648279459,16,0.5359,0.5359,31,0.7032999999999999,0.7032999999999999,,2016
"Tennessee St.","OVC",0.493189,168,99.7994,242,100.036,111,68.7441,182,-6.0305950416531,11,0.3904,0.3904,9,0.3854,0.3854,,2016
"Elon","CAA",0.492681,169,104.961,155,105.228,201,72.3256,46,-8.4535517577356,22,0.504,0.504,18,0.5366000000000001,0.5366000000000001,,2016
"Northern Illinois","MAC",0.491846,170,100.468,227,100.754,123,68.5775,187,-6.6750546194598,10,0.3789,0.3789,12,0.4892,0.4892,,2016
"High Point","BSth",0.490495,171,109.183,85,109.545,281,66.8228,281,-5.6739006060351,23,0.5515,0.5515,12,0.389,0.389,,2016
"Oral Roberts","Sum",0.485042,172,106.413,124,106.968,233,69.7985,125,-9.4134810088606,27,0.6272,0.6272,18,0.5492,0.5492,,2016
"Coastal Carolina","BSth",0.479564,173,100.734,219,101.453,136,67.5174,252,-7.017498128821,20,0.5650000000000001,0.5650000000000001,10,0.39280000000000004,0.39280000000000004,,2016
"Lehigh","Pat",0.474715,174,104.12,164,105.04,197,68.7676,180,-9.6165911968275,30,0.5944999999999999,0.5944999999999999,13,0.3821,0.3821,,2016
"Detroit","Horz",0.474036,175,109.777,78,110.773,297,74.4684,8,-8.3925881557076,23,0.5892999999999999,0.5892999999999999,16,0.4993,0.4993,,2016
"East Tennessee St.","SC",0.471258,176,105.392,150,106.452,223,70.2027,109,-5.1195831357075,23,0.5599000000000001,0.5599000000000001,13,0.45130000000000003,0.45130000000000003,,2016
"Bucknell","Pat",0.469457,177,104.14,163,105.253,203,72.1563,50,-9.1164142979022,15,0.5204,0.5204,10,0.3811,0.3811,,2016
"Eastern Washington","BSky",0.46744,178,111.649,55,112.923,321,69.416,145,-10.693569522998,18,0.5023,0.5023,10,0.3692,0.3692,,2016
"Kent St.","MAC",0.462331,179,105.429,148,106.822,230,68.2032,217,-7.0018049896817,15,0.4272,0.4272,13,0.4691,0.4691,,2016
"Portland","WCC",0.458825,180,107.633,110,109.19,276,72.8055,31,-12.324102571258,11,0.4086,0.4086,18,0.5118,0.5118,,2016
"Winthrop","BSth",0.457622,181,105.842,133,107.418,246,73.6208,15,-4.8615335983291,18,0.45630000000000004,0.45630000000000004,10,0.35769999999999996,0.35769999999999996,,2016
"Denver","Sum",0.457304,182,102.155,191,103.687,174,61.9347,350,-10.212057004901,7,0.34459999999999996,0.34459999999999996,10,0.43350000000000005,0.43350000000000005,,2016
"George Mason","A10",0.450727,183,101.352,205,103.11,164,68.5753,189,-11.629443947883,18,0.529,0.529,21,0.6073999999999999,0.6073999999999999,,2016
"Wagner","NEC",0.449019,184,99.6015,246,101.39,133,66.6259,290,-6.9823593188726,15,0.40240000000000004,0.40240000000000004,9,0.2846,0.2846,,2016
"East Carolina","Amer",0.44719,185,102.339,189,104.243,184,67.9338,232,-10.598541978054,17,0.4444,0.4444,22,0.5632,0.5632,,2016
"North Dakota","BSky",0.443825,186,99.4315,251,101.402,134,72.3669,44,-10.505054940587,20,0.5345,0.5345,11,0.3995,0.3995,,2016
"Auburn","SEC",0.443783,187,100.368,228,102.359,149,72.4694,39,-8.2607301062545,20,0.5783,0.5783,28,0.7039,0.7039,,2016
