"team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"Georgetown","BE",0.811846,56,111.275,59,97.9905,65,68.8481,175,-4.2128346937785,22,0.5595,0.5595,33,0.6870999999999999,0.6870999999999999,,2016
"Northern Iowa","MVC",0.810896,57,109.707,80,96.6623,48,63.6914,346,-2.1330487178146,27,0.6622999999999999,0.6622999999999999,23,0.6038,0.6038,11,2016
"South Carolina","SEC",0.808957,58,108.097,104,95.3476,30,71.2173,74,1.8233450854935,12,0.46,0.46,22,0.6338,0.6338,,2016
"Colorado","P12",0.807181,59,107.805,108,95.1852,29,69.9012,121,0.68913381330417,16,0.48800000000000004,0.48800000000000004,28,0.6661999999999999,0.6661999999999999,8,2016
"Florida St.","ACC",0.806929,60,112.228,46,99.1042,88,72.6565,36,0.12795001861063,19,0.49369999999999997,0.49369999999999997,32,0.6918,0.6918,,2016
"Hawaii","BW",0.794457,61,106.867,115,95.0138,27,71.3966,62,0.82996823771816,12,0.4012,0.4012,15,0.49369999999999997,0.49369999999999997,13,2016
"Princeton","Ivy",0.790974,62,112.166,48,99.9085,108,69.5139,139,-0.07358189604071,20,0.46290000000000003,0.46290000000000003,17,0.4661,0.4661,,2016
"Washington","P12",0.790521,63,110.129,72,98.1176,71,78.1725,2,-2.2357595672904,16,0.5078,0.5078,28,0.6791999999999999,0.6791999999999999,,2016
"Georgia","SEC",0.788056,64,108.011,105,96.3545,43,67.8711,236,-0.81595368563085,22,0.6154,0.6154,29,0.7026,0.7026,,2016
"Oregon St.","P12",0.788036,65,109.913,76,98.0522,68,67.958,231,0.27162976666429,20,0.5534,0.5534,32,0.7211,0.7211,7,2016
"Virginia Tech","ACC",0.78552,66,109.454,84,97.7707,61,70.5106,96,-0.4743721531505,15,0.3927,0.3927,32,0.6700999999999999,0.6700999999999999,,2016
"UCLA","P12",0.784283,67,111.577,56,99.7303,103,70.3585,102,-3.8727831175795,27,0.6244,0.6244,32,0.7159,0.7159,,2016
"LSU","SEC",0.774293,68,111.842,53,100.473,117,72.8826,29,-1.8191368201201,15,0.48490000000000005,0.48490000000000005,28,0.6658999999999999,0.6658999999999999,,2016
"Arkansas Little Rock","SB",0.773247,69,107.602,111,96.7151,49,63.8109,345,2.0588618603634,20,0.4837,0.4837,16,0.48490000000000005,0.48490000000000005,12,2016
