"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"24","Texas A&M","SEC",0.871605,24,115.479,22,97.763,45,66.5761,214,-0.31284866565454,14,0.4775,0.4775,25,0.6398,0.5769,NA,2023
"25","Auburn","SEC",0.870192,25,111.213,58,94.2548,17,67.6943,147,1.6671332369297,21,0.5871,0.5871,29,0.6889,0.6397,NA,2023
"26","Arkansas","SEC",0.870159,26,109.899,83,93.1434,12,69.2552,75,0.61279739843379,20,0.577,0.577,28,0.6797,0.633,NA,2023
"27","Boise St.","MWC",0.867049,27,108.22,110,91.9378,9,66.8326,197,1.3701128312125,15,0.499,0.499,23,0.6256,0.5953,NA,2023
"28","Indiana","B10",0.864833,28,115.433,23,98.2287,53,68.4089,117,1.611158787509,21,0.476,0.476,31,0.6864,0.6341,NA,2023
"29","Duke","ACC",0.85585,29,111.949,46,95.8854,29,65.5471,265,1.6634510643599,22,0.5573,0.5573,25,0.6439,0.6251,NA,2023
"30","Memphis","Amer",0.851082,30,113.884,32,97.8669,47,71.3892,23,1.355270820597,23,0.6084,0.6084,25,0.6508,0.6148,NA,2023
"31","Providence","BE",0.849893,31,115.5,21,99.3357,73,67.0515,184,1.6372468825072,13,0.3781,0.3781,26,0.6138,0.5738,NA,2023
"32","North Carolina St.","ACC",0.844719,32,114.177,31,98.5407,57,69.7841,54,1.6948165571816,12,0.4388,0.4388,22,0.5996,0.5553,NA,2023
"33","New Mexico","MWC",0.843703,33,114.385,29,98.7865,63,71.1997,25,2.230696084157,13,0.4431,0.4431,21,0.5862,0.553,NA,2023
"34","Florida Atlantic","CUSA",0.84352,34,113.177,40,97.7549,44,67.4976,159,3.029396145615,10,0.3534,0.3534,13,0.4788,0.4794,NA,2023
"35","Illinois","B10",0.842314,35,110.144,79,95.21,22,69.6639,58,0.75873530458102,20,0.4451,0.4451,29,0.6593,0.602,NA,2023
"36","Utah St.","MWC",0.839797,36,118.821,10,102.879,132,68.4377,115,1.9300232061184,13,0.559,0.559,21,0.6412,0.6166,NA,2023
"37","Maryland","B10",0.839264,37,111.748,49,96.7888,38,65.2766,278,1.0828511518818,18,0.4551,0.4551,28,0.6537,0.6185,NA,2023
"38","Liberty","ASun",0.837738,38,110.845,65,96.1002,33,63.3809,337,-1.6574685371429,16,0.4177,0.4177,11,0.4019,0.3963,NA,2023
"39","Cincinnati","Amer",0.837701,39,110.405,72,95.7217,27,68.3891,118,-1.32324002659,13,0.4319,0.4319,21,0.5697,0.5453,NA,2023
"40","Michigan St.","B10",0.835895,40,110.562,68,95.9678,31,64.8238,297,0.8294225025977,22,0.6071,0.6071,31,0.7287,0.722,NA,2023
"41","North Carolina","ACC",0.834039,41,112.793,44,98.0192,49,68.6751,107,0.33858819232133,26,0.6569,0.6569,27,0.6837,0.6594,NA,2023
"42","Miami FL","ACC",0.831456,42,118.45,11,103.101,139,68.1611,126,2.4184444797231,18,0.5131,0.5131,23,0.6166,0.6042,NA,2023
"43","Ohio St.","B10",0.831202,43,116.531,17,101.446,104,66.9635,191,-2.7596451865948,20,0.491,0.491,31,0.6942,0.649,NA,2023
"44","Virginia Tech","ACC",0.830625,44,113.618,36,98.9464,66,66.6365,207,-1.4229308460818,15,0.472,0.472,22,0.6124,0.6257,NA,2023
"45","Missouri","SEC",0.829337,45,119.8,8,104.412,167,70.4545,35,1.5793014435903,15,0.4586,0.4586,25,0.6226,0.5977,NA,2023
"46","USC","P12",0.828554,46,113.013,43,98.5445,58,68.0611,130,2.0527943892501,18,0.5596,0.5596,26,0.6563,0.6472,NA,2023
"47","Florida","SEC",0.828141,47,105.082,175,91.6524,8,69.2831,73,-1.1069219759768,23,0.6016,0.6016,29,0.6754,0.6648,NA,2023
"48","Iowa","B10",0.827149,48,120.848,6,105.467,191,69.7304,57,0.58378673018495,19,0.4932,0.4932,29,0.6838,0.6569,NA,2023
"49","Utah","P12",0.824366,49,109.212,97,95.4724,25,66.362,223,-1.611917852171,14,0.4456,0.4456,25,0.6181,0.5666,NA,2023
"50","Seton Hall","BE",0.814151,50,106.099,153,93.3091,13,66.5998,212,-0.16310834245077,22,0.5088,0.5088,29,0.6625,0.63,NA,2023
"51","Kentucky","SEC",0.811575,51,114.885,25,101.185,94,65.4944,269,0.94166833149285,20,0.5234,0.5234,29,0.6575,0.6042,NA,2023
"52","Nevada","MWC",0.811029,52,111.401,54,98.1468,51,65.8962,247,2.0685012076369,17,0.5443,0.5443,24,0.6459,0.6396,NA,2023
"53","Penn St.","B10",0.808836,53,115.323,24,101.728,110,64.9778,292,-0.9231273833363,12,0.4411,0.4411,27,0.6694,0.633,NA,2023
"54","Northwestern","B10",0.807485,54,109.268,93,96.4602,36,65.5072,268,0.45792221416973,13,0.4664,0.4664,28,0.6811,0.6209,NA,2023
"55","Oklahoma","B12",0.795019,55,111.656,53,99.242,70,64.5391,308,-1.0419949359122,20,0.5917,0.5917,36,0.7599,0.7192,NA,2023
"56","Mississippi St.","SEC",0.792584,56,103.723,197,92.3104,10,63.6888,330,0.044091238664623,15,0.4549,0.4549,27,0.6221,0.5995,NA,2023
"57","Washington St.","P12",0.79093,57,110.958,63,98.8347,64,63.8081,326,-4.5669757635038,21,0.5906,0.5906,28,0.6782,0.7014,NA,2023
"58","Oregon","P12",0.789976,58,113.035,42,100.736,89,66.5392,217,-0.67788525791979,22,0.6408,0.6408,27,0.6883,0.6972,NA,2023
"59","UCF","Amer",0.788166,59,109.955,82,98.0834,50,64.033,323,-1.9659521975619,15,0.5281,0.5281,22,0.6081,0.6154,NA,2023
"60","Michigan","B10",0.78755,60,111.682,51,99.6562,79,67.791,141,-1.9534260143917,16,0.5138,0.5138,28,0.6808,0.6409,NA,2023
"61","Texas Tech","B12",0.787375,61,110.068,80,98.2248,52,67.3526,167,-2.6575700615771,11,0.4009,0.4009,32,0.6803,0.6112,NA,2023
"62","Dayton","A10",0.781615,62,109.229,95,97.7653,46,63.806,327,-3.824558210359,16,0.4826,0.4826,14,0.5137,0.5022,NA,2023
"63","Wake Forest","ACC",0.779999,63,116.106,19,104.006,159,69.1567,81,-1.4185006640593,16,0.501,0.501,22,0.6179,0.613,NA,2023
"64","North Texas","CUSA",0.777537,64,106.87,131,95.8516,28,58.4261,363,0.52743746499542,15,0.442,0.442,16,0.5146,0.4931,NA,2023
"65","Pittsburgh","ACC",0.776188,65,111.199,59,99.8011,82,66.9888,190,0.078730753210004,15,0.4573,0.4573,21,0.5762,0.5851,NA,2023
"66","Colorado","P12",0.775013,66,104.771,182,94.0879,15,69.8571,50,-3.3021757046447,20,0.5715,0.5715,26,0.6552,0.6086,NA,2023
"67","College of Charleston","CAA",0.77473,67,110.501,70,99.2472,71,70.5195,33,0.88572484794679,11,0.4491,0.4491,9,0.3888,0.4111,NA,2023
"68","Oral Roberts","Sum",0.772009,68,113.667,34,102.229,119,70.9025,29,0.82294074077321,24,0.44,0.44,13,0.3643,0.3679,NA,2023
"69","Clemson","ACC",0.767823,69,108.717,104,97.9777,48,68.0216,131,0.026400425676526,9,0.403,0.403,19,0.5617,0.5424,NA,2023
"70","UAB","CUSA",0.764644,70,110.833,66,100.04,84,71.4926,21,-2.0097107898793,12,0.395,0.395,15,0.4987,0.4818,NA,2023
"71","BYU","WCC",0.760597,71,105.422,168,95.3405,24,70.0774,41,-2.9794720014375,17,0.4832,0.4832,21,0.5725,0.5423,NA,2023
"72","Sam Houston St.","WAC",0.755728,72,108.535,108,98.3826,55,64.185,319,-0.53423669771318,19,0.4127,0.4127,15,0.4726,0.4637,NA,2023
"73","Marshall","SB",0.754952,73,110.877,64,100.542,88,71.1695,26,-1.9878154079694,9,0.3939,0.3939,10,0.4293,0.4227,NA,2023
"74","Arizona St.","P12",0.749618,74,107.102,125,97.3616,42,68.361,119,-0.409331426886,16,0.5163,0.5163,26,0.6562,0.6224,NA,2023
"75","Wisconsin","B10",0.747396,75,105.831,162,96.3047,35,62.5734,349,-0.19378728968526,22,0.5473,0.5473,30,0.7018,0.678,NA,2023
"76","Utah Valley","WAC",0.746899,76,106.913,129,97.311,41,68.8497,93,-0.18573778961716,20,0.4379,0.4379,16,0.4865,0.4785,NA,2023
"77","Tulane","Amer",0.74664,77,111.244,57,101.266,98,72.5083,8,-1.3565805093315,8,0.3878,0.3878,19,0.5562,0.5284,NA,2023
"78","Kent St.","MAC",0.745938,78,106.313,150,96.8083,39,67.8294,138,-0.082650763181338,20,0.4603,0.4603,14,0.4342,0.4388,NA,2023
"79","UNLV","MWC",0.745503,79,109.867,84,100.064,86,69.5848,61,-1.8825702228203,11,0.4536,0.4536,21,0.6077,0.5686,NA,2023
"80","Iona","MAAC",0.739162,80,108.543,106,99.1435,68,69.1159,82,-2.6151594048059,18,0.6098,0.6098,11,0.4372,0.4739,NA,2023
"81","Bradley","MVC",0.728492,81,107.415,121,98.5804,61,65.4261,273,-2.1876320549487,20,0.483,0.483,15,0.4757,0.4743,NA,2023
"82","Villanova","BE",0.728262,82,111.111,61,101.983,114,63.4639,334,-4.2524504789874,21,0.5889,0.5889,29,0.6965,0.671,NA,2023
"83","VCU","A10",0.727628,83,104.439,187,95.8856,30,68.4125,116,-0.52600528473055,14,0.4893,0.4893,14,0.5242,0.5196,NA,2023
"84","Santa Clara","WCC",0.726866,84,111.666,52,102.555,126,69.8401,52,-0.62902260890905,14,0.5134,0.5134,20,0.582,0.5953,NA,2023
"85","Yale","Ivy",0.726037,85,109.053,100,100.192,87,65.5409,266,-1.9088048545609,14,0.409,0.409,13,0.4451,0.4243,NA,2023
"86","UC Irvine","BW",0.716826,86,109.736,87,101.222,95,69.0981,83,-3.2195776532372,17,0.4601,0.4601,13,0.4475,0.4656,NA,2023
"87","Drake","MVC",0.713429,87,106.818,135,98.6732,62,66.2658,232,-1.3387275462559,12,0.4426,0.4426,12,0.4722,0.4577,NA,2023
"88","San Francisco","WCC",0.713218,88,109.137,99,100.824,91,69.5413,62,-3.915458718631,13,0.4301,0.4301,20,0.5453,0.5338,NA,2023
"89","Southern Miss","SB",0.707614,89,109.343,92,101.255,97,67.7206,146,0.48040911597193,12,0.3369,0.3369,12,0.4177,0.4008,NA,2023
"90","Montana St.","BSky",0.698943,90,106.037,156,98.5481,59,66.2419,234,-3.0661802860327,19,0.499,0.499,13,0.4396,0.4377,NA,2023
"91","Louisiana Lafayette","SB",0.695533,91,113.67,33,105.79,198,68.7298,102,0.092564748932378,13,0.3747,0.3747,12,0.4286,0.4112,NA,2023
"92","Akron","MAC",0.694857,92,106.716,138,99.3462,74,64.5177,309,-2.0333484232593,13,0.4299,0.4299,12,0.4345,0.4096,NA,2023
"93","Temple","Amer",0.69468,93,107.056,126,99.6705,81,66.2044,237,-2.947749242396,14,0.5372,0.5372,22,0.6184,0.6021,NA,2023
"94","Furman","SC",0.694632,94,113.068,41,105.269,185,68.5807,110,-1.9677504488306,11,0.366,0.366,10,0.3749,0.3899,NA,2023
"95","Indiana St.","MVC",0.69286,95,108.745,103,101.318,101,71.1003,28,-5.1770954755373,7,0.3335,0.3335,10,0.4069,0.4027,NA,2023
"96","St. John's","BE",0.689422,96,108.199,111,100.951,93,73.5207,2,-2.0442485029324,12,0.3994,0.3994,26,0.6317,0.5937,NA,2023
"97","Toledo","MAC",0.688523,97,118.163,13,110.287,286,70.3042,36,-2.0648072224124,12,0.4451,0.4451,11,0.4207,0.4133,NA,2023
"98","Wichita St.","Amer",0.676832,98,105.482,166,98.9146,65,65.5905,263,-4.3861518062798,17,0.498,0.498,22,0.5947,0.5582,NA,2023
"99","Duquesne","A10",0.672087,99,109.611,89,102.98,134,67.5142,157,-3.5801442356229,10,0.4416,0.4416,12,0.4886,0.4858,NA,2023
"100","San Jose St.","MWC",0.671439,100,110.339,73,103.69,153,62.5618,350,-2.2620367869871,14,0.4312,0.4312,22,0.5956,0.5507,NA,2023
"101","UNC Greensboro","SC",0.671259,101,100.707,275,94.6454,19,65.4861,270,-4.2050399758001,17,0.4988,0.4988,12,0.4321,0.4373,NA,2023
"102","Saint Louis","A10",0.669773,102,110.651,67,104.052,161,68.6791,106,-2.280808988799,20,0.5527,0.5527,17,0.5505,0.5379,NA,2023
"103","Loyola Marymount","WCC",0.666079,103,108.85,101,102.507,124,67.4058,163,-2.2972600840393,14,0.5025,0.5025,20,0.5738,0.5515,NA,2023
"104","James Madison","SB",0.664772,104,105.733,163,99.6222,78,70.0317,44,-3.1234263700875,12,0.3274,0.3274,12,0.4187,0.408,NA,2023
"105","Hofstra","CAA",0.663046,105,109.666,88,103.398,144,67.3168,170,-1.8079631138491,25,0.6153,0.6153,15,0.4439,0.4963,NA,2023
"106","Stanford","P12",0.66047,106,110.297,76,104.096,162,65.7378,254,-5.5753698111254,18,0.5177,0.5177,25,0.6437,0.6053,NA,2023
"107","Vanderbilt","SEC",0.653445,107,111.858,48,105.856,199,65.8553,248,-3.2835662613649,19,0.5647,0.5647,29,0.6792,0.6541,NA,2023
"108","Princeton","Ivy",0.651314,108,109.155,98,103.383,143,67.3687,166,-2.3893201844809,8,0.3465,0.3465,10,0.4205,0.4001,NA,2023
"109","Cornell","Ivy",0.648714,109,116.787,16,110.721,292,71.511,20,-2.9943569132603,11,0.3488,0.3488,12,0.4218,0.4191,NA,2023
"110","Vermont","AE",0.648603,110,107.623,117,102.037,116,64.6259,303,-4.7108891967346,21,0.5726,0.5726,13,0.4409,0.4817,NA,2023
"111","Syracuse","ACC",0.642162,111,110.321,74,104.852,176,66.8396,196,-3.6227483826262,11,0.4356,0.4356,20,0.589,0.5563,NA,2023
"112","Washington","P12",0.641855,112,106.01,157,100.766,90,68.9998,85,-2.6920561524369,18,0.515,0.515,26,0.6475,0.6516,NA,2023
"113","Nebraska","B10",0.634843,113,103.383,205,98.5291,56,65.7171,255,-2.8949522820992,23,0.5498,0.5498,32,0.7042,0.6928,NA,2023
"114","Charlotte","CUSA",0.631257,114,107.624,116,102.708,128,60.325,362,-5.1119469885435,10,0.3827,0.3827,15,0.5029,0.4801,NA,2023
"115","Mississippi","SEC",0.62912,115,106.084,155,101.32,102,65.7537,252,-5.7948049204774,19,0.5613,0.5613,27,0.6633,0.6499,NA,2023
"116","UC Santa Barbara","BW",0.627763,116,107.559,118,102.78,129,64.6269,302,-0.81599673518409,8,0.3466,0.3466,10,0.4125,0.3575,NA,2023
"117","Middle Tennessee","CUSA",0.627281,117,106.27,151,101.567,108,67.2703,175,-3.8041129933412,12,0.464,0.464,16,0.532,0.503,NA,2023
"118","Stephen F. Austin","WAC",0.621622,118,106.389,147,101.894,112,69.2146,77,-4.6905516200006,9,0.3735,0.3735,12,0.4585,0.4398,NA,2023
"119","Georgia","SEC",0.620309,119,106.513,144,102.063,117,67.3469,168,-2.1267400069092,10,0.3874,0.3874,24,0.5873,0.5486,NA,2023
"120","Southern Utah","WAC",0.617959,120,109.604,90,105.115,180,71.6245,19,-2.6225448527529,16,0.4092,0.4092,15,0.4939,0.4739,NA,2023
"121","Kennesaw St.","ASun",0.615829,121,106.522,143,102.239,121,68.8883,92,-1.9029655179724,20,0.4326,0.4326,13,0.4057,0.4119,NA,2023
"122","Eastern Washington","BSky",0.614953,122,111.086,62,106.654,211,68.8119,97,-2.0883809914699,16,0.4837,0.4837,12,0.4385,0.448,NA,2023
"123","Belmont","MVC",0.612843,123,110.545,69,106.217,204,67.8689,136,-3.6353967265089,11,0.4629,0.4629,11,0.4592,0.4538,NA,2023
"124","South Florida","Amer",0.603198,124,107.448,120,103.605,150,68.3551,121,-7.2322187824429,11,0.4033,0.4033,19,0.5487,0.5219,NA,2023
"125","Southern Illinois","MVC",0.6019,125,101.865,241,98.2679,54,63.6791,331,-2.0235747345272,14,0.4078,0.4078,13,0.4524,0.4494,NA,2023
"126","Colgate","Pat",0.598867,126,112.239,45,108.395,252,67.033,187,-4.0065656423255,15,0.4679,0.4679,9,0.3707,0.3804,NA,2023
"127","Hawaii","BW",0.59819,127,103.019,213,99.5157,77,64.771,298,-3.3145385978223,8,0.3823,0.3823,10,0.4256,0.4122,NA,2023
"128","Grand Canyon","WAC",0.597355,128,110.32,75,106.6,209,64.4497,312,-3.0793907378794,12,0.4526,0.4526,13,0.4998,0.5039,NA,2023
"129","Colorado St.","MWC",0.596793,129,111.154,60,107.428,229,66.6553,206,-6.1230272390844,20,0.4964,0.4964,25,0.6229,0.5982,NA,2023
"130","Cal St. Fullerton","BW",0.59637,130,101.969,237,98.5658,60,64.463,311,-6.7567119710879,17,0.4709,0.4709,13,0.4589,0.4691,NA,2023
"131","Butler","BE",0.594551,131,102.77,218,99.405,75,66.2314,235,-3.1239703635945,22,0.5412,0.5412,30,0.6881,0.6776,NA,2023
"132","Long Beach St.","BW",0.585857,132,106.218,152,103.062,138,73.2788,3,-4.26578147212,22,0.5223,0.5223,15,0.4789,0.4889,NA,2023
"133","UMass Lowell","AE",0.578531,133,105.893,160,103.017,136,68.5667,111,-3.2376640932712,9,0.2524,0.2524,8,0.2946,0.2695,NA,2023
"134","Penn","Ivy",0.57267,134,110.007,81,107.242,227,66.32,229,-5.5969006515245,17,0.4707,0.4707,15,0.485,0.4757,NA,2023
"135","UC Davis","BW",0.567728,135,106.914,128,104.41,166,70.512,34,-4.8654742174681,15,0.3966,0.3966,13,0.4328,0.411,NA,2023
"136","Samford","SC",0.566512,136,110.231,77,107.695,233,66.4871,219,-5.1817316530806,10,0.3178,0.3178,10,0.3628,0.3484,NA,2023
"137","Youngstown St.","Horz",0.563649,137,113.308,39,110.814,293,67.373,165,-3.3096020002586,6,0.2924,0.2924,6,0.3231,0.3244,NA,2023
"138","Radford","BSth",0.557852,138,104.251,189,102.165,118,65.176,283,-4.5563265058421,18,0.4453,0.4453,11,0.3799,0.3835,NA,2023
"139","Quinnipiac","MAAC",0.557624,139,104.894,179,102.803,130,69.5401,63,-3.3464919782926,12,0.4066,0.4066,9,0.3766,0.3795,NA,2023
"140","St. Bonaventure","A10",0.557599,140,103.362,207,101.302,100,65.1391,286,-6.3464425271504,10,0.4493,0.4493,12,0.5008,0.4982,NA,2023
"141","UNC Wilmington","CAA",0.557262,141,103.271,210,101.226,96,64.4716,310,-1.361756826333,19,0.47,0.47,13,0.3943,0.3834,NA,2023
"142","Towson","CAA",0.556328,142,107.393,122,105.301,186,63.2114,341,-3.9973707299201,12,0.4279,0.4279,11,0.4086,0.4066,NA,2023
"143","Davidson","A10",0.556133,143,106.334,149,104.269,164,65.6489,259,-6.5770487567409,14,0.4413,0.4413,15,0.5158,0.5143,NA,2023
"144","LSU","SEC",0.554384,144,105.424,167,103.44,146,65.6616,258,-2.7305829187167,11,0.4114,0.4114,27,0.6347,0.6151,NA,2023
"145","Brown","Ivy",0.553655,145,101.837,242,99.9467,83,68.625,108,-5.5961799823382,14,0.426,0.426,14,0.4658,0.4446,NA,2023
"146","Louisiana Tech","CUSA",0.550117,146,106.612,140,104.764,173,66.55,216,-5.1179791151084,12,0.3788,0.3788,16,0.5066,0.4602,NA,2023
"147","Utah Tech","WAC",0.5449,147,106.867,132,105.207,182,69.9808,47,-7.0798007520621,18,0.4156,0.4156,16,0.4942,0.4892,NA,2023
"148","Cal Baptist","WAC",0.542635,148,104.223,190,102.685,127,63.8938,324,-7.4270618517712,7,0.3426,0.3426,11,0.4587,0.4223,NA,2023
"149","Missouri St.","MVC",0.541099,149,105.283,170,103.785,157,62.2251,352,-6.4269351463659,20,0.4979,0.4979,16,0.4983,0.4973,NA,2023
"150","Air Force","MWC",0.540417,150,106.526,142,105.036,178,62.6259,348,-6.0217297067728,5,0.2937,0.2937,18,0.5432,0.5082,NA,2023
"151","Seattle","WAC",0.540388,151,101.478,252,100.06,85,68.8108,98,-3.0447511737965,12,0.4277,0.4277,13,0.492,0.4748,NA,2023
"152","Richmond","A10",0.538912,152,103.207,211,101.817,111,65.0758,289,-6.7220796807228,14,0.4806,0.4806,14,0.5175,0.5144,NA,2023
"153","Appalachian St.","SB",0.537898,153,100.991,266,99.6663,80,65.2817,277,-7.4648237763702,10,0.3696,0.3696,11,0.4288,0.4264,NA,2023
"154","South Alabama","SB",0.536607,154,104.504,185,103.179,140,66.2928,231,-7.5406154947655,20,0.4463,0.4804,15,0.4591,0.4566,NA,2023
"155","Wyoming","MWC",0.53231,155,109.486,91,108.26,249,65.6408,260,-8.6957984158195,14,0.466,0.466,23,0.6252,0.5761,NA,2023
"156","Tarleton St.","WAC",0.532054,156,103.446,201,102.298,123,67.1254,182,-5.3335700485724,19,0.4834,0.4834,16,0.5132,0.49,NA,2023
"157","Eastern Kentucky","ASun",0.530872,157,105.974,158,104.841,175,70.0438,43,-4.2354223483071,17,0.4263,0.4263,13,0.4253,0.4256,NA,2023
"158","Ball St.","MAC",0.527916,158,107.796,114,106.753,217,66.6748,205,-3.0033798606102,10,0.3661,0.3661,11,0.4084,0.4039,NA,2023
"159","George Mason","A10",0.525786,159,103.432,202,102.508,125,66.3761,222,-6.1960627294571,13,0.4902,0.4902,14,0.5054,0.4962,NA,2023
"160","Notre Dame","ACC",0.524796,160,109.771,86,108.828,268,64.2174,316,-7.7554548235457,11,0.4798,0.4798,20,0.597,0.533,NA,2023
"161","Siena","MAAC",0.522614,161,104.033,191,103.217,141,66.4871,218,-5.388446514318,12,0.47,0.47,9,0.4013,0.4045,NA,2023
"162","DePaul","BE",0.522426,162,106.492,145,105.664,196,68.9974,86,-6.1295667907478,19,0.5591,0.5591,30,0.699,0.6701,NA,2023
"163","Buffalo","MAC",0.513107,163,105.16,173,104.681,171,73.1416,4,-6.5808958695219,21,0.5286,0.5286,16,0.4821,0.4908,NA,2023
"164","Montana","BSky",0.512848,164,107.694,115,107.214,226,63.0341,343,-7.1224385566739,19,0.4917,0.4917,13,0.4469,0.4483,NA,2023
"165","Fresno St.","MWC",0.512029,165,101.346,255,100.922,92,63.4185,335,-7.2598614884947,14,0.4746,0.4987,22,0.6198,0.603,NA,2023
"166","Troy","SB",0.511214,166,102.637,222,102.237,120,67.2604,176,-5.816587095625,15,0.3759,0.3759,14,0.4416,0.4358,NA,2023
"167","Stetson","ASun",0.50606,167,111.896,47,111.661,312,63.6036,332,-4.8654115220194,19,0.4962,0.4962,13,0.438,0.4543,NA,2023
"168","Cleveland St.","Horz",0.504312,168,105.535,165,105.377,188,64.5826,306,-7.0181187000647,13,0.4051,0.4051,9,0.3668,0.3716,NA,2023
"169","Gardner Webb","BSth",0.502598,169,99.1461,298,99.0565,67,65.6857,257,-7.4512358980409,13,0.416,0.416,9,0.3696,0.3643,NA,2023
"170","Portland","WCC",0.497166,170,108.013,113,108.119,245,69.3488,70,-6.8235211294125,14,0.4384,0.4384,20,0.5495,0.528,NA,2023
"171","Saint Joseph's","A10",0.496834,171,103.545,199,103.659,152,69.0585,84,-7.2774229377053,15,0.4328,0.4328,14,0.489,0.466,NA,2023
"172","Northern Iowa","MVC",0.494816,172,103.987,192,104.175,163,67.009,188,-7.4643133971895,10,0.4545,0.4545,12,0.4815,0.467,NA,2023
"173","Longwood","BSth",0.494515,173,102.838,216,103.034,137,66.2157,236,-5.5562940732065,12,0.3087,0.3087,9,0.3266,0.32,NA,2023
"174","Lipscomb","ASun",0.49329,174,102.628,223,102.868,131,68.8008,99,-5.9946466108222,9,0.3231,0.3231,10,0.3781,0.3799,NA,2023
"175","Chattanooga","SC",0.492965,175,110.17,78,110.44,289,67.0483,185,-8.3117951333833,13,0.4232,0.4232,11,0.4117,0.4257,NA,2023
"176","Georgetown","BE",0.491874,176,106.828,134,107.13,223,67.8516,137,-10.016249938798,12,0.4381,0.4381,27,0.658,0.6148,NA,2023
"177","Harvard","Ivy",0.491115,177,99.1757,296,99.4827,76,65.8174,250,-6.2844366988699,13,0.3986,0.3986,13,0.4551,0.4526,NA,2023
"178","UTEP","CUSA",0.489613,178,97.3209,324,97.6731,43,66.3281,226,-6.7614991450559,12,0.3694,0.3694,16,0.5071,0.481,NA,2023
"179","Ohio","MAC",0.48859,179,109.215,96,109.649,279,67.6756,148,-6.0993431359152,15,0.4612,0.4612,13,0.4444,0.4526,NA,2023
"180","Florida St.","ACC",0.488057,180,107.386,123,107.833,239,68.949,89,-8.1197617811013,18,0.5819,0.5819,24,0.6449,0.6239,NA,2023
"181","Fordham","A10",0.488017,181,101.075,263,101.497,107,69.6359,60,-1.0936213964354,9,0.3037,0.3037,12,0.4435,0.4115,NA,2023
"182","Western Kentucky","CUSA",0.486084,182,105.67,164,106.183,203,67.0884,183,-6.0998081728969,8,0.3421,0.3421,15,0.4976,0.4607,NA,2023
"183","SMU","Amer",0.480694,183,102.313,230,103.003,135,68.8917,91,-7.858264220838,22,0.5715,0.5715,26,0.6352,0.6117,NA,2023
"184","Pacific","WCC",0.475471,184,106.873,130,107.789,237,69.7693,55,-7.8072802218462,8,0.353,0.353,15,0.4984,0.4708,NA,2023
"185","Rice","CUSA",0.470651,185,108.266,109,109.378,277,69.8588,49,-3.5826597957284,9,0.2783,0.2783,15,0.476,0.4373,NA,2023
"186","Texas A&M Corpus Chris","Slnd",0.466043,186,107.343,124,108.62,260,69.4425,66,-5.4846195539085,16,0.3607,0.3607,9,0.2786,0.2944,NA,2023
"187","Abilene Christian","WAC",0.46342,187,106.335,148,107.699,234,68.9283,90,-6.2473169503325,12,0.3165,0.3165,14,0.464,0.4222,NA,2023
"188","Grambling St.","SWAC",0.461315,188,100.53,279,101.895,113,67.2705,174,-4.2524422157002,18,0.4601,0.4601,9,0.298,0.3441,NA,2023
"189","Massachusetts","A10",0.460096,189,103.302,209,104.749,172,71.1253,27,-5.1439828928538,13,0.4971,0.4971,13,0.521,0.5161,NA,2023
"190","Northern Kentucky","Horz",0.458423,190,100.551,278,102.02,115,62.0969,357,-6.0594671503193,16,0.4824,0.4824,10,0.3972,0.394,NA,2023
"191","Old Dominion","SB",0.456009,191,103.879,195,105.485,192,64.6598,301,-5.5644314723044,12,0.4556,0.4556,13,0.4828,0.4569,NA,2023
"192","Boston College","ACC",0.455166,192,101.686,248,103.288,142,66.3228,228,-6.1836464643943,10,0.4503,0.4503,22,0.6175,0.5851,NA,2023
"193","UC Riverside","BW",0.45435,193,104.944,178,106.628,210,67.0426,186,-3.5056432536757,20,0.5326,0.5326,15,0.4908,0.4811,NA,2023
"194","FIU","CUSA",0.452005,194,102.748,220,104.483,170,69.8437,51,-6.485883944203,8,0.2907,0.2907,15,0.4815,0.4829,NA,2023
"195","Army","Pat",0.450234,195,106.432,146,108.297,251,68.1753,125,-9.5043594571959,6,0.2836,0.2836,6,0.3029,0.2983,NA,2023
"196","Murray St.","MVC",0.450044,196,106.612,141,108.487,256,66.593,213,-5.809050146932,14,0.4436,0.4436,14,0.4802,0.4864,NA,2023
"197","Drexel","CAA",0.448861,197,101.745,246,103.578,149,63.3923,336,-7.5249954008857,12,0.4417,0.4417,9,0.3791,0.368,NA,2023
"198","Weber St.","BSky",0.448062,198,99.4561,292,101.276,99,65.0473,290,-6.1045193471978,17,0.4892,0.4892,13,0.4513,0.4578,NA,2023
"199","Rider","MAAC",0.446541,199,106.09,154,108.089,244,65.1548,284,-4.958281373309,18,0.4275,0.4275,11,0.3885,0.3876,NA,2023
"200","Wright St.","Horz",0.446343,200,103.497,200,105.454,190,71.7715,18,-7.9062663799964,9,0.3687,0.3687,8,0.3576,0.3503,NA,2023
"201","George Washington","A10",0.445203,201,108.839,102,110.942,298,68.8189,96,-8.0861015879669,9,0.3676,0.3676,11,0.4648,0.4437,NA,2023
"202","South Dakota St.","Sum",0.445036,202,103.099,212,105.097,179,66.9552,192,-4.8820528051474,28,0.6245,0.6245,16,0.457,0.4779,NA,2023
