"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"268","Lafayette","Pat",0.303372,268,95.1399,344,102.272,122,62.2155,353,-12.687780427113,21,0.5648,0.5648,12,0.4301,0.4556,NA,2023
"269","Alcorn St.","SWAC",0.302745,269,101.114,261,108.722,265,66.7191,203,-5.5824374259458,28,0.6619,0.6619,13,0.3826,0.4614,NA,2023
"270","Northern Colorado","BSky",0.302717,270,104.443,186,112.302,320,69.2168,76,-9.9733213553848,25,0.5313,0.5313,16,0.4764,0.5112,NA,2023
"271","Charleston Southern","BSth",0.302276,271,109.781,85,118.064,360,64.9458,293,-10.770523679818,17,0.43,0.43,11,0.3869,0.399,NA,2023
"272","South Carolina","SEC",0.299239,272,101.13,260,108.896,270,64.2042,317,-8.0530260250772,12,0.4549,0.4549,25,0.6398,0.5992,NA,2023
"273","North Alabama","ASun",0.294411,273,105.354,169,113.673,338,68.2214,124,-6.3084850603945,14,0.3549,0.3549,12,0.3854,0.3832,NA,2023
"274","Tennessee Martin","OVC",0.293072,274,101.026,265,109.065,273,70.862,30,-7.1750228902459,9,0.2981,0.2981,7,0.2801,0.2832,NA,2023
"275","Illinois Chicago","MVC",0.289334,275,97.9929,309,105.957,201,68.8357,94,-10.607590666425,8,0.2788,0.2788,12,0.4252,0.4124,NA,2023
"276","Valparaiso","MVC",0.28378,276,98.4936,304,106.751,216,67.7896,142,-10.237230867043,11,0.3785,0.3785,12,0.4548,0.4409,NA,2023
"277","Jacksonville St.","ASun",0.282786,277,100.401,283,108.864,269,64.893,296,-9.8464730968065,18,0.3917,0.3917,14,0.4224,0.4065,NA,2023
"278","Georgia St.","SB",0.281125,278,95.6403,338,103.776,156,66.7475,201,-9.9182751246268,8,0.3076,0.3076,11,0.4304,0.4189,NA,2023
"279","Dartmouth","Ivy",0.280118,279,97.5184,320,105.86,200,68.1041,127,-10.907766090126,8,0.3513,0.3513,12,0.4463,0.4323,NA,2023
"280","Campbell","BSth",0.27862,280,101.684,249,110.453,290,64.1048,321,-10.552995164385,11,0.3947,0.3947,9,0.3757,0.3799,NA,2023
"281","Coastal Carolina","SB",0.270318,281,104.544,183,113.972,340,67.2517,177,-9.8528461447548,9,0.3226,0.3226,11,0.4282,0.4116,NA,2023
"282","Denver","Sum",0.267838,282,101.092,262,110.331,287,68.0991,128,-9.2950040979059,10,0.2736,0.2736,9,0.3265,0.3327,NA,2023
"283","Canisius","MAAC",0.266513,283,100.987,267,110.28,285,67.5304,155,-12.649533262111,17,0.5328,0.5328,11,0.4334,0.4464,NA,2023
"284","Idaho","BSky",0.265704,284,105.087,174,114.799,347,66.1179,241,-12.431364522635,6,0.2958,0.2958,8,0.3818,0.3769,NA,2023
"285","Southeastern Louisiana","Slnd",0.264622,285,103.953,194,113.615,336,68.7128,103,-6.0377050604215,17,0.4571,0.4571,10,0.3318,0.3571,NA,2023
"286","Chicago St.","ind",0.263968,286,102.052,236,111.57,309,64.5613,307,-11.179256623102,16,0.4366,0.4596,15,0.4117,0.4438,NA,2023
"287","Northeastern","CAA",0.263256,287,99.2059,294,108.493,257,67.5126,158,-10.377763801363,14,0.454,0.454,12,0.4243,0.3966,NA,2023
"288","Morgan St.","MEAC",0.263223,288,97.0455,325,106.132,202,69.7323,56,-6.6620425539601,19,0.4184,0.4184,12,0.3464,0.3537,NA,2023
"289","Mount St. Mary's","MAAC",0.261927,289,96.1395,334,105.202,181,65.605,262,-11.739342694934,15,0.393,0.393,11,0.3905,0.3872,NA,2023
"290","Tennessee Tech","OVC",0.261783,290,100.907,270,110.426,288,65.9226,246,-10.128298009199,16,0.399,0.399,9,0.3244,0.3442,NA,2023
"291","USC Upstate","BSth",0.259091,291,97.8096,312,107.167,224,67.4126,162,-8.794429126715,16,0.4215,0.4215,11,0.3866,0.4011,NA,2023
"292","William & Mary","CAA",0.25745,292,102.479,228,112.366,324,65.2122,281,-10.904180853435,16,0.4672,0.4672,12,0.4069,0.4404,NA,2023
"293","Western Illinois","Sum",0.251809,293,101.764,245,111.871,317,66.616,208,-5.9225512099878,9,0.3108,0.3108,8,0.3454,0.3259,NA,2023
"294","Elon","CAA",0.251537,294,99.962,285,109.904,283,66.8268,198,-14.532526734375,13,0.3922,0.3922,11,0.3968,0.425,NA,2023
"295","Bucknell","Pat",0.250986,295,99.1839,295,109.077,274,66.9526,193,-11.611411887186,11,0.3342,0.3342,9,0.3367,0.3275,NA,2023
"296","North Dakota","Sum",0.250358,296,102.11,233,112.327,321,66.1262,240,-12.64418837218,16,0.4441,0.4441,11,0.3991,0.4092,NA,2023
"297","Miami OH","MAC",0.249231,297,103.963,193,114.425,342,67.4892,160,-11.724444837622,13,0.3766,0.3766,11,0.408,0.4194,NA,2023
"298","Prairie View A&M","SWAC",0.239681,298,91.7275,356,101.414,103,67.4314,161,-10.516874216457,22,0.5076,0.5076,12,0.3471,0.3804,NA,2023
"299","Cal St. Bakersfield","BW",0.238954,299,96.5208,330,106.75,214,62.3815,351,-10.497394100743,12,0.4027,0.4027,12,0.457,0.4571,NA,2023
"300","UTSA","CUSA",0.237889,300,102.079,235,112.956,329,67.6004,152,-12.222167067538,12,0.3333,0.3333,16,0.5103,0.4874,NA,2023
"301","Louisville","ACC",0.237091,301,98.1049,308,108.599,259,67.3268,169,-13.3713409017,19,0.5611,0.5611,24,0.6541,0.6055,NA,2023
"302","Nebraska Omaha","Sum",0.23571,302,102.586,226,113.635,337,67.6146,151,-11.820411472398,26,0.5864,0.5864,15,0.4555,0.482,NA,2023
"303","Tennessee St.","OVC",0.232594,303,100.499,281,111.491,305,69.5255,64,-8.8537472479647,6,0.23,0.23,5,0.2553,0.2411,NA,2023
"304","North Carolina A&T","CAA",0.232282,304,101.032,264,112.1,318,69.6493,59,-8.7952727594271,20,0.4531,0.4531,13,0.3946,0.4252,NA,2023
"305","Arkansas Pine Bluff","SWAC",0.225055,305,94.5171,348,105.246,183,70.1383,40,-8.024948713687,25,0.5127,0.5127,12,0.3313,0.3816,NA,2023
"306","Saint Peter's","MAAC",0.225023,306,96.2623,333,107.191,225,63.2176,340,-9.2228987601099,14,0.3334,0.3334,10,0.3744,0.3719,NA,2023
"307","South Dakota","Sum",0.223278,307,101.373,254,112.98,331,66.3273,227,-9.6353061985213,15,0.4521,0.4521,11,0.4026,0.3989,NA,2023
"308","Marist","MAAC",0.219797,308,96.505,331,107.744,235,65.2521,279,-11.486221859919,5,0.3055,0.3055,8,0.3661,0.3474,NA,2023
"309","Boston University","Pat",0.216586,309,97.7735,316,109.339,276,65.7562,251,-10.144555488634,13,0.3797,0.3797,9,0.358,0.3681,NA,2023
"310","Eastern Michigan","MAC",0.212197,310,102.906,215,115.34,348,70.1614,39,-12.648040108046,12,0.4417,0.4417,12,0.4609,0.444,NA,2023
"311","Wagner","NEC",0.211555,311,96.3217,332,107.996,243,63.0334,344,-6.5873124031673,12,0.3572,0.3572,6,0.2414,0.2659,NA,2023
"312","Fairleigh Dickinson","NEC",0.210579,312,107.005,127,120.035,362,69.2782,74,-8.5408657400436,9,0.3177,0.3177,5,0.2372,0.2542,NA,2023
"313","Austin Peay","ASun",0.208375,313,97.8543,311,109.897,282,65.0973,288,-11.787628020039,20,0.404,0.404,14,0.4089,0.4181,NA,2023
"314","High Point","BSth",0.206612,314,99.9503,286,112.356,322,72.0073,14,-9.5122660768619,10,0.3448,0.3448,8,0.3606,0.3638,NA,2023
"315","Cal St. Northridge","BW",0.206104,315,95.9944,337,107.938,240,64.2927,315,-13.379194371275,12,0.3577,0.3577,12,0.4432,0.4568,NA,2023
"316","St. Francis PA","NEC",0.205686,316,101.967,238,114.679,345,68.7425,101,-11.574575381111,15,0.4289,0.4289,8,0.2819,0.3214,NA,2023
"317","Western Michigan","MAC",0.205177,317,104.334,188,117.373,358,65.5608,264,-12.160026197492,15,0.3972,0.3972,13,0.4227,0.4302,NA,2023
"318","Binghamton","AE",0.204539,318,98.4925,305,110.839,294,65.9622,245,-9.8411135171486,10,0.3342,0.3342,9,0.3596,0.3557,NA,2023
"319","McNeese St.","Slnd",0.204454,319,100.895,271,113.548,333,66.1381,238,-12.958044621682,31,0.5651,0.5651,16,0.381,0.4298,NA,2023
"320","Manhattan","MAAC",0.20147,320,97.7673,317,110.205,284,66.8929,194,-10.864907128069,12,0.3557,0.3557,10,0.3829,0.3687,NA,2023
"321","Arkansas St.","SB",0.200632,321,97.4343,322,109.879,281,63.0309,345,-11.225311060198,6,0.2365,0.2365,10,0.3975,0.3786,NA,2023
"322","Stonehill","NEC",0.19897,322,96.1354,335,108.513,258,67.3024,171,-9.9045852058837,17,0.4583,0.4583,10,0.306,0.3344,NA,2023
"323","Texas Southern","SWAC",0.195599,323,95.3433,342,107.818,238,69.5016,65,-10.659112210055,28,0.5798,0.5798,14,0.3801,0.418,NA,2023
"324","Cal Poly","BW",0.193332,324,94.5625,347,107.069,222,63.2409,338,-12.239071242542,13,0.4217,0.4217,13,0.4653,0.4617,NA,2023
"325","NJIT","AE",0.188606,325,97.7999,314,111.03,299,66.0893,243,-12.354659940217,11,0.3776,0.3776,10,0.3802,0.3877,NA,2023
"326","Presbyterian","BSth",0.184757,326,97.4729,321,110.903,297,63.7548,329,-16.414862948704,10,0.34,0.34,8,0.3595,0.3662,NA,2023
"327","Texas A&M Commerce","Slnd",0.18451,327,97.4298,323,110.87,295,65.1776,282,-9.3760227442552,15,0.458,0.458,9,0.3411,0.3415,NA,2023
"328","Holy Cross","Pat",0.1837,328,95.47,339,108.691,263,67.5775,154,-13.78075775285,10,0.3379,0.3379,8,0.3426,0.3419,NA,2023
"329","Sacred Heart","NEC",0.180934,329,97.7766,315,111.496,306,69.9097,48,-9.8525645563926,12,0.3502,0.3502,7,0.2549,0.2718,NA,2023
"330","Jackson St.","SWAC",0.180923,330,97.766,318,111.485,304,68.9786,88,-10.726579970132,31,0.666,0.666,15,0.4011,0.4773,NA,2023
"331","Central Arkansas","ASun",0.180545,331,99.6041,287,113.606,335,72.213,11,-11.664262524295,17,0.4413,0.4413,13,0.433,0.4423,NA,2023
"332","Little Rock","OVC",0.180045,332,102.607,224,117.066,357,70.3003,37,-14.136517297383,16,0.3901,0.3901,9,0.3259,0.336,NA,2023
"333","The Citadel","SC",0.179241,333,99.4934,289,113.567,334,67.5173,156,-11.664381011813,13,0.3992,0.3992,11,0.4216,0.4043,NA,2023
"334","Merrimack","NEC",0.177164,334,88.9903,362,101.704,109,65.3451,275,-12.094889648802,15,0.4491,0.4766,9,0.303,0.3405,NA,2023
"335","Central Michigan","MAC",0.177057,335,94.6197,346,108.144,247,67.7227,145,-10.466148138379,14,0.3907,0.3907,12,0.4166,0.4162,NA,2023
"336","Alabama A&M","SWAC",0.17661,336,95.2798,343,108.928,271,70.2208,38,-11.047658980955,13,0.4049,0.4049,8,0.2952,0.309,NA,2023
"337","Incarnate Word","Slnd",0.167291,337,96.0979,336,110.49,291,66.7434,202,-9.9342295230122,12,0.3427,0.3427,8,0.2901,0.2983,NA,2023
"338","Stony Brook","CAA",0.162324,338,97.8057,313,112.807,328,62.99,346,-11.686714002697,16,0.4602,0.4602,12,0.4091,0.4039,NA,2023
"339","Central Connecticut","NEC",0.158192,339,96.6168,329,111.734,314,64.1084,320,-15.629676145908,13,0.434,0.4604,8,0.2969,0.3275,NA,2023
"340","Columbia","Ivy",0.153576,340,93.7227,351,108.718,264,69.3632,68,-13.486660239452,11,0.3295,0.3295,13,0.4404,0.4232,NA,2023
"341","South Carolina St.","MEAC",0.145199,341,100.761,273,117.555,359,71.8105,17,-14.940331883282,18,0.513,0.513,12,0.4156,0.4525,NA,2023
"342","VMI","SC",0.14433,342,98.9887,299,115.558,350,66.6046,209,-14.937637443084,8,0.3474,0.3474,10,0.4021,0.3935,NA,2023
"343","Lindenwood","OVC",0.139757,343,95.4681,340,111.812,316,66.8766,195,-11.908776308439,17,0.4096,0.4096,10,0.3367,0.3408,NA,2023
"344","Loyola MD","Pat",0.138158,344,95.1078,345,111.52,308,64.9388,295,-13.490936000028,11,0.3557,0.3557,9,0.353,0.3529,NA,2023
