"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"MAC at B10","Ohio St. -11.3, 71-59 (88%)",44.37318339282536,"nc","Akron",0.11908594334625916,59.4708792446588,"Ohio St.",0.8809140566537409,70.77435627354731,"AkronOhio St.11-9",2022
2021-11-09,"BW at WCC","Santa Clara -11.8, 80-68 (86%)",44.1118883575658,"nc","Cal St. Fullerton",0.13620614195987038,67.90872764124109,"Santa Clara",0.8637938580401296,79.74129460138408,"Cal St. FullertonSanta Clara11-9",2022
2021-11-09,"Horz at B12","West Virginia -12.9, 77-64 (89%)",43.13136509917699,"nc","Oakland",0.1093213497339891,64.24567204269404,"West Virginia",0.8906786502660109,77.10147101405934,"OaklandWest Virginia11-9",2022
2021-11-09,"MAC at SB","Georgia Southern -3.6, 72-68 (64%)",43.05679261276073,"nc","Ball St.",0.35515375554608997,67.96976142586217,"Georgia Southern",0.64484624445391,71.58811752037222,"Ball St.Georgia Southern11-9",2022
2021-11-09,"Sum at MWC","Colorado St. -15.2, 84-69 (91%)",42.4042724940185,"nc","Oral Roberts",0.09298925198104684,69.24478888103862,"Colorado St.",0.9070107480189532,84.41171418728183,"Oral RobertsColorado St.11-9",2022
2021-11-09,"NEC at WCC","San Francisco -21.1, 86-65 (96%)",42.03963271406329,"nc","LIU Brooklyn",0.0384078921291583,65.26032934367888,"San Francisco",0.9615921078708416,86.35034559271655,"LIU BrooklynSan Francisco11-9",2022
2021-11-09,"WCC at CUSA","Rice -4.9, 77-72 (68%)",41.77451809771149,"nc","Pepperdine",0.3189170580892939,72.45603628793928,"Rice",0.6810829419107061,77.39781159662715,"PepperdineRice11-9",2022
2021-11-09,"Slnd at MVC","Northern Iowa -11.7, 79-68 (86%)",41.653776173162726,"nc","Nicholls St.",0.13810894755653036,67.7455952711696,"Northern Iowa",0.8618910524434696,79.43859354089693,"Nicholls St.Northern Iowa11-9",2022
2021-11-09,"SWAC at P12","Oregon -12.2, 74-62 (89%)",41.59213084797295,"nc","Texas Southern",0.11223661640490774,62.048221542818744,"Oregon",0.8877633835950922,74.27290988403308,"Texas SouthernOregon11-9",2022
2021-11-09,"BW at MWC","San Diego St. -12.1, 65-53 (91%)",41.46999722745869,"nc","UC Riverside",0.08651979855705158,53.24506274098358,"San Diego St.",0.9134802014429484,65.3561733634527,"UC RiversideSan Diego St.11-9",2022
2021-11-09,"AE at A10","Massachusetts -7.5, 86-78 (74%)",41.429535814820234,"nc","UMBC",0.2594471108965859,78.18803562186838,"Massachusetts",0.7405528891034141,85.65439019189125,"UMBCMassachusetts11-9",2022
2021-11-09,"BSky at MWC","Nevada -11.2, 84-73 (84%)",41.00339739220706,"nc","Eastern Washington",0.16204633696016768,72.76465229526124,"Nevada",0.8379536630398323,83.94038590701734,"Eastern WashingtonNevada11-9",2022
2021-11-09,"OVC at Amer","Memphis -23.3, 87-64 (97%)",40.93266689777454,"nc","Tennessee Tech",0.02710192906147534,63.89777932339863,"Memphis",0.9728980709385248,87.23866168872965,"Tennessee TechMemphis11-9",2022
2021-11-09,"ASun at B10","Purdue -20.2, 82-61 (96%)",40.842244312635536,"nc","Bellarmine",0.03634005601226357,61.40060619770675,"Purdue",0.9636599439877364,81.65045150403307,"BellarminePurdue11-9",2022
2021-11-09,"OVC at SWAC","Tennessee St. -1.8, 63-61 (58%)",40.35633602964922,"nc","Tennessee St.",0.5811793946045608,62.54764496825246,"Alabama A&M",0.4188206053954392,60.79090375628011,"Tennessee St.Alabama A&M11-9",2022
2021-11-09,"Sum at B10","Minnesota -8.6, 72-63 (81%)",40.13463914578148,"nc","UMKC",0.18546266078179743,62.90844492275311,"Minnesota",0.8145373392182025,71.5470860589879,"UMKCMinnesota11-9",2022
2021-11-09,"BSky at P12","Oregon St. -6.2, 76-70 (73%)",40.05708577873762,"nc","Portland St.",0.2731177601418801,69.91305052860453,"Oregon St.",0.7268822398581198,76.12454275255122,"Portland St.Oregon St.11-9",2022
2021-11-09,"OVC at MVC","Missouri St. -15.7, 88-72 (91%)",39.78641233450952,"nc","Southeast Missouri St.",0.09391622782398146,72.08479507136767,"Missouri St.",0.9060837721760184,87.7902079718461,"Southeast Missouri St.Missouri St.11-9",2022
2021-11-09,"ASun at B12","Texas Tech -25.0, 78-53 (99%)",39.45792324121326,"nc","North Florida",0.01140651487372882,52.78723417151358,"Texas Tech",0.9885934851262712,77.81062212175354,"North FloridaTexas Tech11-9",2022
2021-11-09,"BSth at CUSA","UAB -15.2, 81-65 (92%)",39.376432264705215,"nc","UNC Asheville",0.08240536431729678,65.28036909910828,"UAB",0.9175946356827032,80.50068780589203,"UNC AshevilleUAB11-9",2022
2021-11-09,"Sum at B10","Nebraska -13.4, 85-72 (88%)",39.29097340854087,"nc","Western Illinois",0.1230342270503336,71.82199017009553,"Nebraska",0.8769657729496664,85.19764353057997,"Western IllinoisNebraska11-9",2022
2021-11-09,"BW at MWC","Utah St. -13.9, 74-60 (92%)",38.893622326627785,"nc","UC Davis",0.08330577925184858,59.8177112669605,"Utah St.",0.9166942207481514,73.6884297125041,"UC DavisUtah St.11-9",2022
