"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2016-11-11,"SEC vs. BE","Vanderbilt -0.1, 77-76 (50%)",86.4495989773431,"nc","Vanderbilt",0.5039163944454793,76.14620402730068,"Marquette",0.4960836055545207,76.0425443288049,"VanderbiltMarquette11-11",2017
2016-11-11,"P12 vs. B10","Arizona -3.2, 71-68 (63%)",75.94787693652704,"nc","Arizona",0.6280687886338214,70.81837943532587,"Michigan St.",0.37193121136617857,67.6642852335511,"ArizonaMichigan St.11-11",2017
2016-11-11,"B10 vs. B12","Kansas -8.5, 84-75 (77%)",72.66195370424327,"nc","Indiana",0.22771792409505237,75.44380223855136,"Kansas",0.7722820759049476,83.89642563930273,"IndianaKansas11-11",2017
2016-11-12,"P12 vs. Ivy","Stanford -1.1, 70-69 (55%)",63.871251051694784,"nc","Stanford",0.5470441096487211,69.72117457869122,"Harvard",0.4529558903512789,68.58626907396972,"StanfordHarvard11-12",2017
2016-11-11,"SEC at ACC","Clemson -6.5, 73-67 (74%)",61.85081242951173,"nc","Georgia",0.2565835648259621,66.77959718537814,"Clemson",0.7434164351740379,73.25174874482202,"GeorgiaClemson11-11",2017
2016-11-11,"SB at Sum","North Dakota St. -1.1, 70-69 (54%)",56.86160347764863,"nc","Arkansas St.",0.45589947933627073,69.23468188253365,"North Dakota St.",0.5441005206637293,70.30769101360114,"Arkansas St.North Dakota St.11-11",2017
2016-11-11,"MWC at WCC","Saint Mary's -11.1, 74-63 (87%)",56.53340292420192,"nc","Nevada",0.13257377683761778,62.729720129365354,"Saint Mary's",0.8674262231623822,73.8601693928913,"NevadaSaint Mary's11-11",2017
2016-11-11,"Sum at MVC","South Dakota -1.0, 78-77 (54%)",56.251327146983826,"nc","South Dakota",0.537124247693026,78.18609466086399,"Drake",0.462875752306974,77.18114757434948,"South DakotaDrake11-11",2017
2016-11-11,"WAC at WCC","Gonzaga -26.4, 88-62 (98%)",54.84394145032146,"nc","Utah Valley",0.01641628438232792,61.65387925316629,"Gonzaga",0.983583715617672,88.0093463802251,"Utah ValleyGonzaga11-11",2017
2016-11-11,"ACC at Amer","North Carolina -20.6, 91-71 (95%)",52.24183007372202,"nc","North Carolina",0.9496030503207225,91.27341916597392,"Tulane",0.05039694967927766,70.70705804616969,"North CarolinaTulane11-11",2017
2016-11-11,"CUSA at SEC","South Carolina -13.2, 76-62 (90%)",51.87958130674818,"nc","Louisiana Tech",0.09929305551411322,62.35457137845171,"South Carolina",0.9007069444858868,75.53417393376628,"Louisiana TechSouth Carolina11-11",2017
2016-11-11,"Sum at OVC","Eastern Kentucky -0.7, 75-74 (53%)",51.52122000120021,"nc","IUPUI",0.471196702301019,74.2288453409792,"Eastern Kentucky",0.5288032976989809,74.97708012836506,"IUPUIEastern Kentucky11-11",2017
2016-11-11,"MAC at A10","Ball St. -0.9, 68-67 (54%)",51.09722338052397,"nc","Ball St.",0.5374217096997631,67.82818863409834,"Saint Louis",0.4625782903002369,66.94940852891705,"Ball St.Saint Louis11-11",2017
2016-11-11,"OVC vs. BW","Tennessee St. -3.0, 67-64 (63%)",50.5368627929519,"nc","Tennessee St.",0.6288228871496693,66.8788510760549,"UC Davis",0.3711771128503307,63.882272317416934,"Tennessee St.UC Davis11-11",2017
2016-11-11,"AE at B10","Penn St. -6.2, 72-66 (74%)",50.35927979622245,"nc","Albany",0.26209494077101364,66.10281187318694,"Penn St.",0.7379050592289864,72.32867837158777,"AlbanyPenn St.11-11",2017
2016-11-11,"Ivy at NEC","Penn -1.7, 65-63 (58%)",50.295772326713056,"nc","Penn",0.5759054004349188,65.15601791394094,"Robert Morris",0.4240945995650812,63.4452364429165,"PennRobert Morris11-11",2017
2016-11-11,"MWC at BW","UC Irvine -4.6, 70-65 (69%)",50.256867212757,"nc","Utah St.",0.31240551180905884,64.94300850777552,"UC Irvine",0.6875944881909412,69.55444653790813,"Utah St.UC Irvine11-11",2017
2016-11-11,"ASun at SEC","Florida -20.1, 81-61 (96%)",50.05959533477336,"nc","Florida Gulf Coast",0.03647440140756335,61.15591657804105,"Florida",0.9635255985924368,81.29798680558442,"Florida Gulf CoastFlorida11-11",2017
2016-11-11,"Horz at MVC","Southern Illinois -3.3, 72-69 (63%)",49.93040703186248,"nc","Wright St.",0.3683981728846282,69.02752695408947,"Southern Illinois",0.6316018271153718,72.34043051280294,"Wright St.Southern Illinois11-11",2017
2016-11-11,"A10 at Amer","Temple -6.8, 79-72 (74%)",49.651320166451725,"nc","La Salle",0.26387095580968506,72.3662431162155,"Temple",0.736129044190315,79.11896186828378,"La SalleTemple11-11",2017
2016-11-11,"MVC at ACC","Louisville -19.1, 81-62 (96%)",49.011031859185366,"nc","Evansville",0.04291199966636895,61.71132596451782,"Louisville",0.9570880003336312,80.83784257168028,"EvansvilleLouisville11-11",2017
2016-11-11,"MVC at MAC","Northern Illinois -3.0, 69-66 (63%)",48.93273991423504,"nc","Indiana St.",0.37302065639928494,65.61217092134069,"Northern Illinois",0.6269793436007151,68.64278141429813,"Indiana St.Northern Illinois11-11",2017
2016-11-11,"SC at SEC","Tennessee -9.8, 75-65 (83%)",48.857556193416144,"nc","Chattanooga",0.16555639856210314,65.10161868837659,"Tennessee",0.8344436014378969,74.93323534581661,"ChattanoogaTennessee11-11",2017
2016-11-11,"Pat at BE","Xavier -14.2, 82-68 (90%)",48.59119855562252,"nc","Lehigh",0.10121350562609104,68.0342108708485,"Xavier",0.898786494373909,82.2618530564274,"LehighXavier11-11",2017
