"","date","tv","opponent","arena","location","time","team"
"31",2023-03-04,NA,"San Jose St.","Clune Arena","Home","16:00","Air Force"
"32",2022-11-08,"ESPN3","South Dakota St.","James A. Rhodes Arena","Home","19:00","Akron"
"33",2022-11-12,NA,"Mississippi St.","Wells Fargo Center","Neutral","19:00","Akron"
"34",2022-11-16,"ESPN+","Morgan St.","James A. Rhodes Arena","Home","19:00","Akron"
"35",2022-11-21,NA,"Western Kentucky","John Gray Gymnasium","Neutral","13:30","Akron"
"36",2022-12-01,"ESPN+","Marshall","Cam Henderson Center","Away","19:00","Akron"
"37",2022-12-04,"ESPN+","Muskingum","James A. Rhodes Arena","Home","14:00","Akron"
"38",2022-12-11,"ESPN+","Jackson St.","James A. Rhodes Arena","Home","14:00","Akron"
"39",2022-12-15,"ESPN+","Wright St.","James A. Rhodes Arena","Home","19:00","Akron"
"40",2022-12-20,"ESPN+","Maine","James A. Rhodes Arena","Home","19:00","Akron"
"41",2022-12-22,"ESPN+","Bradley","Carver Arena","Away","17:00","Akron"
"42",2022-12-31,"ESPN3","Concord University","James A. Rhodes Arena","Home","19:00","Akron"
"43",2023-01-04,"ESPN+","Northern Illinois","James A. Rhodes Arena","Home","19:00","Akron"
"44",2023-01-08,NA,"Ball St.","Worthen Arena","Away","20:30","Akron"
"45",2023-01-11,"ESPN+","Bowling Green","Stroh Center","Away","19:00","Akron"
"46",2023-01-14,"ESPNU","Eastern Michigan","James A. Rhodes Arena","Home","19:00","Akron"
"47",2023-01-18,"ESPN+","Central Michigan","McGuirk Arena","Away","19:00","Akron"
"48",2023-01-21,NA,"Western Michigan","University Arena (MI)","Away","14:30","Akron"
"49",2023-01-25,"ESPN+","Miami OH","James A. Rhodes Arena","Home","19:00","Akron"
"50",2023-01-28,"ESPN3","Ohio","James A. Rhodes Arena","Home","14:00","Akron"
"51",2023-01-31,"ESPN+","Buffalo","Alumni Arena","Away","00:00","Akron"
"52",2023-02-04,NA,"Kent St.","James A. Rhodes Arena","Home","00:00","Akron"
"53",2023-02-08,"ESPN+","Toledo","James A. Rhodes Arena","Home","19:00","Akron"
"54",2023-02-11,NA,"Ohio","Convocation Center (OH)","Away","00:00","Akron"
"55",2023-02-15,NA,"Eastern Michigan","Convocation Center (MI)","Away","19:00","Akron"
"56",2023-02-18,NA,"Buffalo","James A. Rhodes Arena","Home","00:00","Akron"
"57",2023-02-22,"ESPN+","Toledo","Savage Arena","Away","19:00","Akron"
"58",2023-02-25,NA,"Western Michigan","James A. Rhodes Arena","Home","16:00","Akron"
"59",2023-03-01,"ESPN+","Ball St.","James A. Rhodes Arena","Home","19:00","Akron"
"60",2023-03-04,"ESPN3","Kent St.","M.A.C. Center","Away","19:00","Akron"
"61",2022-11-08,"ESPN+","Longwood","Coleman Coliseum","Home","20:30","Alabama"
"62",2022-11-08,"SECN+","Longwood","Coleman Coliseum","Home","20:30","Alabama"
"63",2022-11-12,"ESPN+","Liberty","Coleman Coliseum","Home","20:00","Alabama"
"64",2022-11-12,"SECN+","Liberty","Coleman Coliseum","Home","20:00","Alabama"
"65",2022-11-16,"ESPNU","South Alabama","Mitchell Center","Away","22:00","Alabama"
"66",2022-11-16,"ESPN+","South Alabama","Mitchell Center","Away","22:00","Alabama"
"67",2022-11-19,"SECN","Jacksonville St.","Coleman Coliseum","Home","21:00","Alabama"
"68",2022-11-25,"ESPN","Michigan St.","Moda Center","Neutral","22:30","Alabama"
"69",2022-12-04,"ESPN+","South Dakota St.","Coleman Coliseum","Home","20:30","Alabama"
"70",2022-12-04,"SECN+","South Dakota St.","Coleman Coliseum","Home","20:30","Alabama"
"71",2022-12-10,"ABC","Houston","Fertitta Center","Away","15:00","Alabama"
"72",2022-12-14,"ESPN2","Memphis","Coleman Coliseum","Home","21:00","Alabama"
"73",2022-12-17,NA,"Gonzaga","Legacy Arena at BJCC","Neutral","13:00","Alabama"
"74",2022-12-21,"SECN","Jackson St.","Coleman Coliseum","Home","19:00","Alabama"
"75",2022-12-29,"SECN","Mississippi St.","Humphrey Coliseum","Away","21:00","Alabama"
"76",2023-01-04,"SECN","Mississippi","Coleman Coliseum","Home","21:00","Alabama"
"77",2023-01-07,"ESPN","Kentucky","Coleman Coliseum","Home","13:00","Alabama"
"78",2023-01-12,NA,"Arkansas","Bud Walton Arena","Away","19:00","Alabama"
"79",2023-01-14,NA,"LSU","Coleman Coliseum","Home","16:00","Alabama"
"80",2023-01-18,"SECN","Vanderbilt","Memorial Gymnasium (TN)","Away","20:30","Alabama"
