"","date","tv","opponent","arena","location","time","team"
"916",2022-11-12,"SECN+","Mississippi","The Sandy and John Black Pavilion at Ole Miss","Away","19:00","Florida Atlantic"
"917",2022-11-15,"SECN","Florida","Exactech Arena at Stephen C. O'Connell Center","Away","19:00","Florida Atlantic"
"918",2022-11-18,NA,"Bryant","FAU Arena","Home","19:00","Florida Atlantic"
"919",2022-11-19,NA,"Detroit","FAU Arena","Home","18:00","Florida Atlantic"
"920",2022-11-26,"ESPN+","Albany","SEFCU Arena","Away","13:00","Florida Atlantic"
"921",2022-12-01,NA,"South Alabama","FAU Arena","Home","19:00","Florida Atlantic"
"922",2022-12-04,"ESPN+","Eastern Michigan","Convocation Center (MI)","Away","14:30","Florida Atlantic"
"923",2022-12-08,"ESPN+","Florida Gulf Coast","FAU Arena","Home","19:00","Florida Atlantic"
"924",2022-12-15,NA,"St. Thomas (FL)","FAU Arena","Home","19:00","Florida Atlantic"
"925",2022-12-17,NA,"FIU","FAU Arena","Home","14:00","Florida Atlantic"
"926",2022-12-22,NA,"Northern Kentucky","FAU Arena","Home","19:00","Florida Atlantic"
"927",2022-12-30,"ESPN+","North Texas","The Super Pit","Away","20:00","Florida Atlantic"
"928",2023-01-06,"ESPN+","UAB","FAU Arena","Home","19:00","Florida Atlantic"
"929",2023-01-07,NA,"Charlotte","FAU Arena","Home","14:00","Florida Atlantic"
"930",2023-01-12,"ESPN+","FIU","Ocean Bank Convocation Center","Away","19:30","Florida Atlantic"
"931",2023-01-14,"ESPN+","North Texas","FAU Arena","Home","14:00","Florida Atlantic"
"932",2023-01-17,"ESPNU","Western Kentucky","E. A. Diddle Arena","Away","19:00","Florida Atlantic"
"933",2023-01-20,"ESPN+","UTSA","UTSA Convocation Center","Away","20:00","Florida Atlantic"
"934",2023-01-22,"ESPN+","UTEP","Don Haskins Center","Away","21:00","Florida Atlantic"
"935",2023-01-27,NA,"Middle Tennessee","FAU Arena","Home","19:00","Florida Atlantic"
"936",2023-01-28,NA,"Western Kentucky","FAU Arena","Home","16:00","Florida Atlantic"
"937",2023-02-03,NA,"UAB","Bartow Arena","Away","19:00","Florida Atlantic"
"938",2023-02-04,"ESPN+","Charlotte","Dale F. Halton Arena","Away","16:00","Florida Atlantic"
"939",2023-02-10,"ESPN+","Rice","FAU Arena","Home","19:00","Florida Atlantic"
"940",2023-02-11,"ESPN+","Louisiana Tech","FAU Arena","Home","14:00","Florida Atlantic"
"941",2023-02-17,NA,"Middle Tennessee","Murphy Center","Away","19:00","Florida Atlantic"
"942",2023-02-24,"ESPN+","UTSA","FAU Arena","Home","19:00","Florida Atlantic"
"943",2023-02-25,"ESPN+","UTEP","FAU Arena","Home","14:00","Florida Atlantic"
"944",2023-03-03,"ESPN+","Rice","Tudor Fieldhouse","Away","20:00","Florida Atlantic"
"945",2023-03-04,"ESPN+","Louisiana Tech","Thomas Assembly Center","Away","15:00","Florida Atlantic"
"946",2022-11-08,NA,"Houston Christian","Ocean Bank Convocation Center","Home","19:00","FIU"
"947",2022-11-11,NA,"Florida National","Ocean Bank Convocation Center","Home","19:00","FIU"
"948",2022-11-16,"ACCNX","North Carolina St.","PNC Arena","Away","21:00","FIU"
"949",2022-11-20,"ESPN+","Bryant","Ocean Bank Convocation Center","Home","19:00","FIU"
"950",2022-11-24,NA,"Stony Brook","Ocean Bank Convocation Center","Home","19:00","FIU"
"951",2022-11-27,NA,"Eastern Washington","Ocean Bank Convocation Center","Home","18:00","FIU"
"952",2022-12-01,"ESPN+","Eastern Michigan","Ocean Bank Convocation Center","Home","19:00","FIU"
"953",2022-12-04,"ESPN+","Florida Gulf Coast","Alico Arena","Away","18:00","FIU"
"954",2022-12-13,NA,"Howard","Burr Gymnasium","Away","00:00","FIU"
"955",2022-12-17,NA,"Florida Atlantic","FAU Arena","Away","14:00","FIU"
"956",2022-12-22,NA,"Incarnate Word","Ocean Bank Convocation Center","Home","19:00","FIU"
"957",2022-12-30,NA,"Florida College","Ocean Bank Convocation Center","Home","19:00","FIU"
"958",2022-12-31,"ESPN+","North Texas","The Super Pit","Away","16:00","FIU"
"959",2023-01-06,"ESPN+","Charlotte","Ocean Bank Convocation Center","Home","19:00","FIU"
"960",2023-01-08,"ESPN+","UAB","Ocean Bank Convocation Center","Home","19:00","FIU"
"961",2023-01-12,"ESPN+","Florida Atlantic","Ocean Bank Convocation Center","Home","19:30","FIU"
"962",2023-01-15,"ESPN+","Western Kentucky","E. A. Diddle Arena","Away","19:00","FIU"
"963",2023-01-17,"ESPN+","North Texas","Ocean Bank Convocation Center","Home","19:00","FIU"
"964",2023-01-20,"ESPN+","UTEP","Don Haskins Center","Away","21:00","FIU"
"965",2023-01-21,NA,"UTSA","UTSA Convocation Center","Away","16:00","FIU"
"966",2023-01-27,"ESPN+","Western Kentucky","Ocean Bank Convocation Center","Home","19:00","FIU"
"967",2023-01-29,"ESPN+","Middle Tennessee","Ocean Bank Convocation Center","Home","19:00","FIU"
"968",2023-02-03,"ESPN+","Charlotte","Dale F. Halton Arena","Away","19:00","FIU"
"969",2023-02-04,"ESPN+","UAB","Bartow Arena","Away","16:00","FIU"
"970",2023-02-10,"ESPN+","Louisiana Tech","Ocean Bank Convocation Center","Home","19:00","FIU"
"971",2023-02-12,"ESPN+","Rice","Ocean Bank Convocation Center","Home","19:00","FIU"
"972",2023-02-18,"ESPN+","Middle Tennessee","Murphy Center","Away","18:00","FIU"
"973",2023-02-24,"ESPN+","UTEP","Ocean Bank Convocation Center","Home","19:00","FIU"
"974",2023-02-26,"ESPN+","UTSA","Ocean Bank Convocation Center","Home","19:00","FIU"
"975",2023-03-03,"ESPN+","Louisiana Tech","Thomas Assembly Center","Away","19:00","FIU"
"976",2023-03-04,NA,"Rice","Tudor Fieldhouse","Away","15:00","FIU"
"977",2022-11-08,"ACCNX","Stetson","Donald L. Tucker Center","Home","19:00","Florida St."
"978",2022-11-12,"ESPN+","UCF","Addition Financial Arena","Away","19:00","Florida St."
"979",2022-11-15,"ACCNX","Troy","Donald L. Tucker Center","Home","19:00","Florida St."
"980",2022-11-19,"ACCN","Florida","Donald L. Tucker Center","Home","20:00","Florida St."
"981",2022-11-21,"ACCN","Mercer","Donald L. Tucker Center","Home","18:30","Florida St."
"982",2022-11-24,"ESPN2","Siena","State Farm Field House","Neutral","11:00","Florida St."
"983",2022-12-01,NA,"Purdue","Donald L. Tucker Center","Home","19:15","Florida St."
"984",2022-12-03,"ESPN2","Virginia","John Paul Jones Arena","Away","14:00","Florida St."
"985",2022-12-10,"ACCN","Louisville","Donald L. Tucker Center","Home","13:00","Florida St."
"986",2022-12-14,"ACCN","USC Upstate","Donald L. Tucker Center","Home","20:30","Florida St."
"987",2022-12-17,NA,"St. John's","FLA Live Arena","Neutral","14:30","Florida St."
"988",2022-12-22,"ACCN","Notre Dame","Donald L. Tucker Center","Home","20:30","Florida St."
"989",2022-12-31,"ESPN2","Duke","Cameron Indoor Stadium","Away","14:00","Florida St."
"990",2023-01-07,"ACCNX","Georgia Tech","Donald L. Tucker Center","Home","13:00","Florida St."
"991",2023-01-12,"ACCN","Wake Forest","Lawrence Joel Veterans Memorial Coliseum","Away","21:00","Florida St."
"992",2023-01-14,NA,"Virginia","Donald L. Tucker Center","Home","16:00","Florida St."
"993",2023-01-18,NA,"Notre Dame","Purcell Pavilion","Away","19:00","Florida St."
"994",2023-01-21,"ACCN","Pittsburgh","Petersen Events Center","Away","15:00","Florida St."
"995",2023-01-25,NA,"Miami FL","Donald L. Tucker Center","Home","19:00","Florida St."
"996",2023-01-28,"ACCN","Clemson","Donald L. Tucker Center","Home","17:00","Florida St."
"997",2023-02-02,"ACCN","North Carolina St.","PNC Arena","Away","21:00","Florida St."
"998",2023-02-04,NA,"Louisville","KFC Yum! Center","Away","14:00","Florida St."
"999",2023-02-09,NA,"Syracuse","Donald L. Tucker Center","Home","19:00","Florida St."
"1000",2023-02-11,NA,"Pittsburgh","Donald L. Tucker Center","Home","12:00","Florida St."
"1001",2023-02-16,"ACCNX","Clemson","Littlejohn Coliseum","Away","19:00","Florida St."
"1002",2023-02-18,"ACCNX","Boston College","Donald L. Tucker Center","Home","12:00","Florida St."
"1003",2023-02-25,NA,"Miami FL","Watsco Center","Away","14:00","Florida St."
"1004",2023-02-28,"ESPN","North Carolina","Donald L. Tucker Center","Home","19:00","Florida St."
"1005",2023-03-04,NA,"Virginia Tech","Cassell Coliseum","Away","12:00","Florida St."
"1006",2022-11-08,NA,"Fresno Pacific","Save Mart Center","Home","22:00","Fresno St."
"1007",2022-11-11,NA,"UC Santa Barbara","Kaiser Permanente Arena","Neutral","17:00","Fresno St."
"1008",2022-11-17,NA,"San Francisco","Save Mart Center","Home","22:00","Fresno St."
"1009",2022-11-19,"ESPN+","North Texas","The Super Pit","Away","18:00","Fresno St."
"1010",2022-11-24,"ESPNU","Washington","Anaheim Convention Center","Neutral","21:30","Fresno St."
"1011",2022-12-04,"ESPN+","UC Irvine","Bren Events Center","Away","21:00","Fresno St."
"1012",2022-12-08,NA,"Cal State Northridge","Save Mart Center","Home","22:00","Fresno St."
"1013",2022-12-10,NA,"Pacific","Alex G. Spanos Center","Away","17:00","Fresno St."
"1014",2022-12-18,NA,"Sacramento St.","Save Mart Center","Home","19:00","Fresno St."
"1015",2022-12-21,"ESPN+","Cal State Bakersfield","Icardo Center","Away","22:00","Fresno St."
"1016",2022-12-29,NA,"Wyoming","Save Mart Center","Home","23:00","Fresno St."
"1017",2022-12-31,NA,"Utah St.","Dee Glen Smith Spectrum","Away","14:00","Fresno St."
"1018",2023-01-04,NA,"New Mexico","Save Mart Center","Home","23:00","Fresno St."
"1019",2023-01-07,NA,"Colorado St.","Moby Arena","Away","16:30","Fresno St."
"1020",2023-01-10,NA,"San Jose St.","Provident Credit Union Event Center","Away","13:00","Fresno St."
"1021",2023-01-15,NA,"Air Force","Save Mart Center","Home","19:00","Fresno St."
"1022",2023-01-21,NA,"UNLV","Save Mart Center","Home","18:00","Fresno St."
"1023",2023-01-25,NA,"Boise St.","ExtraMile Arena","Away","21:00","Fresno St."
"1024",2023-01-29,NA,"Utah St.","Save Mart Center","Home","19:00","Fresno St."
"1025",2023-02-01,NA,"Wyoming","Arena Auditorium","Away","22:00","Fresno St."
"1026",2023-02-04,NA,"UNLV","Thomas & Mack Center","Away","23:00","Fresno St."
"1027",2023-02-08,NA,"San Jose St.","Save Mart Center","Home","23:00","Fresno St."
"1028",2023-02-11,NA,"Nevada","Lawlor Events Center","Away","23:00","Fresno St."
"1029",2023-02-16,NA,"San Diego St.","Save Mart Center","Home","23:00","Fresno St."
"1030",2023-02-18,NA,"Colorado St.","Save Mart Center","Home","17:00","Fresno St."
"1031",2023-02-22,NA,"Air Force","Clune Arena","Away","21:00","Fresno St."
"1032",2023-02-25,NA,"Nevada","Save Mart Center","Home","23:00","Fresno St."
"1033",2023-03-01,NA,"New Mexico","The Pit","Away","22:30","Fresno St."
"1034",2023-03-05,NA,"Chicago St.","Save Mart Center","Home","19:00","Fresno St."
"1035",2022-11-08,"ESPN+","Western Carolina","Stegeman Coliseum","Home","20:00","Georgia"
"1036",2022-11-08,"SECN+","Western Carolina","Stegeman Coliseum","Home","20:00","Georgia"
"1037",2022-11-12,"ACCN","Wake Forest","Lawrence Joel Veterans Memorial Coliseum","Away","20:30","Georgia"
"1038",2022-11-15,"ESPN+","Miami OH","Stegeman Coliseum","Home","19:00","Georgia"
"1039",2022-11-15,"SECN+","Miami OH","Stegeman Coliseum","Home","19:00","Georgia"
"1040",2022-11-19,"SECN","Bucknell","Stegeman Coliseum","Home","19:00","Georgia"
"1041",2022-11-22,"CBSSN","Saint Joseph's","Ocean Center","Neutral","20:30","Georgia"
"1042",2022-11-27,"SECN","East Tennessee St.","Stegeman Coliseum","Home","13:00","Georgia"
"1043",2022-12-01,"ESPN+","Hampton","Stegeman Coliseum","Home","19:00","Georgia"
"1044",2022-12-01,"SECN+","Hampton","Stegeman Coliseum","Home","19:00","Georgia"
"1045",2022-12-03,"ESPN+","Florida A&M","Stegeman Coliseum","Home","19:00","Georgia"
"1046",2022-12-03,"SECN+","Florida A&M","Stegeman Coliseum","Home","19:00","Georgia"
"1047",2022-12-07,"ESPN2","Georgia Tech","McCamish Pavilion","Away","19:00","Georgia"
"1048",2022-12-18,"ESPN2","Notre Dame","State Farm Arena","Neutral","17:30","Georgia"
"1049",2022-12-21,"ESPN+","Chattanooga","Stegeman Coliseum","Home","15:00","Georgia"
"1050",2022-12-21,"SECN+","Chattanooga","Stegeman Coliseum","Home","15:00","Georgia"
"1051",2022-12-29,"ESPN+","Rider","Stegeman Coliseum","Home","19:00","Georgia"
"1052",2022-12-29,"SECN+","Rider","Stegeman Coliseum","Home","19:00","Georgia"
"1053",2023-01-04,"SECN","Auburn","Stegeman Coliseum","Home","18:30","Georgia"
"1054",2023-01-07,"SECN","Florida","Exactech Arena at Stephen C. O'Connell Center","Away","13:00","Georgia"
"1055",2023-01-11,"SECN","Mississippi St.","Stegeman Coliseum","Home","18:30","Georgia"
"1056",2023-01-14,"SECN","Mississippi","The Sandy and John Black Pavilion at Ole Miss","Away","13:00","Georgia"
"1057",2023-01-18,"ESPN","Kentucky","Rupp Arena","Away","21:00","Georgia"
"1058",2023-01-21,"SECN","Vanderbilt","Stegeman Coliseum","Home","13:00","Georgia"
"1059",2023-01-26,"SECN","Tennessee","Thompson-Boling Arena","Away","19:00","Georgia"
"1060",2023-01-28,"SECN","South Carolina","Stegeman Coliseum","Home","18:00","Georgia"
"1061",2023-02-02,"SECN","Auburn","Neville Arena","Away","19:00","Georgia"
"1062",2023-02-05,"SECN","Texas A&M","Reed Arena","Away","20:30","Georgia"
"1063",2023-02-08,"SECN","Mississippi","Stegeman Coliseum","Home","19:00","Georgia"
"1064",2023-02-11,NA,"Kentucky","Stegeman Coliseum","Home","12:00","Georgia"
"1065",2023-02-15,"SECN","LSU","Stegeman Coliseum","Home","20:30","Georgia"
"1066",2023-02-18,"SECN","Alabama","Coleman Coliseum","Away","18:00","Georgia"
"1067",2023-02-22,"SECN","Arkansas","Bud Walton Arena","Away","21:00","Georgia"
"1068",2023-02-25,"SECN","Missouri","Stegeman Coliseum","Home","13:00","Georgia"
"1069",2023-03-01,"SECN","Florida","Stegeman Coliseum","Home","19:00","Georgia"
"1070",2023-03-04,"SECN","South Carolina","Colonial Life Arena","Away","13:00","Georgia"
"1071",2022-11-09,NA,"San Jose St.","Provident Credit Union Event Center","Away","22:00","Georgia Southern"
"1072",2022-11-11,NA,"Santa Clara","Leavey Center","Away","22:00","Georgia Southern"
"1073",2022-11-13,"ESPN+","Trinity Baptist","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1074",2022-11-19,NA,"Rice","Tudor Fieldhouse","Away","19:00","Georgia Southern"
"1075",2022-11-20,"ESPN+","Houston Christian","Sharp Gymnasium","Away","20:00","Georgia Southern"
"1076",2022-11-20,NA,"Western Michigan","Tudor Fieldhouse","Neutral","13:00","Georgia Southern"
"1077",2022-11-26,"ESPN+","Oglethorpe","W.S. Hanner Fieldhouse","Home","13:00","Georgia Southern"
"1078",2022-12-01,"ESPN+","Florida Gulf Coast","W.S. Hanner Fieldhouse","Home","19:30","Georgia Southern"
"1079",2022-12-08,"ESPN+","Piedmont","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1080",2022-12-10,"ESPN+","Wofford","W.S. Hanner Fieldhouse","Home","15:00","Georgia Southern"
"1081",2022-12-15,"ESPN+","Morehead St.","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1082",2022-12-17,"ESPN+","Campbell","W.S. Hanner Fieldhouse","Home","15:00","Georgia Southern"
"1083",2022-12-22,"ESPN+","Ball St.","Worthen Arena","Away","19:00","Georgia Southern"
"1084",2022-12-30,"ESPN+","South Alabama","W.S. Hanner Fieldhouse","Home","20:00","Georgia Southern"
"1085",2022-12-31,"ESPN+","Coastal Carolina","The HTC Center","Away","14:00","Georgia Southern"
"1086",2023-01-06,"ESPN+","Marshall","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1087",2023-01-07,"ESPN+","Old Dominion","W.S. Hanner Fieldhouse","Home","15:00","Georgia Southern"
"1088",2023-01-12,"ESPN+","Appalachian St.","Holmes Convocation Center","Away","18:30","Georgia Southern"
"1089",2023-01-15,"ESPN+","James Madison","Atlantic Union Bank Center","Away","19:00","Georgia Southern"
"1090",2023-01-20,"ESPN+","Louisiana Monroe","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1091",2023-01-21,"ESPN+","Georgia St.","W.S. Hanner Fieldhouse","Home","15:00","Georgia Southern"
"1092",2023-01-27,"ESPN+","Texas St.","Strahan Arena at the University Events Center","Away","20:00","Georgia Southern"
"1093",2023-01-29,"ESPN+","Louisiana Lafayette","Cajundome","Away","20:00","Georgia Southern"
"1094",2023-02-03,"ESPN+","Georgia St.","GSU Convocation Center","Away","19:00","Georgia Southern"
"1095",2023-02-05,"ESPN+","Old Dominion","Chartway Arena","Away","19:00","Georgia Southern"
"1096",2023-02-10,"ESPN+","James Madison","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1097",2023-02-11,"ESPN+","Arkansas St.","W.S. Hanner Fieldhouse","Home","15:00","Georgia Southern"
"1098",2023-02-17,"ESPN+","Marshall","Cam Henderson Center","Away","19:00","Georgia Southern"
"1099",2023-02-18,"ESPN+","Southern Miss","Reed Green Coliseum","Away","15:00","Georgia Southern"
"1100",2023-02-23,"ESPN+","Coastal Carolina","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1101",2023-02-25,"ESPN+","Appalachian St.","W.S. Hanner Fieldhouse","Home","19:00","Georgia Southern"
"1102",2022-11-08,"ESPN+","College of Coastal Georgia","GSU Convocation Center","Home","20:00","Georgia St."
"1103",2022-11-13,"ESPN+","Georgia Tech","GSU Convocation Center","Home","19:00","Georgia St."
"1104",2022-11-16,"ESPN+","Mercer","GSU Convocation Center","Home","19:00","Georgia St."
"1105",2022-11-18,"ESPN+","Eastern Kentucky","GSU Convocation Center","Home","18:00","Georgia St."
"1106",2022-11-19,"ESPN+","Texas A&M-Commerce","GSU Convocation Center","Home","15:00","Georgia St."
"1107",2022-11-20,"ESPN+","UNC Asheville","GSU Convocation Center","Home","15:30","Georgia St."
"1108",2022-11-27,"ESPN+","Belmont","GSU Convocation Center","Home","14:00","Georgia St."
"1109",2022-12-02,"ESPN+","Middle Georgia State","GSU Convocation Center","Home","19:00","Georgia St."
"1110",2022-12-04,NA,"Northeastern","Matthews Arena","Away","14:00","Georgia St."
"1111",2022-12-15,"ESPN+","Auburn","Neville Arena","Away","20:00","Georgia St."
"1112",2022-12-15,"SECN+","Auburn","Neville Arena","Away","20:00","Georgia St."
"1113",2022-12-18,"ESPN+","Rhode Island","GSU Convocation Center","Home","14:00","Georgia St."
"1114",2022-12-21,"ESPN+","Toccoa Falls","GSU Convocation Center","Home","12:00","Georgia St."
"1115",2022-12-30,"ESPN+","James Madison","GSU Convocation Center","Home","19:00","Georgia St."
"1116",2022-12-31,"ESPN+","South Alabama","GSU Convocation Center","Home","14:00","Georgia St."
"1117",2023-01-06,"ESPN+","Louisiana Monroe","Fant-Ewing Coliseum","Away","19:30","Georgia St."
"1118",2023-01-08,"ESPN+","Louisiana Lafayette","Cajundome","Away","20:00","Georgia St."
"1119",2023-01-13,"ESPN+","Troy","GSU Convocation Center","Home","19:00","Georgia St."
"1120",2023-01-14,"ESPN+","Coastal Carolina","GSU Convocation Center","Home","14:00","Georgia St."
"1121",2023-01-20,"ESPN+","Old Dominion","Chartway Arena","Away","19:00","Georgia St."
"1122",2023-01-21,"ESPN+","Georgia Southern","W.S. Hanner Fieldhouse","Away","15:00","Georgia St."
"1123",2023-01-26,"ESPN+","Appalachian St.","Holmes Convocation Center","Away","18:30","Georgia St."
"1124",2023-01-29,"ESPN+","Marshall","Cam Henderson Center","Away","19:00","Georgia St."
"1125",2023-02-03,"ESPN+","Georgia Southern","GSU Convocation Center","Home","19:00","Georgia St."
"1126",2023-02-04,"ESPN+","Southern Miss","GSU Convocation Center","Home","14:00","Georgia St."
"1127",2023-02-10,"ESPN+","Old Dominion","GSU Convocation Center","Home","19:00","Georgia St."
"1128",2023-02-11,"ESPN+","Marshall","GSU Convocation Center","Home","14:00","Georgia St."
"1129",2023-02-17,"ESPN+","Coastal Carolina","The HTC Center","Away","19:00","Georgia St."
"1130",2023-02-18,"ESPN+","Arkansas St.","First National Bank Arena","Away","15:00","Georgia St."
"1131",2023-02-23,"ESPN+","Appalachian St.","GSU Convocation Center","Home","19:00","Georgia St."
"1132",2023-02-25,"ESPN+","James Madison","Atlantic Union Bank Center","Away","20:00","Georgia St."
"1133",2022-11-08,"ESPN+","Clayton State","McCamish Pavilion","Home","19:30","Georgia Tech"
"1134",2022-11-08,"ACCNX","Clayton State","McCamish Pavilion","Home","19:30","Georgia Tech"
"1135",2022-11-13,"ESPN+","Georgia St.","GSU Convocation Center","Away","19:00","Georgia Tech"
"1136",2022-11-18,"ACCN","Northern Illinois","McCamish Pavilion","Home","20:00","Georgia Tech"
"1137",2022-11-21,NA,"Utah","Suncoast Credit Union Arena","Neutral","18:00","Georgia Tech"
"1138",2022-11-26,"ESPN+","North Alabama","McCamish Pavilion","Home","16:00","Georgia Tech"
"1139",2022-11-26,"ACCNX","North Alabama","McCamish Pavilion","Home","16:00","Georgia Tech"
"1140",2022-11-30,NA,"Iowa","Carver-Hawkeye Arena","Away","21:00","Georgia Tech"
"1141",2022-12-03,"ACCNX","Northeastern","McCamish Pavilion","Home","19:30","Georgia Tech"
"1142",2022-12-07,"ESPN2","Georgia","McCamish Pavilion","Home","19:00","Georgia Tech"
"1143",2022-12-10,"ESPN","North Carolina","Dean E. Smith Center","Away","15:15","Georgia Tech"
"1144",2022-12-17,"ACCNX","Alabama St.","McCamish Pavilion","Home","14:00","Georgia Tech"
"1145",2022-12-22,"ESPN2","Clemson","McCamish Pavilion","Home","19:30","Georgia Tech"
"1146",2022-12-31,NA,"Virginia","McCamish Pavilion","Home","00:00","Georgia Tech"
"1147",2023-01-05,NA,"Miami FL","McCamish Pavilion","Home","19:00","Georgia Tech"
"1148",2023-01-07,"ACCNX","Florida St.","Donald L. Tucker Center","Away","13:00","Georgia Tech"
"1149",2023-01-11,"ACCN","Notre Dame","Purcell Pavilion","Away","19:00","Georgia Tech"
"1150",2023-01-14,"ACCN","Pittsburgh","McCamish Pavilion","Home","15:00","Georgia Tech"
"1151",2023-01-18,"ACCN","North Carolina St.","McCamish Pavilion","Home","19:00","Georgia Tech"
"1152",2023-01-21,"ACCNX","Syracuse","McCamish Pavilion","Home","12:00","Georgia Tech"
"1153",2023-01-25,"ACCN","Clemson","Littlejohn Coliseum","Away","21:00","Georgia Tech"
"1154",2023-01-28,"ACCN","Duke","McCamish Pavilion","Home","15:00","Georgia Tech"
"1155",2023-02-02,"ACCNX","Louisville","KFC Yum! Center","Away","19:00","Georgia Tech"
"1156",2023-02-04,"ACCN","North Carolina St.","PNC Arena","Away","13:00","Georgia Tech"
"1157",2023-02-09,"ACCNX","Notre Dame","McCamish Pavilion","Home","19:00","Georgia Tech"
"1158",2023-02-11,"ACCN","Wake Forest","Lawrence Joel Veterans Memorial Coliseum","Away","17:00","Georgia Tech"
"1159",2023-02-16,"ACCN","Virginia Tech","McCamish Pavilion","Home","19:00","Georgia Tech"
"1160",2023-02-18,NA,"Florida Tech","McCamish Pavilion","Home","14:00","Georgia Tech"
"1161",2023-02-22,NA,"Pittsburgh","Petersen Events Center","Away","19:00","Georgia Tech"
"1162",2023-02-25,"ACCNX","Louisville","McCamish Pavilion","Home","14:00","Georgia Tech"
"1163",2023-03-01,NA,"Syracuse","JMA Wireless Dome","Away","19:00","Georgia Tech"
"1164",2023-03-04,"ESPNU","Boston College","Silvio O. Conte Forum","Away","14:30","Georgia Tech"
"1165",2022-11-12,"ESPN+","Mississippi Valley St.","Stan Sheriff Center","Home","23:59","Hawaii"
"1166",2022-11-14,"ESPN+","Eastern Washington","Stan Sheriff Center","Home","22:00","Hawaii"
"1167",2022-11-15,"ESPN+","Yale","Stan Sheriff Center","Home","23:59","Hawaii"
"1168",2022-11-19,NA,"Hawaii Pacific","George Q. Cannon Activities Center","Neutral","17:00","Hawaii"
"1169",2022-11-26,"ESPN+","Sacramento St.","George Q. Cannon Activities Center","Neutral","20:30","Hawaii"
"1170",2022-12-01,NA,"Texas A&M-Commerce","Stan Sheriff Center","Home","23:59","Hawaii"
"1171",2022-12-08,NA,"UNLV","Dollar Loan Center","Neutral","22:00","Hawaii"
"1172",2022-12-12,"ESPN+","St. Francis PA","Stan Sheriff Center","Home","22:00","Hawaii"
"1173",2022-12-23,"ESPN2","Pepperdine","Stan Sheriff Center","Home","23:00","Hawaii"
"1174",2022-12-30,"ESPN+","UC Davis","Stan Sheriff Center","Home","23:59","Hawaii"
"1175",2023-01-01,"ESPN+","Cal Poly","Stan Sheriff Center","Home","22:00","Hawaii"
"1176",2023-01-06,"ESPN+","UC San Diego","RIMAC Arena","Away","22:00","Hawaii"
"1177",2023-01-08,NA,"Cal State Fullerton","Titan Gym","Away","21:00","Hawaii"
"1178",2023-01-15,NA,"Long Beach St.","Stan Sheriff Center","Home","23:59","Hawaii"
"1179",2023-01-16,NA,"Cal State Northridge","Stan Sheriff Center","Home","00:00","Hawaii"
"1180",2023-01-20,"ESPN+","UC Irvine","Bren Events Center","Away","22:00","Hawaii"
"1181",2023-01-22,"ESPN+","UC Riverside","SRC Arena","Away","20:00","Hawaii"
"1182",2023-01-27,NA,"UC Santa Barbara","Stan Sheriff Center","Home","23:59","Hawaii"
"1183",2023-01-29,NA,"Cal State Bakersfield","Stan Sheriff Center","Home","23:59","Hawaii"
"1184",2023-02-03,"ESPN+","UC Davis","University Credit Union Center","Away","21:00","Hawaii"
"1185",2023-02-05,"ESPN+","Cal Poly","Robert A. Mott Athletics Center","Away","22:00","Hawaii"
"1186",2023-02-10,NA,"UC San Diego","Stan Sheriff Center","Home","23:59","Hawaii"
"1187",2023-02-12,NA,"Cal State Fullerton","Stan Sheriff Center","Home","23:59","Hawaii"
"1188",2023-02-19,"ESPN+","Long Beach St.","Walter Pyramid","Away","19:00","Hawaii"
"1189",2023-02-21,"ESPN+","Cal State Bakersfield","Icardo Center","Away","22:00","Hawaii"
"1190",2023-02-24,NA,"UC Riverside","Stan Sheriff Center","Home","23:59","Hawaii"
"1191",2023-02-26,NA,"UC Irvine","Stan Sheriff Center","Home","23:59","Hawaii"
"1192",2023-03-03,"ESPN+","Cal State Northridge","Premier America Credit Union Arena","Away","22:00","Hawaii"
"1193",2023-03-05,NA,"UC Santa Barbara","The Thunderdome","Away","22:00","Hawaii"
"1194",2022-11-08,"ESPN+","Northern Colorado","Fertitta Center","Home","20:00","Houston"
"1195",2022-11-11,"CBSSN","Saint Joseph's","Alumni Hall (Navy)","Neutral","18:00","Houston"
"1196",2022-11-15,"ESPN+","Oral Roberts","Fertitta Center","Home","20:00","Houston"
"1197",2022-11-17,"ESPN+","Texas Southern","Fertitta Center","Home","20:00","Houston"
"1198",2022-11-21,"ESPN","Oregon","Matthew Knight Arena","Away","21:30","Houston"
"1199",2022-11-26,"ESPN+","Kent St.","Fertitta Center","Home","00:00","Houston"
"1200",2022-11-30,"ESPN+","Norfolk St.","Fertitta Center","Home","20:00","Houston"
"1201",2022-12-04,"ESPN2","Saint Mary's","Dickies Arena","Neutral","21:30","Houston"
"1202",2022-12-07,"ESPN+","North Florida","Fertitta Center","Home","20:00","Houston"
"1203",2022-12-10,"ABC","Alabama","Fertitta Center","Home","15:00","Houston"
